order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-18 1523,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3316724,Y-TSCT-1A4905.5,1A4905.5,Y-TSCT-Q06,1AA49,R312,T-TJC56601-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27170,V-CHANGS6_001-210202,1A,49,5,5,V-CHANGS6_001,21,2,2,5
1,25-04-18 1525,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU3981495,Y-TSCT-1A4905.4,1A4905.4,Y-TSCT-Q06,1AA49,R312,T-TJCD6896-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27200,V-CHANGS6_001-230202,1A,49,5,4,V-CHANGS6_001,23,2,2,5
2,25-04-18 1529,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0526581,Y-TSCT-1A4904.5,1A4904.5,Y-TSCT-Q06,1AA49,R312,T-TJCB6000-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29740,V-CHANGS6_001-210602,1A,49,4,5,V-CHANGS6_001,21,6,2,5
3,25-04-18 1532,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2093797,Y-TSCT-1A4904.4,1A4904.4,Y-TSCT-Q06,1AA49,R312,T-TJCB6000-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27970,V-CHANGS6_001-230602,1A,49,4,4,V-CHANGS6_001,23,6,2,5
4,25-04-18 1539,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3800289,Y-TSCT-1A4903.5,1A4903.5,Y-TSCT-Q06,1AA49,R312,T-TJC93065-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29740,V-CHANGS6_001-210204,1A,49,3,5,V-CHANGS6_001,21,2,4,5
5,25-04-18 1541,UNIT_YARD_MOVE,LOAD,EXPRT,EISU2352063,Y-TSCT-1A4903.4,1A4903.4,Y-TSCT-Q06,1AA49,R312,T-TJCG9706-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29740,V-CHANGS6_001-230204,1A,49,3,4,V-CHANGS6_001,23,2,4,5
6,25-04-18 1543,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2090062,Y-TSCT-1A4902.4,1A4902.4,Y-TSCT-Q06,1AA49,R312,T-TJCB6000-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27870,V-CHANGS6_001-210604,1A,49,2,4,V-CHANGS6_001,21,6,4,5
7,25-04-18 1545,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2097350,Y-TSCT-1A4902.3,1A4902.3,Y-TSCT-Q06,1AA49,R312,T-TJC37670-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27870,V-CHANGS6_001-230604,1A,49,2,3,V-CHANGS6_001,23,6,4,5
8,25-04-18 1556,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3325337,Y-TSCT-1A4905.3,1A4905.3,Y-TSCT-Q06,1AA49,R312,T-TJCG1035-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,26324,V-CHANGS6_001-210206,1A,49,5,3,V-CHANGS6_001,21,2,6,5
9,25-04-18 1558,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3182555,Y-TSCT-1A4905.2,1A4905.2,Y-TSCT-Q06,1AA49,R312,T-TJCK8987-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,24815,V-CHANGS6_001-230206,1A,49,5,2,V-CHANGS6_001,23,2,6,5
10,25-04-18 1633,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6059651,Y-TSCT-1A4904.3,1A4904.3,Y-TSCT-Q06,1AA49,R312,T-TJCK6582-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,30390,V-CHANGS6_001-210606,1A,49,4,3,V-CHANGS6_001,21,6,6,5
11,25-04-18 1635,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2098572,Y-TSCT-1A4904.2,1A4904.2,Y-TSCT-Q06,1AA49,R312,T-TJCG8261-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29980,V-CHANGS6_001-230606,1A,49,4,2,V-CHANGS6_001,23,6,6,5
12,25-04-18 1637,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3651441,Y-TSCT-1A4903.3,1A4903.3,Y-TSCT-Q06,1AA49,R312,T-TJCG9706-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29740,V-CHANGS6_001-210208,1A,49,3,3,V-CHANGS6_001,21,2,8,5
13,25-04-18 1640,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3278590,Y-TSCT-1A4903.2,1A4903.2,Y-TSCT-Q06,1AA49,R312,T-TJCM1602-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,30000,V-CHANGS6_001-230208,1A,49,3,2,V-CHANGS6_001,23,2,8,5
14,25-04-18 1642,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2097410,Y-TSCT-1A4902.2,1A4902.2,Y-TSCT-Q06,1AA49,R312,T-TJCG9109-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27970,V-CHANGS6_001-210608,1A,49,2,2,V-CHANGS6_001,21,6,8,5
15,25-04-18 1644,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3354361,Y-TSCT-1A4902.1,1A4902.1,Y-TSCT-Q06,1AA49,R312,T-HBJ8H123-3 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,28170,V-CHANGS6_001-230608,1A,49,2,1,V-CHANGS6_001,23,6,8,5
16,25-04-18 1646,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6430731,Y-TSCT-1A4905.1,1A4905.1,Y-TSCT-Q06,1AA49,R312,T-TJCD3298-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27050,V-CHANGS6_001-210210,1A,49,5,1,V-CHANGS6_001,21,2,10,5
17,25-04-18 1648,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2098382,Y-TSCT-1A4904.1,1A4904.1,Y-TSCT-Q06,1AA49,R312,T-TJCK6528-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,30110,V-CHANGS6_001-230210,1A,49,4,1,V-CHANGS6_001,23,2,10,5
18,25-04-18 1653,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU2097302,Y-TSCT-1A4903.1,1A4903.1,Y-TSCT-Q06,1AA49,R311,T-TJCK6307-2 (TQ),CHANGS6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29960,V-CHANGS6_001-210610,1A,49,3,1,V-CHANGS6_001,21,6,10,5
19,25-04-18 1801,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3514705,Y-TSCT-1A4909.4,1A4909.4,Y-TSCT-Q06,1AA49,R311,T-TJCG1798-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23740,V-CHANGS6_001-211002,1A,49,9,4,V-CHANGS6_001,21,10,2,6
20,25-04-18 1803,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3704714,Y-TSCT-1A4911.3,1A4911.3,Y-TSCT-Q06,1AA49,R311,T-TJCE2298-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23870,V-CHANGS6_001-231002,1A,49,11,3,V-CHANGS6_001,23,10,2,6
21,25-04-18 1815,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3346009,Y-TSCT-1A4909.3,1A4909.3,Y-TSCT-Q06,1AA49,R311,T-TJCE2298-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23710,V-CHANGS6_001-211204,1A,49,9,3,V-CHANGS6_001,21,12,4,6
22,25-04-18 1817,UNIT_YARD_MOVE,LOAD,EXPRT,EITU3018650,Y-TSCT-1A4908.3,1A4908.3,Y-TSCT-Q06,1AA49,R311,T-TJCA8290-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23710,V-CHANGS6_001-231204,1A,49,8,3,V-CHANGS6_001,23,12,4,6
23,25-04-18 1818,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2835158,Y-TSCT-1A4911.2,1A4911.2,Y-TSCT-Q06,1AA49,R311,T-TJC55572-1 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23920,V-CHANGS6_001-211006,1A,49,11,2,V-CHANGS6_001,21,10,6,6
24,25-04-18 1820,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU1195101,Y-TSCT-1A4909.2,1A4909.2,Y-TSCT-Q06,1AA49,R311,T-TJCF5695-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23580,V-CHANGS6_001-231006,1A,49,9,2,V-CHANGS6_001,23,10,6,6
25,25-04-18 1822,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3255188,Y-TSCT-1A4908.2,1A4908.2,Y-TSCT-Q06,1AA49,R311,T-TJCE2960-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23810,V-CHANGS6_001-211406,1A,49,8,2,V-CHANGS6_001,21,14,6,6
26,25-04-18 1823,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6129224,Y-TSCT-1A4911.1,1A4911.1,Y-TSCT-Q06,1AA49,R311,T-TJCE2960-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23590,V-CHANGS6_001-231406,1A,49,11,1,V-CHANGS6_001,23,14,6,6
27,25-04-18 1825,UNIT_YARD_MOVE,LOAD,EXPRT,MAGU2182779,Y-TSCT-1A4909.1,1A4909.1,Y-TSCT-Q06,1AA49,R311,T-TJCE6056-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23740,V-CHANGS6_001-211606,1A,49,9,1,V-CHANGS6_001,21,16,6,6
28,25-04-18 1827,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3359515,Y-TSCT-1A4908.1,1A4908.1,Y-TSCT-Q06,1AA49,R311,T-TJCG1533-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23440,V-CHANGS6_001-231606,1A,49,8,1,V-CHANGS6_001,23,16,6,6
29,25-04-18 2244,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3290189,Y-TSCT-1A4910.1,1A4910.1,Y-TSCT-Q03,1AA49,R312,T-TJCE2830-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,12160,V-CHANGS6_001-451872,1A,49,10,1,V-CHANGS6_001,45,18,72,6
30,25-04-18 1721,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU3397656,Y-TSCT-1A5110.5,1A5110.5,Y-TSCT-Q03,1AA51,R311,T-TJCG1035-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23990,V-CHANGS6_001-451002,1A,51,10,5,V-CHANGS6_001,45,10,2,6
31,25-04-18 1734,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3264343,Y-TSCT-1A5110.4,1A5110.4,Y-TSCT-Q03,1AA51,R311,T-TJC97372-2 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23192,V-CHANGS6_001-451402,1A,51,10,4,V-CHANGS6_001,45,14,2,6
32,25-04-18 1736,UNIT_YARD_MOVE,LOAD,EXPRT,WFHU1422611,Y-TSCT-1A5110.3,1A5110.3,Y-TSCT-Q03,1AA51,R311,T-TJC87026-3 (TQ),CHANGS6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22230,V-CHANGS6_001-471402,1A,51,10,3,V-CHANGS6_001,47,14,2,6
