order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-03 0206,UNIT_YARD_MOVE,LOAD,EXPRT,FBXU8173722,Y-TSCT-1C2510.5,1C2510.5,Y-TSCT-Q11,1CA25,R316,T-TJCC1379-3 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,25165,V-CHANGZ6_001-330702,1C,25,10,5,V-CHANGZ6_001,33,7,2,24
1,25-05-03 0208,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU1178758,Y-TSCT-1C2509.5,1C2509.5,Y-TSCT-Q11,1CA25,R316,T-TJC75320-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,29154,V-CHANGZ6_001-350702,1C,25,9,5,V-CHANGZ6_001,35,7,2,24
2,25-05-03 0213,UNIT_YARD_MOVE,LOAD,EXPRT,FAMU2818215,Y-TSCT-1C2510.4,1C2510.4,Y-TSCT-Q11,1CA25,R316,T-TJC55572-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,25565,V-CHANGZ6_001-330302,1C,25,10,4,V-CHANGZ6_001,33,3,2,24
3,25-05-03 0215,UNIT_YARD_MOVE,LOAD,EXPRT,FBXU8174400,Y-TSCT-1C2509.4,1C2509.4,Y-TSCT-Q11,1CA25,R316,T-TJCG1533-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,25755,V-CHANGZ6_001-350302,1C,25,9,4,V-CHANGZ6_001,35,3,2,24
4,25-05-03 0222,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0529662,Y-TSCT-1C2510.3,1C2510.3,Y-TSCT-Q11,1CA25,R316,T-TJC36298-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23515,V-CHANGZ6_001-330504,1C,25,10,3,V-CHANGZ6_001,33,5,4,24
5,25-05-03 0224,UNIT_YARD_MOVE,LOAD,EXPRT,FBXU8174349,Y-TSCT-1C2509.3,1C2509.3,Y-TSCT-Q11,1CA25,R316,T-TJC85027-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,26185,V-CHANGZ6_001-350504,1C,25,9,3,V-CHANGZ6_001,35,5,4,24
6,25-05-03 0225,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU1168514,Y-TSCT-1C2510.2,1C2510.2,Y-TSCT-Q11,1CA25,R316,T-TJCM5551-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,24972,V-CHANGZ6_001-330706,1C,25,10,2,V-CHANGZ6_001,33,7,6,24
7,25-05-03 0227,UNIT_YARD_MOVE,LOAD,EXPRT,FBXU8174328,Y-TSCT-1C2509.2,1C2509.2,Y-TSCT-Q11,1CA25,R316,T-TJCG1606-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,26185,V-CHANGZ6_001-350706,1C,25,9,2,V-CHANGZ6_001,35,7,6,24
8,25-05-03 0229,UNIT_YARD_MOVE,LOAD,EXPRT,OOLU2193673,Y-TSCT-1C2510.1,1C2510.1,Y-TSCT-Q11,1CA25,R316,T-TJCD0075-3 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,26055,V-CHANGZ6_001-330306,1C,25,10,1,V-CHANGZ6_001,33,3,6,24
9,25-05-03 0231,UNIT_YARD_MOVE,LOAD,EXPRT,EITU3035365,Y-TSCT-1C2509.1,1C2509.1,Y-TSCT-Q11,1CA25,R316,T-TJCE2298-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,27920,V-CHANGZ6_001-350306,1C,25,9,1,V-CHANGZ6_001,35,3,6,24
10,25-05-03 0233,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3396416,Y-TSCT-1C2508.5,1C2508.5,Y-TSCT-Q11,1CA25,R316,T-TJCE2232-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,19232,V-CHANGZ6_001-330508,1C,25,8,5,V-CHANGZ6_001,33,5,8,24
11,25-05-03 0234,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3393660,Y-TSCT-1C2507.5,1C2507.5,Y-TSCT-Q11,1CA25,R316,T-TJCE2525-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,19972,V-CHANGZ6_001-350508,1C,25,7,5,V-CHANGZ6_001,35,5,8,24
12,25-05-03 0238,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3240296,Y-TSCT-1C2508.4,1C2508.4,Y-TSCT-Q11,1CA25,R316,T-TJCJ7559-3 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,20264,V-CHANGZ6_001-330710,1C,25,8,4,V-CHANGZ6_001,33,7,10,24
13,25-05-03 0240,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4519601,Y-TSCT-1C2507.4,1C2507.4,Y-TSCT-Q11,1CA25,R316,T-TJCE6056-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22240,V-CHANGZ6_001-350710,1C,25,7,4,V-CHANGZ6_001,35,7,10,24
14,25-05-03 0245,UNIT_YARD_MOVE,LOAD,EXPRT,HMCU3061524,Y-TSCT-1C2508.3,1C2508.3,Y-TSCT-Q11,1CA25,R316,T-TJCE2960-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22920,V-CHANGZ6_001-330310,1C,25,8,3,V-CHANGZ6_001,33,3,10,24
15,25-05-03 0247,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3316426,Y-TSCT-1C2507.3,1C2507.3,Y-TSCT-Q11,1CA25,R316,T-TJCE2298-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22780,V-CHANGZ6_001-350310,1C,25,7,3,V-CHANGZ6_001,35,3,10,24
16,25-05-03 0249,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3330621,Y-TSCT-1C2508.2,1C2508.2,Y-TSCT-Q11,1CA25,R316,T-TJCK2766-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22660,V-CHANGZ6_001-330512,1C,25,8,2,V-CHANGZ6_001,33,5,12,24
17,25-05-03 0251,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0133054,Y-TSCT-1C2507.2,1C2507.2,Y-TSCT-Q11,1CA25,R316,T-TJC91972-3 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,23268,V-CHANGZ6_001-350512,1C,25,7,2,V-CHANGZ6_001,35,5,12,24
18,25-05-03 0253,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0246575,Y-TSCT-1C2508.1,1C2508.1,Y-TSCT-Q11,1CA25,R316,T-TJCB5220-2 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,22705,V-CHANGZ6_001-330714,1C,25,8,1,V-CHANGZ6_001,33,7,14,24
19,25-05-03 0255,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3683110,Y-TSCT-1C2507.1,1C2507.1,Y-TSCT-Q11,1CA25,R316,T-TJCM1113-3 (TQ),CHANGZ6_001,DEHAM,CNTSN,NOM86,NOM20,22G1,21992,V-CHANGZ6_001-350714,1C,25,7,1,V-CHANGZ6_001,35,7,14,24
20,25-05-03 1705,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6086153,Y-TSCT-1C2511.1,1C2511.1,Y-TSCT-Q08,1CA25,R316,T-TJC73969-3 (TQ),CHANGZ6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,25770,V-CHANGZ6_001-650402,1C,25,11,1,V-CHANGZ6_001,65,4,2,24
21,25-05-03 2334,UNIT_YARD_MOVE,LOAD,EXPRT,EGSU3160800,Y-TSCT-1C2505.5,1C2505.5,Y-TSCT-Q09,1CA25,R316,T-HBJ7L695-1 (TQ),CHANGZ6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,26934,V-CHANGZ6_001-570702,1C,25,5,5,V-CHANGZ6_001,57,7,2,24
22,25-05-03 2336,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU6115350,Y-TSCT-1C2504.5,1C2504.5,Y-TSCT-Q09,1CA25,R316,T-TJCG9109-3 (TQ),CHANGZ6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,28256,V-CHANGZ6_001-590702,1C,25,4,5,V-CHANGZ6_001,59,7,2,24
23,25-05-03 2348,UNIT_YARD_MOVE,LOAD,EXPRT,EITU0103851,Y-TSCT-1C2503.5,1C2503.5,Y-TSCT-Q09,1CA25,R316,T-TJCK0901-2 (TQ),CHANGZ6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,29951,V-CHANGZ6_001-570302,1C,25,3,5,V-CHANGZ6_001,57,3,2,24
24,25-05-03 2350,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3666160,Y-TSCT-1C2505.4,1C2505.4,Y-TSCT-Q09,1CA25,R316,T-HBJ7L695-3 (TQ),CHANGZ6_001,SGSIN,CNTSN,NOM86,NOM20,22G1,27106,V-CHANGZ6_001-590302,1C,25,5,4,V-CHANGZ6_001,59,3,2,24
