order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-17 1122,UNIT_YARD_MOVE,LOAD,EXPRT,ESDU9226053,Y-TSCT-1C3004.5,1C3004.5,Y-TSCT-Q10,1CA30,R316,T-TJCG9376-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,30012,V-DACW_004-341482,1C,30,4,5,V-DACW_004,34,14,82,17
1,25-04-17 1124,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4113859,Y-TSCT-1C3004.4,1C3004.4,Y-TSCT-Q10,1CA30,R316,T-TJCF1951-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,29460,V-DACW_004-341682,1C,30,4,4,V-DACW_004,34,16,82,17
2,25-04-17 1126,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6087897,Y-TSCT-1C3004.3,1C3004.3,Y-TSCT-Q10,1CA30,R316,T-TJC19586-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,26752,V-DACW_004-340684,1C,30,4,3,V-DACW_004,34,6,84,17
3,25-04-17 1128,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU5820607,Y-TSCT-1C3004.2,1C3004.2,Y-TSCT-Q10,1CA30,R316,T-TJCJ0338-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,27844,V-DACW_004-340884,1C,30,4,2,V-DACW_004,34,8,84,17
4,25-04-17 1130,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU7831051,Y-TSCT-1C3004.1,1C3004.1,Y-TSCT-Q10,1CA30,R316,T-TJCX1661-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,27840,V-DACW_004-341084,1C,30,4,1,V-DACW_004,34,10,84,17
5,25-04-17 1134,UNIT_YARD_MOVE,LOAD,EXPRT,EITU1631940,Y-TSCT-1C3002.3,1C3002.3,Y-TSCT-Q10,1CA30,R316,T-TJCC1251-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,26544,V-DACW_004-341284,1C,30,2,3,V-DACW_004,34,12,84,17
6,25-04-17 1138,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU5779191,Y-TSCT-1C3002.2,1C3002.2,Y-TSCT-Q10,1CA30,R316,T-TJC19586-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,28592,V-DACW_004-341484,1C,30,2,2,V-DACW_004,34,14,84,17
7,25-04-17 1141,UNIT_YARD_MOVE,LOAD,EXPRT,EGHU9105828,Y-TSCT-1C3002.1,1C3002.1,Y-TSCT-Q10,1CA30,R316,T-TJC79525-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,26952,V-DACW_004-341684,1C,30,2,1,V-DACW_004,34,16,84,17
8,25-04-17 1142,UNIT_YARD_MOVE,LOAD,EXPRT,EMCU1694496,Y-TSCT-1C3003.5,1C3003.5,Y-TSCT-Q10,1CA30,R316,T-HBFQ2308-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,20110,V-DACW_004-340686,1C,30,3,5,V-DACW_004,34,6,86,17
9,25-04-17 1144,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU8792019,Y-TSCT-1C3003.4,1C3003.4,Y-TSCT-Q10,1CA30,R316,T-TJC59320-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,20788,V-DACW_004-340886,1C,30,3,4,V-DACW_004,34,8,86,17
10,25-04-17 1146,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU8830217,Y-TSCT-1C3003.3,1C3003.3,Y-TSCT-Q10,1CA30,R316,T-TJCG1780-2 (TQ),DACW_004,INNSA,CNTSN,NOM96,NOM40,45G1,19411,V-DACW_004-341086,1C,30,3,3,V-DACW_004,34,10,86,17
