order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-14 1350,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU4656000,Y-TSCT-1C3411.1,1C3411.1,Y-TSCT-Q12,1CA34,R316,T-TJCG7812-2 (TQ),FUL_000,SGSIN,CNTSN,NOM86,NOM40,42G1,9506,V-FUL_000-100182,1C,34,11,1,V-FUL_000,10,1,82,7
1,25-02-14 1758,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5277503,Y-TSCT-1C3404.4,1C3404.4,Y-TSCT-Q09,1CA34,R316,T-TJCG7122-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31868,V-FUL_000-542072,1C,34,4,4,V-FUL_000,54,20,72,7
2,25-02-14 1805,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU5612263,Y-TSCT-1C3403.4,1C3403.4,Y-TSCT-Q09,1CA34,R316,T-TJC85297-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31868,V-FUL_000-542074,1C,34,3,4,V-FUL_000,54,20,74,7
3,25-02-14 1817,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1001899,Y-TSCT-1C3404.3,1C3404.3,Y-TSCT-Q09,1CA34,R316,T-TJC85366-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31808,V-FUL_000-541876,1C,34,4,3,V-FUL_000,54,18,76,7
4,25-02-14 1822,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU7959488,Y-TSCT-1C3403.3,1C3403.3,Y-TSCT-Q09,1CA34,R316,T-TJCG7697-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31868,V-FUL_000-542076,1C,34,3,3,V-FUL_000,54,20,76,7
5,25-02-14 1857,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU5312497,Y-TSCT-1C3404.2,1C3404.2,Y-TSCT-Q09,1CA34,R316,T-TJCK6685-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,32068,V-FUL_000-541078,1C,34,4,2,V-FUL_000,54,10,78,7
6,25-02-14 1859,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1028396,Y-TSCT-1C3402.2,1C3402.2,Y-TSCT-Q09,1CA34,R316,T-TJC80288-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31756,V-FUL_000-541278,1C,34,2,2,V-FUL_000,54,12,78,7
7,25-02-14 1903,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU4416084,Y-TSCT-1C3404.1,1C3404.1,Y-TSCT-Q09,1CA34,R316,T-TJCD0767-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31812,V-FUL_000-541478,1C,34,4,1,V-FUL_000,54,14,78,7
8,25-02-14 1905,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0962443,Y-TSCT-1C3408.1,1C3408.1,Y-TSCT-Q09,1CA34,R316,T-TJCH8506-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31868,V-FUL_000-541678,1C,34,8,1,V-FUL_000,54,16,78,7
9,25-02-14 1907,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU7796808,Y-TSCT-1C3406.3,1C3406.3,Y-TSCT-Q09,1CA34,R316,T-TJCG7710-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,32008,V-FUL_000-541878,1C,34,6,3,V-FUL_000,54,18,78,7
10,25-02-14 1909,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU5577115,Y-TSCT-1C3406.2,1C3406.2,Y-TSCT-Q09,1CA34,R316,T-TJCH1082-2 (TQ),FUL_000,SGSIN,CNTSN,NOM96,NOM40,45G1,31938,V-FUL_000-542078,1C,34,6,2,V-FUL_000,54,20,78,7
