order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-07 1908,UNIT_YARD_MOVE,LOAD,EXPRT,HDMU4723355,Y-TSCT-1C4609.3,1C4609.3,Y-TSCT-Q12,1CA46,R315,T-SDUW6725-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42G1,26937,V-GEDSK_005-261178,1C,46,9,3,V-GEDSK_005,26,11,78,2
1,25-04-07 1912,UNIT_YARD_MOVE,LOAD,EXPRT,HDMU4726837,Y-TSCT-1C4609.2,1C4609.2,Y-TSCT-Q12,1CA46,R315,T-TJC63956-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42G1,10430,V-GEDSK_005-260978,1C,46,9,2,V-GEDSK_005,26,9,78,2
2,25-04-07 1914,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU4062868,Y-TSCT-1C4609.1,1C4609.1,Y-TSCT-Q12,1CA46,R315,T-TJC15639-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42G1,22921,V-GEDSK_005-260778,1C,46,9,1,V-GEDSK_005,26,7,78,2
3,25-04-07 1918,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU4768148,Y-TSCT-1C4603.3,1C4603.3,Y-TSCT-Q12,1CA46,R315,T-TJCK6916-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42G1,22080,V-GEDSK_005-260578,1C,46,3,3,V-GEDSK_005,26,5,78,2
4,25-04-07 1923,UNIT_YARD_MOVE,LOAD,EXPRT,TRIU0519874,Y-TSCT-1C4602.3,1C4602.3,Y-TSCT-Q12,1CA46,R315,T-SXA05762D-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42U1,11320,V-GEDSK_005-260378,1C,46,2,3,V-GEDSK_005,26,3,78,2
5,25-04-07 1926,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU5608865,Y-TSCT-1C4603.2,1C4603.2,Y-TSCT-Q12,1CA46,R315,T-TJCD0196-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42U1,11410,V-GEDSK_005-260178,1C,46,3,2,V-GEDSK_005,26,1,78,2
6,25-04-07 1928,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU0401128,Y-TSCT-1C4602.2,1C4602.2,Y-TSCT-Q12,1CA46,R315,T-TJCD0078-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42U1,11320,V-GEDSK_005-260278,1C,46,2,2,V-GEDSK_005,26,2,78,2
7,25-04-07 1931,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7082668,Y-TSCT-1C4602.1,1C4602.1,Y-TSCT-Q12,1CA46,R315,T-TJCD0655-2 (TQ),GEDSK_005,KRPUN,CNTSN,NOM86,NOM40,42U1,8550,V-GEDSK_005-260478,1C,46,2,1,V-GEDSK_005,26,4,78,2
8,25-04-08 0034,UNIT_YARD_MOVE,LOAD,EXPRT,UETU4080135,Y-TSCT-1C4611.4,1C4611.4,Y-TSCT-Q11,1CA46,R315,T-TJCL5185-2 (TQ),GEDSK_005,KRPUS,CNTSN,NOM86,NOM40,42G1,7720,V-GEDSK_005-460218,1C,46,11,4,V-GEDSK_005,46,2,18,2
9,25-04-08 0038,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU5193661,Y-TSCT-1C4606.3,1C4606.3,Y-TSCT-Q11,1CA46,R315,T-TJCK6313-2 (TQ),GEDSK_005,NLRTM,CNTSN,NOM86,NOM40,42G1,9659,V-GEDSK_005-461318,1C,46,6,3,V-GEDSK_005,46,13,18,2
10,25-04-08 1105,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU4226400,Y-TSCT-1C4611.3,1C4611.3,Y-TSCT-Q12,1CA46,R315,T-TJCK6016-2 (TQ),GEDSK_005,DEHAM,CNTSN,NOM86,NOM40,42G1,26074,V-GEDSK_005-181002,1C,46,11,3,V-GEDSK_005,18,10,2,11
11,25-04-08 1302,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5532113,Y-TSCT-1C4611.2,1C4611.2,Y-TSCT-Q12,1CA46,R316,T-TJCD3312-2 (TQ),GEDSK_005,DEHAM,CNTSN,NOM86,NOM40,42G1,8663,V-GEDSK_005-180216,1C,46,11,2,V-GEDSK_005,18,2,16,11
12,25-04-08 1307,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU4254341,Y-TSCT-1C4611.1,1C4611.1,Y-TSCT-Q12,1CA46,R316,T-TJC50282-2 (TQ),GEDSK_005,DEHAM,CNTSN,NOM86,NOM40,42G1,9220,V-GEDSK_005-180416,1C,46,11,1,V-GEDSK_005,18,4,16,11
