order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-23 2320,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2428443,Y-TSCT-2B2911.4,2B2911.4,Y-TSCT-Q08,2BA29,R324,T-TJCG1268-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,25339,V-GUANGH_01E-290302,2B,29,11,4,V-GUANGH_01E,29,3,2,2
1,25-02-23 2330,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0258069,Y-TSCT-2B2911.2,2B2911.2,Y-TSCT-Q08,2BA29,R324,T-TJCH1726-3 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,27240,V-GUANGH_01E-290504,2B,29,11,2,V-GUANGH_01E,29,5,4,2
2,25-02-24 0136,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0317840,Y-TSCT-2B2911.1,2B2911.1,Y-TSCT-Q08,2BA29,R324,T-TJCK0577-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,27400,V-GUANGH_01E-290202,2B,29,11,1,V-GUANGH_01E,29,2,2,2
3,25-02-24 0138,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2861849,Y-TSCT-2B2908.1,2B2908.1,Y-TSCT-Q08,2BA29,R324,T-TJCF1131-3 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,28610,V-GUANGH_01E-310202,2B,29,8,1,V-GUANGH_01E,31,2,2,2
4,25-02-24 0141,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2017508,Y-TSCT-2B2910.2,2B2910.2,Y-TSCT-Q08,2BA29,R324,T-TJCG1810-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,25855,V-GUANGH_01E-290104,2B,29,10,2,V-GUANGH_01E,29,1,4,2
5,25-02-24 0143,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1553466,Y-TSCT-2B2910.1,2B2910.1,Y-TSCT-Q08,2BA29,R324,T-TJCG1010-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,24870,V-GUANGH_01E-310104,2B,29,10,1,V-GUANGH_01E,31,1,4,2
6,25-02-24 0151,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1392419,Y-TSCT-2B2907.3,2B2907.3,Y-TSCT-Q08,2BA29,R324,T-TJC58667-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,21906,V-GUANGH_01E-310404,2B,29,7,3,V-GUANGH_01E,31,4,4,2
7,25-02-24 0153,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2320046,Y-TSCT-2B2907.2,2B2907.2,Y-TSCT-Q08,2BA29,R324,T-TJCE2600-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,22149,V-GUANGH_01E-290106,2B,29,7,2,V-GUANGH_01E,29,1,6,2
8,25-02-24 0155,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1623840,Y-TSCT-2B2907.1,2B2907.1,Y-TSCT-Q08,2BA29,R324,T-TJCB7029-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,22815,V-GUANGH_01E-310106,2B,29,7,1,V-GUANGH_01E,31,1,6,2
9,25-02-24 0206,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2334647,Y-TSCT-2B2906.4,2B2906.4,Y-TSCT-Q09,2BA29,R324,T-TJCA8293-2 (TQ),GUANGH_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,22505,V-GUANGH_01E-210704,2B,29,6,4,V-GUANGH_01E,21,7,4,2
