order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-22 1831,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8394632,Y-TSCT-1A2210.1,1A2210.1,Y-TSCT-Q05,1AA22,R312,T-TJCK6661-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45G1,30916,V-HANC_004-060116,1A,22,10,1,V-HANC_004,6,1,16,37
1,25-04-22 1833,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU8189440,Y-TSCT-1A2209.1,1A2209.1,Y-TSCT-Q05,1AA22,R312,T-TJCG7710-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32752,V-HANC_004-060016,1A,22,9,1,V-HANC_004,6,0,16,37
2,25-04-22 1837,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9842457,Y-TSCT-1A2208.1,1A2208.1,Y-TSCT-Q05,1AA22,R312,T-TJCK6633-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32736,V-HANC_004-060216,1A,22,8,1,V-HANC_004,6,2,16,37
3,25-04-22 2016,UNIT_YARD_MOVE,LOAD,EXPRT,TRIU8862004,Y-TSCT-1A2206.1,1A2206.1,Y-TSCT-Q01,1AA22,R312,T-TJC97616-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32944,V-HANC_004-620506,1A,22,6,1,V-HANC_004,62,5,6,37
4,25-04-22 2023,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU9778474,Y-TSCT-1A2205.1,1A2205.1,Y-TSCT-Q01,1AA22,R312,T-TJCC6272-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32854,V-HANC_004-621308,1A,22,5,1,V-HANC_004,62,13,8,37
5,25-04-22 2332,UNIT_YARD_MOVE,LOAD,EXPRT,HASU4460891,Y-TSCT-1A2203.1,1A2203.1,Y-TSCT-Q01,1AA22,R312,T-TJCG7538-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45G1,32084,V-HANC_004-621682,1A,22,3,1,V-HANC_004,62,16,82,37
6,25-04-23 0756,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9847736,Y-TSCT-1A2207.1,1A2207.1,Y-TSCT-Q02,1AA22,R312,T-HBFN4991-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32702,V-HANC_004-620784,1A,22,7,1,V-HANC_004,62,7,84,37
7,25-04-23 0759,UNIT_YARD_MOVE,LOAD,EXPRT,SZLU9524207,Y-TSCT-1A2204.1,1A2204.1,Y-TSCT-Q02,1AA22,R312,T-HBFN6679-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45R1,32682,V-HANC_004-620584,1A,22,4,1,V-HANC_004,62,5,84,37
8,25-04-23 0825,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU6882050,Y-TSCT-1A2202.1,1A2202.1,Y-TSCT-Q02,1AA22,R312,T-TJCG1281-2 (TQ),HANC_004,INMUN,CNTSN,NOM96,NOM40,45G1,30755,V-HANC_004-621484,1A,22,2,1,V-HANC_004,62,14,84,37
9,25-04-23 0344,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU1958965,Y-TSCT-1A4705.1,1A4705.1,Y-TSCT-Q05,1AA47,R311,T-TJA02741D-3 (TQ),HANC_004,MYTPP,CNTSN,NOM86,NOM20,22G1,28680,V-HANC_004-171008,1A,47,5,1,V-HANC_004,17,10,8,13
10,25-04-23 1256,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU9707347,Y-TSCT-1A4704.1,1A4704.1,Y-TSCT-Q05,1AA47,R311,T-TJC32351-2 (TQ),HANC_004,MYTPP,CNTSN,NOM86,NOM20,22G1,28730,V-HANC_004-090482,1A,47,4,1,V-HANC_004,9,4,82,13
11,25-04-23 1258,UNIT_YARD_MOVE,LOAD,EXPRT,HASU1244918,Y-TSCT-1A4703.1,1A4703.1,Y-TSCT-Q05,1AA47,R311,T-TJC32521-3 (TQ),HANC_004,MYTPP,CNTSN,NOM86,NOM20,22G1,28720,V-HANC_004-110482,1A,47,3,1,V-HANC_004,11,4,82,13
