order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-13 1248,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU2400977,Y-TSCT-3A1511.4,3A1511.4,Y-TSCT-Q03,3AA15,R332,T-TJC93183-1 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,24682,V-HED_0EA-070302,3A,15,11,4,V-HED_0EA,7,3,2,0
1,25-02-13 1250,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU2402476,Y-TSCT-3A1511.3,3A1511.3,Y-TSCT-Q03,3AA15,R332,T-TJC97207-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,26227,V-HED_0EA-090302,3A,15,11,3,V-HED_0EA,9,3,2,0
2,25-02-13 1329,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU2158006,Y-TSCT-3A1511.2,3A1511.2,Y-TSCT-Q03,3AA15,R332,T-TJCL7169-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,27166,V-HED_0EA-070402,3A,15,11,2,V-HED_0EA,7,4,2,0
3,25-02-13 1331,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU2178152,Y-TSCT-3A1511.1,3A1511.1,Y-TSCT-Q03,3AA15,R332,T-TJC92306-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,27212,V-HED_0EA-090402,3A,15,11,1,V-HED_0EA,9,4,2,0
4,25-02-13 1343,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU3065023,Y-TSCT-3A1503.1,3A1503.1,Y-TSCT-Q03,3AA15,R332,T-TJC67096-3 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,22350,V-HED_0EA-070504,3A,15,3,1,V-HED_0EA,7,5,4,0
5,25-02-13 1345,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0165709,Y-TSCT-3A1504.4,3A1504.4,Y-TSCT-Q03,3AA15,R332,T-TJCC2532-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,22380,V-HED_0EA-090504,3A,15,4,4,V-HED_0EA,9,5,4,0
6,25-02-13 1404,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2146393,Y-TSCT-3A1504.3,3A1504.3,Y-TSCT-Q03,3AA15,R332,T-TJC36298-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,22300,V-HED_0EA-070404,3A,15,4,3,V-HED_0EA,7,4,4,0
7,25-02-13 1406,UNIT_YARD_MOVE,LOAD,EXPRT,CICU9554442,Y-TSCT-3A1504.2,3A1504.2,Y-TSCT-Q03,3AA15,R332,T-TJC11980-1 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,23010,V-HED_0EA-090404,3A,15,4,2,V-HED_0EA,9,4,4,0
8,25-02-13 1422,UNIT_YARD_MOVE,LOAD,EXPRT,FYCU7095340,Y-TSCT-3A1505.3,3A1505.3,Y-TSCT-Q03,3AA15,R332,T-TJC50021-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,15233,V-HED_0EA-070506,3A,15,5,3,V-HED_0EA,7,5,6,0
9,25-02-13 1424,UNIT_YARD_MOVE,LOAD,EXPRT,GWSU5001166,Y-TSCT-3A1504.1,3A1504.1,Y-TSCT-Q03,3AA15,R332,T-TJCD1915-1 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,24014,V-HED_0EA-090506,3A,15,4,1,V-HED_0EA,9,5,6,0
10,25-02-13 1638,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU2508989,Y-TSCT-3A1509.5,3A1509.5,Y-TSCT-Q03,3AA15,R332,T-TJC15582-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,21870,V-HED_0EA-050504,3A,15,9,5,V-HED_0EA,5,5,4,0
11,25-02-13 1644,UNIT_YARD_MOVE,LOAD,EXPRT,SLSU2041735,Y-TSCT-3A1510.5,3A1510.5,Y-TSCT-Q03,3AA15,R332,T-TJC62526-1 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,26140,V-HED_0EA-030102,3A,15,10,5,V-HED_0EA,3,1,2,0
12,25-02-13 1647,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5937982,Y-TSCT-3A1510.4,3A1510.4,Y-TSCT-Q03,3AA15,R332,T-TJCG1750-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,27530,V-HED_0EA-050102,3A,15,10,4,V-HED_0EA,5,1,2,0
13,25-02-13 1656,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU2403554,Y-TSCT-3A1510.3,3A1510.3,Y-TSCT-Q03,3AA15,R332,T-TJCK2003-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,26660,V-HED_0EA-030202,3A,15,10,3,V-HED_0EA,3,2,2,0
14,25-02-13 1658,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU2151001,Y-TSCT-3A1510.2,3A1510.2,Y-TSCT-Q03,3AA15,R332,T-TJC75176-2 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,27369,V-HED_0EA-050202,3A,15,10,2,V-HED_0EA,5,2,2,0
15,25-02-13 1700,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2913412,Y-TSCT-3A1509.4,3A1509.4,Y-TSCT-Q03,3AA15,R332,T-TJC07889-3 (TQ),HED_0EA,KRINC,CNTSN,NOM86,NOM20,22G1,21650,V-HED_0EA-030104,3A,15,9,4,V-HED_0EA,3,1,4,0
