order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-21 1433,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU2407890,Y-TSCT-1B1701.1,1B1701.1,Y-TSCT-Q12,1BA17,R314,T-TJA02975D-3 (TQ),HED_0EB,KRINC,CNTSN,NOM86,NOM20,22G1,13762,V-HED_0EB-010182,1B,17,1,1,V-HED_0EB,1,1,82,3
1,25-02-21 1435,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5938361,Y-TSCT-1B1703.1,1B1703.1,Y-TSCT-Q12,1BA17,R314,T-TJA02476D-3 (TQ),HED_0EB,KRINC,CNTSN,NOM86,NOM20,22G1,24530,V-HED_0EB-010482,1B,17,3,1,V-HED_0EB,1,4,82,3
2,25-02-21 1248,UNIT_YARD_MOVE,LOAD,EXPRT,WAEU4107524,Y-TSCT-3C2401.1,3C2401.1,Y-TSCT-Q11,3CA24,R336,T-TJCG7392-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45U1,25455,V-HED_0EB-120506,3C,24,1,1,V-HED_0EB,12,5,6,0
3,25-02-21 1252,UNIT_YARD_MOVE,LOAD,EXPRT,CARU9765473,Y-TSCT-3C2411.4,3C2411.4,Y-TSCT-Q11,3CA24,R336,T-TJCB0732-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,27888,V-HED_0EB-120306,3C,24,11,4,V-HED_0EB,12,3,6,0
4,25-02-21 1256,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4634398,Y-TSCT-3C2411.3,3C2411.3,Y-TSCT-Q11,3CA24,R336,T-TJCK2382-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,29300,V-HED_0EB-120106,3C,24,11,3,V-HED_0EB,12,1,6,0
5,25-02-21 1258,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU4344289,Y-TSCT-3C2411.2,3C2411.2,Y-TSCT-Q11,3CA24,R336,T-TJC11531-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,28320,V-HED_0EB-120006,3C,24,11,2,V-HED_0EB,12,0,6,0
6,25-02-21 1300,UNIT_YARD_MOVE,LOAD,EXPRT,PCLU5229801,Y-TSCT-3C2411.1,3C2411.1,Y-TSCT-Q11,3CA24,R336,T-TJCK2059-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,27713,V-HED_0EB-120206,3C,24,11,1,V-HED_0EB,12,2,6,0
7,25-02-21 1302,UNIT_YARD_MOVE,LOAD,EXPRT,CBLU1112936,Y-TSCT-3C2410.5,3C2410.5,Y-TSCT-Q11,3CA24,R336,T-TJAU3713-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,26340,V-HED_0EB-120406,3C,24,10,5,V-HED_0EB,12,4,6,0
8,25-02-21 1306,UNIT_YARD_MOVE,LOAD,EXPRT,PCLU5160829,Y-TSCT-3C2410.4,3C2410.4,Y-TSCT-Q11,3CA24,R336,T-TJCK0517-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,27980,V-HED_0EB-120606,3C,24,10,4,V-HED_0EB,12,6,6,0
9,25-02-21 1310,UNIT_YARD_MOVE,LOAD,EXPRT,SLSU8034271,Y-TSCT-3C2409.5,3C2409.5,Y-TSCT-Q11,3CA24,R336,T-TJC81009-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,22920,V-HED_0EB-120782,3C,24,9,5,V-HED_0EB,12,7,82,0
10,25-02-21 1311,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7640791,Y-TSCT-3C2409.4,3C2409.4,Y-TSCT-Q11,3CA24,R336,T-TJCK6933-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,21530,V-HED_0EB-120582,3C,24,9,4,V-HED_0EB,12,5,82,0
11,25-02-21 1313,UNIT_YARD_MOVE,LOAD,EXPRT,CBLU1112962,Y-TSCT-3C2409.3,3C2409.3,Y-TSCT-Q11,3CA24,R336,T-TJC67800-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,23714,V-HED_0EB-120382,3C,24,9,3,V-HED_0EB,12,3,82,0
12,25-02-21 1320,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU5233377,Y-TSCT-3C2410.3,3C2410.3,Y-TSCT-Q11,3CA24,R336,T-TJCK6321-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,28900,V-HED_0EB-120182,3C,24,10,3,V-HED_0EB,12,1,82,0
13,25-02-21 1324,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4492200,Y-TSCT-3C2410.2,3C2410.2,Y-TSCT-Q11,3CA24,R336,T-TJCG7292-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,26430,V-HED_0EB-120282,3C,24,10,2,V-HED_0EB,12,2,82,0
14,25-02-21 1326,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4438570,Y-TSCT-3C2409.2,3C2409.2,Y-TSCT-Q11,3CA24,R336,T-TJCK6022-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,20660,V-HED_0EB-120482,3C,24,9,2,V-HED_0EB,12,4,82,0
15,25-02-21 1327,UNIT_YARD_MOVE,LOAD,EXPRT,PCLU5111280,Y-TSCT-3C2409.1,3C2409.1,Y-TSCT-Q11,3CA24,R336,T-TJC07996-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,25583,V-HED_0EB-120682,3C,24,9,1,V-HED_0EB,12,6,82,0
16,25-02-21 1329,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU8703237,Y-TSCT-3C2410.1,3C2410.1,Y-TSCT-Q11,3CA24,R336,T-TJCK2698-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,24203,V-HED_0EB-120882,3C,24,10,1,V-HED_0EB,12,8,82,0
17,25-02-21 1333,UNIT_YARD_MOVE,LOAD,EXPRT,WSCU7847884,Y-TSCT-3C2403.4,3C2403.4,Y-TSCT-Q11,3CA24,R336,T-TJC68775-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,8675,V-HED_0EB-120784,3C,24,3,4,V-HED_0EB,12,7,84,0
18,25-02-21 1431,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU5572935,Y-TSCT-3C2403.3,3C2403.3,Y-TSCT-Q11,3CA24,R336,T-BJAMC801-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,9072,V-HED_0EB-120584,3C,24,3,3,V-HED_0EB,12,5,84,0
19,25-02-21 1433,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7308684,Y-TSCT-3C2408.4,3C2408.4,Y-TSCT-Q11,3CA24,R336,T-HBJ8T672-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,7460,V-HED_0EB-120384,3C,24,8,4,V-HED_0EB,12,3,84,0
20,25-02-21 1435,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7641967,Y-TSCT-3C2408.3,3C2408.3,Y-TSCT-Q11,3CA24,R336,T-TJCE2975-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,7686,V-HED_0EB-120184,3C,24,8,3,V-HED_0EB,12,1,84,0
21,25-02-21 1437,UNIT_YARD_MOVE,LOAD,EXPRT,BOMU8300867,Y-TSCT-3C2408.2,3C2408.2,Y-TSCT-Q11,3CA24,R336,T-HBJ8T672-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,10130,V-HED_0EB-120284,3C,24,8,2,V-HED_0EB,12,2,84,0
22,25-02-21 1500,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7305690,Y-TSCT-3C2403.2,3C2403.2,Y-TSCT-Q11,3CA24,R336,T-TJC22808-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,7979,V-HED_0EB-120684,3C,24,3,2,V-HED_0EB,12,6,84,0
23,25-02-21 1505,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU4638192,Y-TSCT-3C2403.1,3C2403.1,Y-TSCT-Q11,3CA24,R336,T-TJC57891-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,7340,V-HED_0EB-120884,3C,24,3,1,V-HED_0EB,12,8,84,0
24,25-02-21 1640,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU8283603,Y-TSCT-3C2405.5,3C2405.5,Y-TSCT-Q11,3CA24,R336,T-TJCK6780-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,16300,V-HED_0EB-160508,3C,24,5,5,V-HED_0EB,16,5,8,0
25,25-02-21 1642,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4235759,Y-TSCT-3C2405.4,3C2405.4,Y-TSCT-Q11,3CA24,R336,T-TJCG8190-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,15767,V-HED_0EB-160308,3C,24,5,4,V-HED_0EB,16,3,8,0
26,25-02-21 1643,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU4693559,Y-TSCT-3C2405.3,3C2405.3,Y-TSCT-Q11,3CA24,R336,T-TJCK6972-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,13014,V-HED_0EB-160108,3C,24,5,3,V-HED_0EB,16,1,8,0
27,25-02-21 1645,UNIT_YARD_MOVE,LOAD,EXPRT,CKFU7800747,Y-TSCT-3C2405.2,3C2405.2,Y-TSCT-Q11,3CA24,R336,T-TJCK6780-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,15160,V-HED_0EB-160008,3C,24,5,2,V-HED_0EB,16,0,8,0
28,25-02-21 1647,UNIT_YARD_MOVE,LOAD,EXPRT,PCLU5041711,Y-TSCT-3C2402.3,3C2402.3,Y-TSCT-Q11,3CA24,R336,T-SHDQ6226-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,24520,V-HED_0EB-160208,3C,24,2,3,V-HED_0EB,16,2,8,0
29,25-02-21 1649,UNIT_YARD_MOVE,LOAD,EXPRT,SLSU8038425,Y-TSCT-3C2405.1,3C2405.1,Y-TSCT-Q11,3CA24,R336,T-TJCK2072-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,10503,V-HED_0EB-160408,3C,24,5,1,V-HED_0EB,16,4,8,0
30,25-02-21 1651,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7307306,Y-TSCT-3C2406.5,3C2406.5,Y-TSCT-Q11,3CA24,R336,T-TJCF1971-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,7618,V-HED_0EB-160608,3C,24,6,5,V-HED_0EB,16,6,8,0
31,25-02-21 1700,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU5016330,Y-TSCT-3C2406.4,3C2406.4,Y-TSCT-Q11,3CA24,R336,T-TJC97362-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,8091,V-HED_0EB-160782,3C,24,6,4,V-HED_0EB,16,7,82,0
32,25-02-21 1709,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU8817701,Y-TSCT-3C2406.3,3C2406.3,Y-TSCT-Q11,3CA24,R336,T-HBC26738-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,8058,V-HED_0EB-160682,3C,24,6,3,V-HED_0EB,16,6,82,0
33,25-02-21 1721,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7641648,Y-TSCT-3C2406.2,3C2406.2,Y-TSCT-Q11,3CA24,R336,T-TJCG7292-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,9210,V-HED_0EB-160882,3C,24,6,2,V-HED_0EB,16,8,82,0
34,25-02-21 1722,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7305788,Y-TSCT-3C2407.5,3C2407.5,Y-TSCT-Q11,3CA24,R336,T-TJC85977-2 (TQ),HED_0EB,KRINC,CNTSN,NOM96,NOM40,45G1,6925,V-HED_0EB-160784,3C,24,7,5,V-HED_0EB,16,7,84,0
