order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-01 0000,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7639337,Y-TSCT-1C3410.2,1C3410.2,Y-TSCT-Q10,1CA34,R316,T-TJCB8761-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,26327,V-HED_0EC-200204,1C,34,10,2,V-HED_0EC,20,2,4,2
1,25-03-01 0012,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU9220038,Y-TSCT-1C3409.4,1C3409.4,Y-TSCT-Q10,1CA34,R315,T-TJCK2690-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,20715,V-HED_0EC-200106,1C,34,9,4,V-HED_0EC,20,1,6,2
2,25-03-01 0330,UNIT_YARD_MOVE,LOAD,EXPRT,TEXU1543819,Y-TSCT-1C3402.1,1C3402.1,Y-TSCT-Q10,1CA34,R315,T-TJC67257-2 (TQ),HED_0EC,KRINC,CNTSN,NOM86,NOM40,42U1,19510,V-HED_0EC-160006,1C,34,2,1,V-HED_0EC,16,0,6,2
3,25-03-01 0821,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4481720,Y-TSCT-1C3409.3,1C3409.3,Y-TSCT-Q11,1CA34,R316,T-TJC87026-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,18443,V-HED_0EC-200582,1C,34,9,3,V-HED_0EC,20,5,82,2
4,25-03-01 0823,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU6985072,Y-TSCT-1C3409.2,1C3409.2,Y-TSCT-Q11,1CA34,R316,T-TJCK6528-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,20043,V-HED_0EC-200382,1C,34,9,2,V-HED_0EC,20,3,82,2
5,25-03-01 0825,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4380518,Y-TSCT-1C3409.1,1C3409.1,Y-TSCT-Q11,1CA34,R316,T-TJCG1683-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,21680,V-HED_0EC-200182,1C,34,9,1,V-HED_0EC,20,1,82,2
6,25-03-01 0859,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU8817743,Y-TSCT-1C3408.3,1C3408.3,Y-TSCT-Q11,1CA34,R316,T-TJCF1602-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,8556,V-HED_0EC-200484,1C,34,8,3,V-HED_0EC,20,4,84,2
7,25-03-01 0903,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU5222109,Y-TSCT-1C3408.2,1C3408.2,Y-TSCT-Q11,1CA34,R316,T-TJCK2506-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,9948,V-HED_0EC-200684,1C,34,8,2,V-HED_0EC,20,6,84,2
8,25-03-01 0904,UNIT_YARD_MOVE,LOAD,EXPRT,BOMU5403542,Y-TSCT-1C3408.1,1C3408.1,Y-TSCT-Q11,1CA34,R316,T-TJC68775-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,8748,V-HED_0EC-200884,1C,34,8,1,V-HED_0EC,20,8,84,2
9,25-03-01 0906,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU6808633,Y-TSCT-1C3410.1,1C3410.1,Y-TSCT-Q11,1CA34,R316,T-TJCD0196-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,6044,V-HED_0EC-200786,1C,34,10,1,V-HED_0EC,20,7,86,2
10,25-03-01 0908,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7305303,Y-TSCT-1C3407.1,1C3407.1,Y-TSCT-Q11,1CA34,R316,T-TJC22808-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,7912,V-HED_0EC-200586,1C,34,7,1,V-HED_0EC,20,5,86,2
11,25-03-01 0606,UNIT_YARD_MOVE,LOAD,EXPRT,DWSU5000697,Y-TSCT-1C4209.5,1C4209.5,Y-TSCT-Q10,1CA42,R315,T-TJCD3312-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13221,V-HED_0EC-240508,1C,42,9,5,V-HED_0EC,24,5,8,2
12,25-03-01 0611,UNIT_YARD_MOVE,LOAD,EXPRT,VPLU5008696,Y-TSCT-1C4208.5,1C4208.5,Y-TSCT-Q10,1CA42,R315,T-TJCF1117-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13655,V-HED_0EC-240308,1C,42,8,5,V-HED_0EC,24,3,8,2
13,25-03-01 0613,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU6456749,Y-TSCT-1C4209.4,1C4209.4,Y-TSCT-Q10,1CA42,R315,T-TJCK6635-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,16514,V-HED_0EC-240108,1C,42,9,4,V-HED_0EC,24,1,8,2
14,25-03-01 0620,UNIT_YARD_MOVE,LOAD,EXPRT,SUZU4023778,Y-TSCT-1C4208.4,1C4208.4,Y-TSCT-Q10,1CA42,R315,T-TJCD3189-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,14534,V-HED_0EC-240008,1C,42,8,4,V-HED_0EC,24,0,8,2
15,25-03-01 0623,UNIT_YARD_MOVE,LOAD,EXPRT,TDLU7021962,Y-TSCT-1C4205.5,1C4205.5,Y-TSCT-Q10,1CA42,R315,T-TJCK6780-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,15940,V-HED_0EC-240208,1C,42,5,5,V-HED_0EC,24,2,8,2
16,25-03-01 0625,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU8704608,Y-TSCT-1C4205.4,1C4205.4,Y-TSCT-Q10,1CA42,R315,T-TJCK2959-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,15720,V-HED_0EC-240408,1C,42,5,4,V-HED_0EC,24,4,8,2
17,25-03-01 0628,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU7306486,Y-TSCT-1C4205.3,1C4205.3,Y-TSCT-Q10,1CA42,R315,T-TJC07170-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,14588,V-HED_0EC-240608,1C,42,5,3,V-HED_0EC,24,6,8,2
18,25-03-01 0630,UNIT_YARD_MOVE,LOAD,EXPRT,SUZU4027351,Y-TSCT-1C4205.2,1C4205.2,Y-TSCT-Q10,1CA42,R315,T-TJCB2091-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,10180,V-HED_0EC-240782,1C,42,5,2,V-HED_0EC,24,7,82,2
19,25-03-01 0632,UNIT_YARD_MOVE,LOAD,EXPRT,WSCU7194774,Y-TSCT-1C4205.1,1C4205.1,Y-TSCT-Q10,1CA42,R315,T-TJC63956-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,11325,V-HED_0EC-240582,1C,42,5,1,V-HED_0EC,24,5,82,2
20,25-03-01 0635,UNIT_YARD_MOVE,LOAD,EXPRT,VPLU5008037,Y-TSCT-1C4209.3,1C4209.3,Y-TSCT-Q10,1CA42,R315,T-TJCK6187-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13329,V-HED_0EC-240382,1C,42,9,3,V-HED_0EC,24,3,82,2
21,25-03-01 0637,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU9220017,Y-TSCT-1C4208.3,1C4208.3,Y-TSCT-Q10,1CA42,R315,T-TJC79687-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13999,V-HED_0EC-240182,1C,42,8,3,V-HED_0EC,24,1,82,2
22,25-03-01 0640,UNIT_YARD_MOVE,LOAD,EXPRT,OOLU8495032,Y-TSCT-1C4209.2,1C4209.2,Y-TSCT-Q10,1CA42,R315,T-TJCJ7088-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13640,V-HED_0EC-240282,1C,42,9,2,V-HED_0EC,24,2,82,2
23,25-03-01 0642,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4736738,Y-TSCT-1C4208.2,1C4208.2,Y-TSCT-Q10,1CA42,R315,T-TJC79675-2 (TQ),HED_0EC,KRINC,CNTSN,NOM96,NOM40,45G1,13014,V-HED_0EC-240482,1C,42,8,2,V-HED_0EC,24,4,82,2
