order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-24 0127,UNIT_YARD_MOVE,LOAD,EXPRT,CRXU6923831,Y-TSCT-1A1009.5,1A1009.5,Y-TSCT-Q01,1AA10,R312,T-TJCC3672-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900414,1A,10,9,5,V-JIEM_000,90,4,14,48
1,25-03-24 0129,UNIT_YARD_MOVE,LOAD,EXPRT,CXRU1268565,Y-TSCT-1A1010.5,1A1010.5,Y-TSCT-Q01,1AA10,R312,T-TJCH1162-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900214,1A,10,10,5,V-JIEM_000,90,2,14,48
2,25-03-24 0135,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU9734306,Y-TSCT-1A1008.5,1A1008.5,Y-TSCT-Q01,1AA10,R312,T-TJC68906-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900614,1A,10,8,5,V-JIEM_000,90,6,14,48
3,25-03-24 0136,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU9683003,Y-TSCT-1A1007.5,1A1007.5,Y-TSCT-Q01,1AA10,R312,T-TJCH1873-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900814,1A,10,7,5,V-JIEM_000,90,8,14,48
4,25-03-24 0139,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU9720402,Y-TSCT-1A1006.5,1A1006.5,Y-TSCT-Q01,1AA10,R312,T-TJCC5658-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-901014,1A,10,6,5,V-JIEM_000,90,10,14,48
5,25-03-24 0142,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU9010550,Y-TSCT-1A1005.5,1A1005.5,Y-TSCT-Q01,1AA10,R312,T-TJCH1697-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900216,1A,10,5,5,V-JIEM_000,90,2,16,48
6,25-03-24 0145,UNIT_YARD_MOVE,LOAD,EXPRT,TTNU8090992,Y-TSCT-1A1004.5,1A1004.5,Y-TSCT-Q01,1AA10,R312,T-TJCC7595-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900416,1A,10,4,5,V-JIEM_000,90,4,16,48
7,25-03-24 0146,UNIT_YARD_MOVE,LOAD,EXPRT,SZLU9395202,Y-TSCT-1A1011.4,1A1011.4,Y-TSCT-Q01,1AA10,R312,T-TJCH1333-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900616,1A,10,11,4,V-JIEM_000,90,6,16,48
8,25-03-24 0148,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU5124738,Y-TSCT-1A1010.4,1A1010.4,Y-TSCT-Q01,1AA10,R312,T-TJCC8192-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900816,1A,10,10,4,V-JIEM_000,90,8,16,48
9,25-03-24 0150,UNIT_YARD_MOVE,LOAD,EXPRT,CXRU1566214,Y-TSCT-1A1009.4,1A1009.4,Y-TSCT-Q01,1AA10,R312,T-TJCE2200-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-901016,1A,10,9,4,V-JIEM_000,90,10,16,48
10,25-03-24 0152,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU9720085,Y-TSCT-1A1008.4,1A1008.4,Y-TSCT-Q01,1AA10,R312,T-TJCB1592-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900218,1A,10,8,4,V-JIEM_000,90,2,18,48
11,25-03-24 0154,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU9660230,Y-TSCT-1A1007.4,1A1007.4,Y-TSCT-Q01,1AA10,R312,T-TJCH1776-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900418,1A,10,7,4,V-JIEM_000,90,4,18,48
12,25-03-24 0156,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU9724080,Y-TSCT-1A1006.4,1A1006.4,Y-TSCT-Q01,1AA10,R312,T-TJCB3532-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900618,1A,10,6,4,V-JIEM_000,90,6,18,48
13,25-03-24 0157,UNIT_YARD_MOVE,LOAD,EXPRT,OTPU6581536,Y-TSCT-1A1005.4,1A1005.4,Y-TSCT-Q01,1AA10,R312,T-TJCH1666-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900818,1A,10,5,4,V-JIEM_000,90,8,18,48
14,25-03-24 0159,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU9039990,Y-TSCT-1A1004.4,1A1004.4,Y-TSCT-Q01,1AA10,R312,T-TJCH1333-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-901018,1A,10,4,4,V-JIEM_000,90,10,18,48
15,25-03-24 0205,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU9508575,Y-TSCT-1A1010.3,1A1010.3,Y-TSCT-Q01,1AA10,R312,T-TJCC1359-2 (TQ),JIEM_000,TGLFW,CNTSN,NOM96,NOM40,45R1,4000,V-JIEM_000-900420,1A,10,10,3,V-JIEM_000,90,4,20,48
