order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-26 1808,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2132445,Y-TSCT-1A5301.1,1A5301.1,Y-TSCT-Q02,1AA53,R311,T-TJAW1778-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,27250,V-KAIT_055-110402,1A,53,1,1,V-KAIT_055,11,4,2,5
1,25-02-26 1813,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1298059,Y-TSCT-1A5304.4,1A5304.4,Y-TSCT-Q02,1AA53,R311,T-TJC31652-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22180,V-KAIT_055-110004,1A,53,4,4,V-KAIT_055,11,0,4,5
2,25-02-26 1816,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6951713,Y-TSCT-1A5303.4,1A5303.4,Y-TSCT-Q02,1AA53,R311,T-TJC08959-3 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22160,V-KAIT_055-090404,1A,53,3,4,V-KAIT_055,9,4,4,5
3,25-02-26 1818,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3132657,Y-TSCT-1A5304.3,1A5304.3,Y-TSCT-Q02,1AA53,R311,T-TJCB6102-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22180,V-KAIT_055-110404,1A,53,4,3,V-KAIT_055,11,4,4,5
4,25-02-26 1832,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1292180,Y-TSCT-1A5303.3,1A5303.3,Y-TSCT-Q02,1AA53,R311,T-TJCG1395-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22160,V-KAIT_055-090306,1A,53,3,3,V-KAIT_055,9,3,6,5
5,25-02-26 1834,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3207533,Y-TSCT-1A5304.2,1A5304.2,Y-TSCT-Q02,1AA53,R311,T-TJCG1672-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22160,V-KAIT_055-110306,1A,53,4,2,V-KAIT_055,11,3,6,5
6,25-02-26 1836,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU2203511,Y-TSCT-1A5303.2,1A5303.2,Y-TSCT-Q02,1AA53,R311,T-TJCG2099-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22280,V-KAIT_055-090206,1A,53,3,2,V-KAIT_055,9,2,6,5
7,25-02-26 1838,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0192509,Y-TSCT-1A5304.1,1A5304.1,Y-TSCT-Q02,1AA53,R311,T-TJCH8050-1 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22160,V-KAIT_055-110206,1A,53,4,1,V-KAIT_055,11,2,6,5
8,25-02-26 1840,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0107092,Y-TSCT-1A5303.1,1A5303.1,Y-TSCT-Q02,1AA53,R311,T-TJCE8731-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22265,V-KAIT_055-090606,1A,53,3,1,V-KAIT_055,9,6,6,5
9,25-02-26 1842,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0178985,Y-TSCT-1A5302.3,1A5302.3,Y-TSCT-Q02,1AA53,R311,T-TJCA9739-2 (TQ),KAIT_055,KRKAN,CNTSN,NOM86,NOM20,22G1,22260,V-KAIT_055-110606,1A,53,2,3,V-KAIT_055,11,6,6,5
