order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-12 2026,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2409912,Y-TSCT-3A7509.3,3A7509.3,Y-TSCT-Q07,3AA75,R331,T-SDUW6725-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,21736,V-KANGQJH_009-010302,3A,75,9,3,V-KANGQJH_009,1,3,2,0
1,25-02-12 2028,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2409893,Y-TSCT-3A7509.2,3A7509.2,Y-TSCT-Q07,3AA75,R331,T-TJCE2879-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,21736,V-KANGQJH_009-030302,3A,75,9,2,V-KANGQJH_009,3,3,2,0
2,25-02-12 2030,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2943855,Y-TSCT-3A7507.2,3A7507.2,Y-TSCT-Q07,3AA75,R331,T-TJC56779-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,27782,V-KANGQJH_009-010102,3A,75,7,2,V-KANGQJH_009,1,1,2,0
3,25-02-12 2032,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2373424,Y-TSCT-3A7507.1,3A7507.1,Y-TSCT-Q07,3AA75,R331,T-TJCB5339-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,28896,V-KANGQJH_009-030102,3A,75,7,1,V-KANGQJH_009,3,1,2,0
4,25-02-12 2034,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2409770,Y-TSCT-3A7508.2,3A7508.2,Y-TSCT-Q07,3AA75,R331,T-TJCE2229-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,21736,V-KANGQJH_009-010202,3A,75,8,2,V-KANGQJH_009,1,2,2,0
5,25-02-12 2036,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2399239,Y-TSCT-3A7508.1,3A7508.1,Y-TSCT-Q07,3AA75,R331,T-TJC91788-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,24276,V-KANGQJH_009-030202,3A,75,8,1,V-KANGQJH_009,3,2,2,0
6,25-02-12 2122,UNIT_YARD_MOVE,LOAD,EXPRT,BHCU3218411,Y-TSCT-3A7511.2,3A7511.2,Y-TSCT-Q07,3AA75,R331,T-SXA07695D-3 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,26150,V-KANGQJH_009-130702,3A,75,11,2,V-KANGQJH_009,13,7,2,0
7,25-02-12 2123,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2950730,Y-TSCT-3A7511.1,3A7511.1,Y-TSCT-Q07,3AA75,R331,T-SXA05362D-3 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,26130,V-KANGQJH_009-150702,3A,75,11,1,V-KANGQJH_009,15,7,2,0
8,25-02-12 2126,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2383572,Y-TSCT-3A7510.2,3A7510.2,Y-TSCT-Q07,3AA75,R331,T-TJCD0767-3 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,30200,V-KANGQJH_009-130802,3A,75,10,2,V-KANGQJH_009,13,8,2,0
9,25-02-12 2216,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2409384,Y-TSCT-3A7509.1,3A7509.1,Y-TSCT-Q07,3AA75,R331,T-TJC13736-3 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM86,NOM20,22G1,22600,V-KANGQJH_009-030282,3A,75,9,1,V-KANGQJH_009,3,2,82,0
10,25-02-12 2037,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8414238,Y-TSCT-3A7807.3,3A7807.3,Y-TSCT-Q07,3AA78,R331,T-TJCD3986-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM96,NOM40,45G1,21340,V-KANGQJH_009-020504,3A,78,7,3,V-KANGQJH_009,2,5,4,0
11,25-02-12 2039,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8634199,Y-TSCT-3A7806.4,3A7806.4,Y-TSCT-Q07,3AA78,R331,T-TJCA2536-2 (TQ),KANGQJH_009,PHMNL,CNTSN,NOM96,NOM40,45G1,25984,V-KANGQJH_009-020304,3A,78,6,4,V-KANGQJH_009,2,3,4,0
