order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-06 1404,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2400052,Y-TSCT-3A1911.4,3A1911.4,Y-TSCT-Q05,3AA19,R332,T-TJCB9252-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,29280,V-KANGQJH_00B-130502,3A,19,11,4,V-KANGQJH_00B,13,5,2,1
1,25-04-06 1407,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2257640,Y-TSCT-3A1911.3,3A1911.3,Y-TSCT-Q05,3AA19,R332,T-TJC91867-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,30185,V-KANGQJH_00B-150502,3A,19,11,3,V-KANGQJH_00B,15,5,2,1
2,25-04-06 1419,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2935295,Y-TSCT-3A1910.5,3A1910.5,Y-TSCT-Q05,3AA19,R332,T-TJC97097-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,29025,V-KANGQJH_00B-130102,3A,19,10,5,V-KANGQJH_00B,13,1,2,1
3,25-04-06 1422,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2401296,Y-TSCT-3A1910.4,3A1910.4,Y-TSCT-Q05,3AA19,R332,T-TJA23208D-3 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,29280,V-KANGQJH_00B-150102,3A,19,10,4,V-KANGQJH_00B,15,1,2,1
4,25-04-06 1423,UNIT_YARD_MOVE,LOAD,EXPRT,UETU3023167,Y-TSCT-3A1909.5,3A1909.5,Y-TSCT-Q05,3AA19,R332,T-TJA26918D-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,28640,V-KANGQJH_00B-130402,3A,19,9,5,V-KANGQJH_00B,13,4,2,1
5,25-04-06 1425,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2399882,Y-TSCT-3A1909.4,3A1909.4,Y-TSCT-Q05,3AA19,R332,T-TJC13767-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,29280,V-KANGQJH_00B-150402,3A,19,9,4,V-KANGQJH_00B,15,4,2,1
6,25-04-06 1429,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2400005,Y-TSCT-3A1910.3,3A1910.3,Y-TSCT-Q05,3AA19,R332,T-TJC35013-3 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-KANGQJH_00B-130802,3A,19,10,3,V-KANGQJH_00B,13,8,2,1
7,25-04-06 1430,UNIT_YARD_MOVE,LOAD,EXPRT,BHCU3213765,Y-TSCT-3A1910.2,3A1910.2,Y-TSCT-Q05,3AA19,R332,T-TJCM7652-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-KANGQJH_00B-150802,3A,19,10,2,V-KANGQJH_00B,15,8,2,1
8,25-04-06 1437,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2306811,Y-TSCT-3A1909.3,3A1909.3,Y-TSCT-Q05,3AA19,R332,T-BJA03558D-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,28170,V-KANGQJH_00B-130504,3A,19,9,3,V-KANGQJH_00B,13,5,4,1
9,25-04-06 1439,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2364736,Y-TSCT-3A1909.2,3A1909.2,Y-TSCT-Q05,3AA19,R332,T-TJCJ2718-2 (TQ),KANGQJH_00B,PHMNL,CNTSN,NOM86,NOM20,22G1,28181,V-KANGQJH_00B-150504,3A,19,9,2,V-KANGQJH_00B,15,5,4,1
