order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-17 0821,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7770102,Y-TSCT-1A3104.5,1A3104.5,Y-TSCT-Q04,1AA31,R312,T-TJCK2083-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23380,V-KELS_002-411102,1A,31,4,5,V-KELS_002,41,11,2,18
1,25-04-17 0823,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7768872,Y-TSCT-1A3103.5,1A3103.5,Y-TSCT-Q04,1AA31,R312,T-TJCK2689-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23280,V-KELS_002-431102,1A,31,3,5,V-KELS_002,43,11,2,18
2,25-04-17 0828,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU0051991,Y-TSCT-1A3104.4,1A3104.4,Y-TSCT-Q04,1AA31,R312,T-TJCK0577-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23470,V-KELS_002-410702,1A,31,4,4,V-KELS_002,41,7,2,18
3,25-04-17 0830,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU2422008,Y-TSCT-1A3103.4,1A3103.4,Y-TSCT-Q04,1AA31,R312,T-TJC07170-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23449,V-KELS_002-430702,1A,31,3,4,V-KELS_002,43,7,2,18
4,25-04-17 0834,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1631348,Y-TSCT-1A3107.4,1A3107.4,Y-TSCT-Q04,1AA31,R312,T-TJCK2761-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,29990,V-KELS_002-410602,1A,31,7,4,V-KELS_002,41,6,2,18
5,25-04-17 0837,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU3783353,Y-TSCT-1A3107.3,1A3107.3,Y-TSCT-Q04,1AA31,R312,T-TJCK2083-1 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,29899,V-KELS_002-430602,1A,31,7,3,V-KELS_002,43,6,2,18
6,25-04-17 0840,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU8523172,Y-TSCT-1A3107.2,1A3107.2,Y-TSCT-Q04,1AA31,R312,T-TJC80806-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,30270,V-KELS_002-411002,1A,31,7,2,V-KELS_002,41,10,2,18
7,25-04-17 0842,UNIT_YARD_MOVE,LOAD,EXPRT,SLEU2419250,Y-TSCT-1A3107.1,1A3107.1,Y-TSCT-Q04,1AA31,R312,T-TJCG1533-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,27995,V-KELS_002-431002,1A,31,7,1,V-KELS_002,43,10,2,18
8,25-04-17 0845,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU2342896,Y-TSCT-1A3104.3,1A3104.3,Y-TSCT-Q04,1AA31,R312,T-TJCK0125-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23481,V-KELS_002-411304,1A,31,4,3,V-KELS_002,41,13,4,18
9,25-04-17 0847,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7768912,Y-TSCT-1A3103.3,1A3103.3,Y-TSCT-Q04,1AA31,R312,T-TJC67096-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23300,V-KELS_002-431304,1A,31,3,3,V-KELS_002,43,13,4,18
10,25-04-17 0850,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7768949,Y-TSCT-1A3104.2,1A3104.2,Y-TSCT-Q04,1AA31,R312,T-TJCE2298-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23280,V-KELS_002-410904,1A,31,4,2,V-KELS_002,41,9,4,18
11,25-04-17 0852,UNIT_YARD_MOVE,LOAD,EXPRT,XHCU2703327,Y-TSCT-1A3103.2,1A3103.2,Y-TSCT-Q04,1AA31,R312,T-TJC07996-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23006,V-KELS_002-430904,1A,31,3,2,V-KELS_002,43,9,4,18
12,25-04-17 0855,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3571477,Y-TSCT-1A3104.1,1A3104.1,Y-TSCT-Q04,1AA31,R312,T-TJCE2960-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22340,V-KELS_002-410504,1A,31,4,1,V-KELS_002,41,5,4,18
13,25-04-17 0857,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3568278,Y-TSCT-1A3103.1,1A3103.1,Y-TSCT-Q04,1AA31,R312,T-TJC55572-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,23100,V-KELS_002-430504,1A,31,3,1,V-KELS_002,43,5,4,18
14,25-04-17 0859,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU0361268,Y-TSCT-1A3101.2,1A3101.2,Y-TSCT-Q04,1AA31,R312,T-TJCK2959-1 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,27953,V-KELS_002-410604,1A,31,1,2,V-KELS_002,41,6,4,18
15,25-04-17 0901,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU9915563,Y-TSCT-1A3101.1,1A3101.1,Y-TSCT-Q04,1AA31,R312,T-TJC16715-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,27495,V-KELS_002-430604,1A,31,1,1,V-KELS_002,43,6,4,18
16,25-04-17 0902,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3571667,Y-TSCT-1A3108.5,1A3108.5,Y-TSCT-Q04,1AA31,R312,T-TJC85027-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22340,V-KELS_002-411004,1A,31,8,5,V-KELS_002,41,10,4,18
17,25-04-17 0904,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7769971,Y-TSCT-1A3108.4,1A3108.4,Y-TSCT-Q04,1AA31,R312,T-TJC55592-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22390,V-KELS_002-431004,1A,31,8,4,V-KELS_002,43,10,4,18
18,25-04-17 0910,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7769903,Y-TSCT-1A3108.3,1A3108.3,Y-TSCT-Q04,1AA31,R312,T-TJCA0787-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22390,V-KELS_002-411404,1A,31,8,3,V-KELS_002,41,14,4,18
19,25-04-17 0913,UNIT_YARD_MOVE,LOAD,EXPRT,CICU7769837,Y-TSCT-1A3108.2,1A3108.2,Y-TSCT-Q04,1AA31,R312,T-TJC57720-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22390,V-KELS_002-431404,1A,31,8,2,V-KELS_002,43,14,4,18
20,25-04-17 0917,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU0737340,Y-TSCT-1A3110.5,1A3110.5,Y-TSCT-Q04,1AA31,R311,T-TJCG7092-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21860,V-KELS_002-411106,1A,31,10,5,V-KELS_002,41,11,6,18
21,25-04-17 0918,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU5722697,Y-TSCT-1A3109.5,1A3109.5,Y-TSCT-Q04,1AA31,R312,T-TJCK6685-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21840,V-KELS_002-431106,1A,31,9,5,V-KELS_002,43,11,6,18
22,25-04-17 0921,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU7358915,Y-TSCT-1A3110.4,1A3110.4,Y-TSCT-Q04,1AA31,R312,T-TJCC9720-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21830,V-KELS_002-410706,1A,31,10,4,V-KELS_002,41,7,6,18
23,25-04-17 0923,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU4117135,Y-TSCT-1A3109.4,1A3109.4,Y-TSCT-Q04,1AA31,R312,T-TJCF1922-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21980,V-KELS_002-430706,1A,31,9,4,V-KELS_002,43,7,6,18
24,25-04-17 0926,UNIT_YARD_MOVE,LOAD,EXPRT,CICU6413857,Y-TSCT-1A3108.1,1A3108.1,Y-TSCT-Q04,1AA31,R312,T-TJC97796-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,22390,V-KELS_002-410806,1A,31,8,1,V-KELS_002,41,8,6,18
25,25-04-17 0928,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU3570487,Y-TSCT-1A3111.4,1A3111.4,Y-TSCT-Q04,1AA31,R312,T-TJCK0112-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21486,V-KELS_002-430806,1A,31,11,4,V-KELS_002,43,8,6,18
26,25-04-17 0935,UNIT_YARD_MOVE,LOAD,EXPRT,HASU1224948,Y-TSCT-1A3110.3,1A3110.3,Y-TSCT-Q04,1AA31,R312,T-TJCG7661-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21880,V-KELS_002-411308,1A,31,10,3,V-KELS_002,41,13,8,18
27,25-04-17 0937,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU4117916,Y-TSCT-1A3109.3,1A3109.3,Y-TSCT-Q04,1AA31,R312,T-TJCH1087-3 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21980,V-KELS_002-431308,1A,31,9,3,V-KELS_002,43,13,8,18
28,25-04-17 0940,UNIT_YARD_MOVE,LOAD,EXPRT,SUDU7676758,Y-TSCT-1A3110.2,1A3110.2,Y-TSCT-Q04,1AA31,R312,T-TJCH8506-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21880,V-KELS_002-410908,1A,31,10,2,V-KELS_002,41,9,8,18
29,25-04-17 0942,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU4308086,Y-TSCT-1A3109.2,1A3109.2,Y-TSCT-Q04,1AA31,R312,T-TJCK6716-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21860,V-KELS_002-430908,1A,31,9,2,V-KELS_002,43,9,8,18
30,25-04-17 0949,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU8679416,Y-TSCT-1A3110.1,1A3110.1,Y-TSCT-Q04,1AA31,R312,T-TJCH8695-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21830,V-KELS_002-410508,1A,31,10,1,V-KELS_002,41,5,8,18
31,25-04-17 0951,UNIT_YARD_MOVE,LOAD,EXPRT,HASU1465755,Y-TSCT-1A3109.1,1A3109.1,Y-TSCT-Q04,1AA31,R312,T-TJCG7122-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,21880,V-KELS_002-430508,1A,31,9,1,V-KELS_002,43,5,8,18
32,25-04-17 1025,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1666386,Y-TSCT-1A3111.2,1A3111.2,Y-TSCT-Q04,1AA31,R311,T-HBFS7322-2 (TQ),KELS_002,KRPUS,CNTSN,NOM86,NOM20,22G1,20260,V-KELS_002-410810,1A,31,11,2,V-KELS_002,41,8,10,18
