order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-30 1112,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4494798,Y-TSCT-2A2003.3,2A2003.3,Y-TSCT-Q05,2AA20,R322,T-TJCD3058-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,19606,V-LAX_006-020218,2A,20,3,3,V-LAX_006,2,2,18,10
1,25-04-30 1115,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU8270186,Y-TSCT-2A2005.4,2A2005.4,Y-TSCT-Q03,2AA20,R322,T-TJC97390-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,31770,V-LAX_006-220312,2A,20,5,4,V-LAX_006,22,3,12,10
2,25-04-30 1117,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4786803,Y-TSCT-2A2005.3,2A2005.3,Y-TSCT-Q03,2AA20,R322,T-TJCE2555-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,30680,V-LAX_006-220112,2A,20,5,3,V-LAX_006,22,1,12,10
3,25-04-30 1119,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4862605,Y-TSCT-2A2003.2,2A2003.2,Y-TSCT-Q05,2AA20,R322,T-TJC63956-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,19463,V-LAX_006-020418,2A,20,3,2,V-LAX_006,2,4,18,10
4,25-04-30 1121,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4927274,Y-TSCT-2A2005.2,2A2005.2,Y-TSCT-Q03,2AA20,R322,T-TJC93690-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,30038,V-LAX_006-220212,2A,20,5,2,V-LAX_006,22,2,12,10
5,25-04-30 1123,UNIT_YARD_MOVE,LOAD,EXPRT,CULU6266329,Y-TSCT-2A2005.1,2A2005.1,Y-TSCT-Q03,2AA20,R322,T-TJCE2698-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,27190,V-LAX_006-220412,2A,20,5,1,V-LAX_006,22,4,12,10
6,25-04-30 1125,UNIT_YARD_MOVE,LOAD,EXPRT,FSCU8505873,Y-TSCT-2A2006.5,2A2006.5,Y-TSCT-Q03,2AA20,R322,T-TJCD3290-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,12816,V-LAX_006-220314,2A,20,6,5,V-LAX_006,22,3,14,10
7,25-04-30 1127,UNIT_YARD_MOVE,LOAD,EXPRT,BURU6622992,Y-TSCT-2A2004.3,2A2004.3,Y-TSCT-Q03,2AA20,R322,T-TJCK6656-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,20330,V-LAX_006-220114,2A,20,4,3,V-LAX_006,22,1,14,10
8,25-04-30 1129,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4786450,Y-TSCT-2A2004.2,2A2004.2,Y-TSCT-Q03,2AA20,R322,T-TJC85615-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,26120,V-LAX_006-220214,2A,20,4,2,V-LAX_006,22,2,14,10
9,25-04-30 1131,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU4863068,Y-TSCT-2A2003.1,2A2003.1,Y-TSCT-Q05,2AA20,R322,T-TJCD3058-2 (TQ),LAX_006,INPAV,CNTSN,NOM96,NOM40,45G1,21845,V-LAX_006-020282,2A,20,3,1,V-LAX_006,2,2,82,10
