order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-19 0426,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2219944,Y-TSCT-1A2106.1,1A2106.1,Y-TSCT-Q05,1AA21,R312,T-TJCC3871-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23757,V-LUOM2_002-251382,1A,21,6,1,V-LUOM2_002,25,13,82,7
1,25-03-19 1313,UNIT_YARD_MOVE,LOAD,EXPRT,NLLU2025610,Y-TSCT-1A2107.1,1A2107.1,Y-TSCT-Q05,1AA21,R312,T-TJCK1539-3 (TQ),LUOM2_002,OMSOH,CNTSN,NOM86,NOM20,22G1,30310,V-LUOM2_002-131782,1A,21,7,1,V-LUOM2_002,13,17,82,3
2,25-03-19 0429,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3914879,Y-TSCT-1A2309.1,1A2309.1,Y-TSCT-Q05,1AA23,R312,T-TJCK6163-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23737,V-LUOM2_002-271382,1A,23,9,1,V-LUOM2_002,27,13,82,7
3,25-03-19 1050,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2124140,Y-TSCT-1A2308.5,1A2308.5,Y-TSCT-Q03,1AA23,R312,T-TJC91713-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,27682,V-LUOM2_002-451302,1A,23,8,5,V-LUOM2_002,45,13,2,7
4,25-03-19 1051,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2081985,Y-TSCT-1A2308.4,1A2308.4,Y-TSCT-Q03,1AA23,R312,T-TJC91083-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,27545,V-LUOM2_002-471302,1A,23,8,4,V-LUOM2_002,47,13,2,7
5,25-03-19 1053,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2011329,Y-TSCT-1A2307.5,1A2307.5,Y-TSCT-Q03,1AA23,R312,T-TJCA2536-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-451504,1A,23,7,5,V-LUOM2_002,45,15,4,7
6,25-03-19 1054,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2507051,Y-TSCT-1A2307.4,1A2307.4,Y-TSCT-Q03,1AA23,R312,T-BJA03558D-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-471504,1A,23,7,4,V-LUOM2_002,47,15,4,7
7,25-03-19 1105,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2086919,Y-TSCT-1A2308.3,1A2308.3,Y-TSCT-Q03,1AA23,R312,T-TJC91561-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,27363,V-LUOM2_002-451104,1A,23,8,3,V-LUOM2_002,45,11,4,7
8,25-03-19 1106,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3354673,Y-TSCT-1A2308.2,1A2308.2,Y-TSCT-Q03,1AA23,R312,T-TJCA0385-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,29338,V-LUOM2_002-471104,1A,23,8,2,V-LUOM2_002,47,11,4,7
9,25-03-19 1108,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU3005580,Y-TSCT-1A2302.3,1A2302.3,Y-TSCT-Q03,1AA23,R312,T-TJCB6005-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22220,V-LUOM2_002-451506,1A,23,2,3,V-LUOM2_002,45,15,6,7
10,25-03-19 1110,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU8254307,Y-TSCT-1A2302.2,1A2302.2,Y-TSCT-Q03,1AA23,R312,T-BJAYF868-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23338,V-LUOM2_002-471506,1A,23,2,2,V-LUOM2_002,47,15,6,7
11,25-03-19 1114,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3578729,Y-TSCT-1A2307.3,1A2307.3,Y-TSCT-Q03,1AA23,R312,T-TJC07918-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,26690,V-LUOM2_002-451106,1A,23,7,3,V-LUOM2_002,45,11,6,7
12,25-03-19 1116,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2907335,Y-TSCT-1A2308.1,1A2308.1,Y-TSCT-Q03,1AA23,R312,T-TJCK2773-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,29208,V-LUOM2_002-471106,1A,23,8,1,V-LUOM2_002,47,11,6,7
13,25-03-19 1118,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1155989,Y-TSCT-1A2307.2,1A2307.2,Y-TSCT-Q03,1AA23,R312,T-TJCK0577-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,25940,V-LUOM2_002-451508,1A,23,7,2,V-LUOM2_002,45,15,8,7
14,25-03-19 1120,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU3277526,Y-TSCT-1A2307.1,1A2307.1,Y-TSCT-Q03,1AA23,R312,T-TJC16382-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,26240,V-LUOM2_002-471508,1A,23,7,1,V-LUOM2_002,47,15,8,7
15,25-03-19 1122,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3893887,Y-TSCT-1A2306.4,1A2306.4,Y-TSCT-Q03,1AA23,R312,T-TJC13769-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22270,V-LUOM2_002-451308,1A,23,6,4,V-LUOM2_002,45,13,8,7
16,25-03-19 1123,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2032589,Y-TSCT-1A2305.4,1A2305.4,Y-TSCT-Q03,1AA23,R312,T-BJA19600D-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22190,V-LUOM2_002-471308,1A,23,5,4,V-LUOM2_002,47,13,8,7
17,25-03-19 1125,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3506842,Y-TSCT-1A2304.4,1A2304.4,Y-TSCT-Q03,1AA23,R312,T-TJCB9985-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22300,V-LUOM2_002-451510,1A,23,4,4,V-LUOM2_002,45,15,10,7
18,25-03-19 1127,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2087366,Y-TSCT-1A2306.3,1A2306.3,Y-TSCT-Q03,1AA23,R312,T-TJC13767-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-471510,1A,23,6,3,V-LUOM2_002,47,15,10,7
19,25-03-19 1132,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU1617978,Y-TSCT-1A2306.2,1A2306.2,Y-TSCT-Q03,1AA23,R312,T-TJCB9985-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-451314,1A,23,6,2,V-LUOM2_002,45,13,14,7
20,25-03-19 1134,UNIT_YARD_MOVE,LOAD,EXPRT,IAAU2686384,Y-TSCT-1A2306.1,1A2306.1,Y-TSCT-Q03,1AA23,R312,T-BJA20052D-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22310,V-LUOM2_002-471314,1A,23,6,1,V-LUOM2_002,47,13,14,7
21,25-03-19 1136,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2036158,Y-TSCT-1A2305.2,1A2305.2,Y-TSCT-Q03,1AA23,R312,T-TJCF1527-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23583,V-LUOM2_002-451316,1A,23,5,2,V-LUOM2_002,45,13,16,7
22,25-03-19 1138,UNIT_YARD_MOVE,LOAD,EXPRT,VOLU2902930,Y-TSCT-1A2305.1,1A2305.1,Y-TSCT-Q03,1AA23,R312,T-TJC13767-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-471316,1A,23,5,1,V-LUOM2_002,47,13,16,7
23,25-03-19 1335,UNIT_YARD_MOVE,LOAD,EXPRT,TDRU2757211,Y-TSCT-1A2303.3,1A2303.3,Y-TSCT-Q03,1AA23,R312,T-TJCB2269-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,28396,V-LUOM2_002-451006,1A,23,3,3,V-LUOM2_002,45,10,6,7
24,25-03-19 1338,UNIT_YARD_MOVE,LOAD,EXPRT,CSCU3029581,Y-TSCT-1A2303.2,1A2303.2,Y-TSCT-Q03,1AA23,R312,T-TJCB2269-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,28136,V-LUOM2_002-471006,1A,23,3,2,V-LUOM2_002,47,10,6,7
25,25-03-19 1339,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU9086980,Y-TSCT-1A2301.3,1A2301.3,Y-TSCT-Q03,1AA23,R312,T-TJCA2536-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22300,V-LUOM2_002-451406,1A,23,1,3,V-LUOM2_002,45,14,6,7
26,25-03-19 1341,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1112903,Y-TSCT-1A2303.1,1A2303.1,Y-TSCT-Q03,1AA23,R312,T-TJCK0901-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,26860,V-LUOM2_002-471406,1A,23,3,1,V-LUOM2_002,47,14,6,7
27,25-03-19 1345,UNIT_YARD_MOVE,LOAD,EXPRT,BXAU2083210,Y-TSCT-1A2311.4,1A2311.4,Y-TSCT-Q03,1AA23,R312,T-TJCH1326-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22160,V-LUOM2_002-451208,1A,23,11,4,V-LUOM2_002,45,12,8,7
28,25-03-19 1347,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU2442696,Y-TSCT-1A2310.4,1A2310.4,Y-TSCT-Q03,1AA23,R312,T-TJCA9927-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23136,V-LUOM2_002-471208,1A,23,10,4,V-LUOM2_002,47,12,8,7
29,25-03-19 1353,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2426006,Y-TSCT-1A2301.2,1A2301.2,Y-TSCT-Q03,1AA23,R312,T-TJCB9252-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22290,V-LUOM2_002-451010,1A,23,1,2,V-LUOM2_002,45,10,10,7
30,25-03-19 1354,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3921219,Y-TSCT-1A2311.3,1A2311.3,Y-TSCT-Q03,1AA23,R312,T-TJCK2353-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22160,V-LUOM2_002-471010,1A,23,11,3,V-LUOM2_002,47,10,10,7
31,25-03-19 1356,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU2442802,Y-TSCT-1A2310.3,1A2310.3,Y-TSCT-Q03,1AA23,R312,T-TJCK2331-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22160,V-LUOM2_002-451410,1A,23,10,3,V-LUOM2_002,45,14,10,7
32,25-03-19 1359,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2444064,Y-TSCT-1A2302.1,1A2302.1,Y-TSCT-Q03,1AA23,R312,T-TJC85098-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,23180,V-LUOM2_002-471410,1A,23,2,1,V-LUOM2_002,47,14,10,7
33,25-03-19 1403,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1016134,Y-TSCT-1A2311.2,1A2311.2,Y-TSCT-Q03,1AA23,R312,T-TJCK2582-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22160,V-LUOM2_002-451012,1A,23,11,2,V-LUOM2_002,45,10,12,7
34,25-03-19 1404,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1078514,Y-TSCT-1A2310.2,1A2310.2,Y-TSCT-Q03,1AA23,R312,T-TJCA9996-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22160,V-LUOM2_002-471012,1A,23,10,2,V-LUOM2_002,47,10,12,7
35,25-03-19 1407,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2357167,Y-TSCT-1A2301.1,1A2301.1,Y-TSCT-Q03,1AA23,R312,T-BJA03558D-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-451412,1A,23,1,1,V-LUOM2_002,45,14,12,7
36,25-03-19 1409,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU2537855,Y-TSCT-1A2311.1,1A2311.1,Y-TSCT-Q03,1AA23,R312,T-TJCD1165-3 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22245,V-LUOM2_002-471412,1A,23,11,1,V-LUOM2_002,47,14,12,7
37,25-03-19 1413,UNIT_YARD_MOVE,LOAD,EXPRT,VSBU2071622,Y-TSCT-1A2310.1,1A2310.1,Y-TSCT-Q03,1AA23,R312,T-TJCA5255-1 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22310,V-LUOM2_002-451214,1A,23,10,1,V-LUOM2_002,45,12,14,7
38,25-03-19 1417,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU3893280,Y-TSCT-1A2304.2,1A2304.2,Y-TSCT-Q03,1AA23,R312,T-TJC97605-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22170,V-LUOM2_002-451414,1A,23,4,2,V-LUOM2_002,45,14,14,7
39,25-03-19 1419,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2383040,Y-TSCT-1A2304.1,1A2304.1,Y-TSCT-Q03,1AA23,R312,T-TJCB9837-2 (TQ),LUOM2_002,AEKLF,CNTSN,NOM86,NOM20,22G1,22280,V-LUOM2_002-471414,1A,23,4,1,V-LUOM2_002,47,14,14,7
40,25-03-19 0913,UNIT_YARD_MOVE,LOAD,EXPRT,BHCU3220044,Y-TSCT-1A2507.5,1A2507.5,Y-TSCT-Q02,1AA25,R312,T-TJCE6056-2 (TQ),LUOM2_002,OMSOH,CNTSN,NOM86,NOM20,22G1,30284,V-LUOM2_002-651782,1A,25,7,5,V-LUOM2_002,65,17,82,3
41,25-03-19 0915,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2376697,Y-TSCT-1A2506.5,1A2506.5,Y-TSCT-Q02,1AA25,R312,T-TJCA8750-1 (TQ),LUOM2_002,OMSOH,CNTSN,NOM86,NOM20,22G1,27280,V-LUOM2_002-671782,1A,25,6,5,V-LUOM2_002,67,17,82,3
