order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-16 0405,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU7503521,Y-TSCT-1B0603.3,1B0603.3,Y-TSCT-Q08,1BA06,R314,T-TJA05252D-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM96,NOM40,45G1,12175,V-MEILT_009-461978,1B,6,3,3,V-MEILT_009,46,19,78,62
1,25-04-16 0417,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU5896806,Y-TSCT-1B0608.1,1B0608.1,Y-TSCT-Q08,1BA06,R314,T-TJCD0937-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM96,NOM40,45G1,24495,V-MEILT_009-460772,1B,6,8,1,V-MEILT_009,46,7,72,92
2,25-04-16 0437,UNIT_YARD_MOVE,LOAD,EXPRT,TIIU4176986,Y-TSCT-1B0603.2,1B0603.2,Y-TSCT-Q08,1BA06,R314,T-TJC97799-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM96,NOM40,45G1,18461,V-MEILT_009-460776,1B,6,3,2,V-MEILT_009,46,7,76,73
3,25-04-16 0439,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8513259,Y-TSCT-1B0603.1,1B0603.1,Y-TSCT-Q08,1BA06,R314,T-TJCE0702-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM96,NOM40,45G1,15596,V-MEILT_009-460576,1B,6,3,1,V-MEILT_009,46,5,76,27
4,25-04-16 0444,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU8506774,Y-TSCT-1B0607.1,1B0607.1,Y-TSCT-Q08,1BA06,R314,T-TJA05252D-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM96,NOM40,45G1,13200,V-MEILT_009-460376,1B,6,7,1,V-MEILT_009,46,3,76,92
5,25-04-15 1933,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3099184,Y-TSCT-1B1911.2,1B1911.2,Y-TSCT-Q05,1BA19,R314,T-TJCJ0329-2 (TQ),MEILT_009,GHTEM,CNTSN,NOM86,NOM20,22G1,24756,V-MEILT_009-730916,1B,19,11,2,V-MEILT_009,73,9,16,73
6,25-04-15 1935,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU1412240,Y-TSCT-1B1903.1,1B1903.1,Y-TSCT-Q05,1BA19,R314,T-TJC67829-2 (TQ),MEILT_009,GHTEM,CNTSN,NOM86,NOM20,22G1,24188,V-MEILT_009-750916,1B,19,3,1,V-MEILT_009,75,9,16,27
7,25-04-16 0451,UNIT_YARD_MOVE,LOAD,EXPRT,MSNU2245928,Y-TSCT-1B1911.1,1B1911.1,Y-TSCT-Q11,1BA19,R314,T-TJC79652-2 (TQ),MEILT_009,GHTEM,CNTSN,NOM86,NOM20,22G1,28524,V-MEILT_009-150710,1B,19,11,1,V-MEILT_009,15,7,10,92
8,25-04-15 0418,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3663148,Y-TSCT-1B3511.4,1B3511.4,Y-TSCT-Q08,1BA35,R313,T-TJC91509-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,28204,V-MEILT_009-490502,1B,35,11,4,V-MEILT_009,49,5,2,25
9,25-04-15 0420,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3663298,Y-TSCT-1B3511.3,1B3511.3,Y-TSCT-Q08,1BA35,R313,T-TJCA1791-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30002,V-MEILT_009-510502,1B,35,11,3,V-MEILT_009,51,5,2,62
10,25-04-15 0437,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6641175,Y-TSCT-1B3509.4,1B3509.4,Y-TSCT-Q08,1BA35,R313,T-TJCG1395-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30220,V-MEILT_009-490102,1B,35,9,4,V-MEILT_009,49,1,2,25
11,25-04-15 0439,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU1790668,Y-TSCT-1B3509.3,1B3509.3,Y-TSCT-Q08,1BA35,R313,T-TJCK0390-2 (TQ),MEILT_009,EGSUZ,CNTSN,NOM86,NOM20,22G1,30375,V-MEILT_009-510102,1B,35,9,3,V-MEILT_009,51,1,2,62
