order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-01 0113,UNIT_YARD_MOVE,LOAD,EXPRT,TGHU1528659,Y-TSCT-1A2111.4,1A2111.4,Y-TSCT-Q03,1AA21,R312,T-HBE4854W-3 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29112,V-MENGTAL_000-290902,1A,21,11,4,V-MENGTAL_000,29,9,2,13
1,25-04-01 0115,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU9285823,Y-TSCT-1A2111.3,1A2111.3,Y-TSCT-Q03,1AA21,R312,T-TJCE6056-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29180,V-MENGTAL_000-310902,1A,21,11,3,V-MENGTAL_000,31,9,2,13
2,25-04-01 0121,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5065458,Y-TSCT-1A2111.2,1A2111.2,Y-TSCT-Q03,1AA21,R312,T-TJCM1589-3 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29000,V-MENGTAL_000-290502,1A,21,11,2,V-MENGTAL_000,29,5,2,13
3,25-04-01 0122,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2467694,Y-TSCT-1A2111.1,1A2111.1,Y-TSCT-Q03,1AA21,R312,T-TJCM1985-3 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,28980,V-MENGTAL_000-310502,1A,21,11,1,V-MENGTAL_000,31,5,2,13
4,25-04-01 0141,UNIT_YARD_MOVE,LOAD,EXPRT,PONU0005501,Y-TSCT-1A2110.3,1A2110.3,Y-TSCT-Q03,1AA21,R312,T-TJCE2960-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,30310,V-MENGTAL_000-290904,1A,21,10,3,V-MENGTAL_000,29,9,4,13
5,25-04-01 0143,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU5905810,Y-TSCT-1A2110.2,1A2110.2,Y-TSCT-Q03,1AA21,R312,T-TJC55572-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29380,V-MENGTAL_000-310904,1A,21,10,2,V-MENGTAL_000,31,9,4,13
6,25-04-01 0149,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU0398396,Y-TSCT-1A2110.1,1A2110.1,Y-TSCT-Q03,1AA21,R312,T-TJC80806-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29320,V-MENGTAL_000-290504,1A,21,10,1,V-MENGTAL_000,29,5,4,13
7,25-04-01 0150,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU9526509,Y-TSCT-1A2106.5,1A2106.5,Y-TSCT-Q03,1AA21,R312,T-TJCM1602-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,29870,V-MENGTAL_000-310504,1A,21,6,5,V-MENGTAL_000,31,5,4,13
8,25-04-01 0218,UNIT_YARD_MOVE,LOAD,EXPRT,SUDU1405358,Y-TSCT-1A2106.4,1A2106.4,Y-TSCT-Q03,1AA21,R312,T-TJCA7698-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,30450,V-MENGTAL_000-290906,1A,21,6,4,V-MENGTAL_000,29,9,6,13
9,25-04-01 0221,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2361110,Y-TSCT-1A2106.3,1A2106.3,Y-TSCT-Q03,1AA21,R312,T-TJC75085-2 (TQ),MENGTAL_000,MYTPP,CNTSN,NOM86,NOM20,22G1,28180,V-MENGTAL_000-310906,1A,21,6,3,V-MENGTAL_000,31,9,6,13
