order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-08 0239,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2087375,Y-TSCT-1A4905.5,1A4905.5,Y-TSCT-Q03,1AA49,R311,T-TJC85393-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29257,V-MIXEKPLN_000-610902,1A,49,5,5,V-MIXEKPLN_000,61,9,2,21
1,25-04-08 0241,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6221799,Y-TSCT-1A4906.5,1A4906.5,Y-TSCT-Q03,1AA49,R311,T-TJC91992-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,28977,V-MIXEKPLN_000-630902,1A,49,6,5,V-MIXEKPLN_000,63,9,2,21
2,25-04-08 0244,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2118291,Y-TSCT-1A4907.5,1A4907.5,Y-TSCT-Q03,1AA49,R311,T-TJC07887-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,22840,V-MIXEKPLN_000-610502,1A,49,7,5,V-MIXEKPLN_000,61,5,2,21
3,25-04-08 0246,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2654694,Y-TSCT-1A4907.4,1A4907.4,Y-TSCT-Q03,1AA49,R311,T-HBJ1W305-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,22500,V-MIXEKPLN_000-630502,1A,49,7,4,V-MIXEKPLN_000,63,5,2,21
4,25-04-08 0249,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3290465,Y-TSCT-1A4905.4,1A4905.4,Y-TSCT-Q03,1AA49,R311,T-TJCK5298-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,28084,V-MIXEKPLN_000-610102,1A,49,5,4,V-MIXEKPLN_000,61,1,2,21
5,25-04-08 0251,UNIT_YARD_MOVE,LOAD,EXPRT,HPCU2532625,Y-TSCT-1A4905.3,1A4905.3,Y-TSCT-Q03,1AA49,R311,T-TJC67153-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29730,V-MIXEKPLN_000-630102,1A,49,5,3,V-MIXEKPLN_000,63,1,2,21
6,25-04-08 0304,UNIT_YARD_MOVE,LOAD,EXPRT,XINU1242416,Y-TSCT-1A4906.4,1A4906.4,Y-TSCT-Q03,1AA49,R311,T-TJCC6839-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,27958,V-MIXEKPLN_000-610704,1A,49,6,4,V-MIXEKPLN_000,61,7,4,21
7,25-04-08 0306,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6847839,Y-TSCT-1A4906.3,1A4906.3,Y-TSCT-Q03,1AA49,R311,T-TJCK2087-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29147,V-MIXEKPLN_000-630704,1A,49,6,3,V-MIXEKPLN_000,63,7,4,21
8,25-04-08 0319,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6792973,Y-TSCT-1A4905.2,1A4905.2,Y-TSCT-Q03,1AA49,R311,T-TJC79288-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29112,V-MIXEKPLN_000-610304,1A,49,5,2,V-MIXEKPLN_000,61,3,4,21
9,25-04-08 0321,UNIT_YARD_MOVE,LOAD,EXPRT,MSDU1030041,Y-TSCT-1A4905.1,1A4905.1,Y-TSCT-Q03,1AA49,R311,T-TJCH1619-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29143,V-MIXEKPLN_000-630304,1A,49,5,1,V-MIXEKPLN_000,63,3,4,21
10,25-04-08 0325,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3695340,Y-TSCT-1A4906.2,1A4906.2,Y-TSCT-Q03,1AA49,R311,T-TJC97731-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,26300,V-MIXEKPLN_000-610906,1A,49,6,2,V-MIXEKPLN_000,61,9,6,21
11,25-04-08 0327,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU1593990,Y-TSCT-1A4906.1,1A4906.1,Y-TSCT-Q03,1AA49,R311,T-TJC91771-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,29197,V-MIXEKPLN_000-630906,1A,49,6,1,V-MIXEKPLN_000,63,9,6,21
12,25-04-08 0332,UNIT_YARD_MOVE,LOAD,EXPRT,MEDU6465780,Y-TSCT-1A4907.3,1A4907.3,Y-TSCT-Q03,1AA49,R311,T-TJCK6219-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,24300,V-MIXEKPLN_000-610506,1A,49,7,3,V-MIXEKPLN_000,61,5,6,21
13,25-04-08 0334,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU3052084,Y-TSCT-1A4907.2,1A4907.2,Y-TSCT-Q03,1AA49,R311,T-HBJ1W305-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,20940,V-MIXEKPLN_000-630506,1A,49,7,2,V-MIXEKPLN_000,63,5,6,21
14,25-04-08 0337,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3693348,Y-TSCT-1A4907.1,1A4907.1,Y-TSCT-Q03,1AA49,R311,T-TJCK6995-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,22300,V-MIXEKPLN_000-610106,1A,49,7,1,V-MIXEKPLN_000,61,1,6,21
15,25-04-08 1806,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU3161719,Y-TSCT-1A4910.5,1A4910.5,Y-TSCT-Q06,1AA49,R311,T-TJC55800-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,20510,V-MIXEKPLN_000-211212,1A,49,10,5,V-MIXEKPLN_000,21,12,12,21
16,25-04-08 1808,UNIT_YARD_MOVE,LOAD,EXPRT,MSMU3626695,Y-TSCT-1A4909.5,1A4909.5,Y-TSCT-Q06,1AA49,R311,T-TJCE2161-3 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,22100,V-MIXEKPLN_000-231212,1A,49,9,5,V-MIXEKPLN_000,23,12,12,21
17,25-04-08 1812,UNIT_YARD_MOVE,LOAD,EXPRT,MSBU3165727,Y-TSCT-1A4910.4,1A4910.4,Y-TSCT-Q06,1AA49,R312,T-TJC97237-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,20550,V-MIXEKPLN_000-211612,1A,49,10,4,V-MIXEKPLN_000,21,16,12,21
18,25-04-08 1814,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU3128016,Y-TSCT-1A4910.3,1A4910.3,Y-TSCT-Q06,1AA49,R312,T-TJCB1782-2 (TQ),MIXEKPLN_000,EGSUZ,CNTSN,NOM86,NOM20,22G1,20327,V-MIXEKPLN_000-231612,1A,49,10,3,V-MIXEKPLN_000,23,16,12,21
