order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-20 2246,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU1600641,Y-TSCT-1A2111.1,1A2111.1,Y-TSCT-Q02,1AA21,R312,T-TJC55557-3 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22U1,22838,V-SAIW_00E-290804,1A,21,11,1,V-SAIW_00E,29,8,4,2
1,25-03-21 0546,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1580796,Y-TSCT-1C4103.2,1C4103.2,Y-TSCT-Q03,1CA41,R315,T-TJCG1077-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,22840,V-SAIW_00E-130604,1C,41,3,2,V-SAIW_00E,13,6,4,5
2,25-03-21 0549,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU3505024,Y-TSCT-1C4103.1,1C4103.1,Y-TSCT-Q03,1CA41,R315,T-TJCG1800-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,25840,V-SAIW_00E-150604,1C,41,3,1,V-SAIW_00E,15,6,4,5
3,25-03-20 2313,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1267309,Y-TSCT-2A7308.5,2A7308.5,Y-TSCT-Q02,2AA73,R321,T-TJCF1336-3 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-SAIW_00E-290204,2A,73,8,5,V-SAIW_00E,29,2,4,10
4,25-03-20 2315,UNIT_YARD_MOVE,LOAD,EXPRT,TRZU2243254,Y-TSCT-2A7305.5,2A7305.5,Y-TSCT-Q02,2AA73,R321,T-TJCF5695-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,27160,V-SAIW_00E-310204,2A,73,5,5,V-SAIW_00E,31,2,4,10
5,25-03-20 2317,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU2338198,Y-TSCT-2A7305.4,2A7305.4,Y-TSCT-Q02,2AA73,R321,T-TJCD0701-3 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,28660,V-SAIW_00E-290604,2A,73,5,4,V-SAIW_00E,29,6,4,10
6,25-03-20 2320,UNIT_YARD_MOVE,LOAD,EXPRT,DJLU2401796,Y-TSCT-2A7305.3,2A7305.3,Y-TSCT-Q02,2AA73,R321,T-SXA07695D-3 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,28740,V-SAIW_00E-310604,2A,73,5,3,V-SAIW_00E,31,6,4,10
7,25-03-20 2322,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1405330,Y-TSCT-2A7306.5,2A7306.5,Y-TSCT-Q02,2AA73,R321,T-TJCG1798-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,23289,V-SAIW_00E-290506,2A,73,6,5,V-SAIW_00E,29,5,6,10
8,25-03-20 2323,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU3515547,Y-TSCT-2A7306.4,2A7306.4,Y-TSCT-Q02,2AA73,R321,T-TJCE2960-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,20660,V-SAIW_00E-310506,2A,73,6,4,V-SAIW_00E,31,5,6,10
9,25-03-20 2327,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1508556,Y-TSCT-2A7308.4,2A7308.4,Y-TSCT-Q02,2AA73,R321,T-TJC75972-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,22160,V-SAIW_00E-290106,2A,73,8,4,V-SAIW_00E,29,1,6,10
10,25-03-20 2328,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2861812,Y-TSCT-2A7308.3,2A7308.3,Y-TSCT-Q02,2AA73,R321,T-TJC19282-2 (TQ),SAIW_00E,KRPUS,CNTSN,NOM86,NOM20,22G1,22160,V-SAIW_00E-310106,2A,73,8,3,V-SAIW_00E,31,1,6,10
