order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-16 0935,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU8728517,Y-TSCT-1A2210.3,1A2210.3,Y-TSCT-Q01,1AA22,R312,T-TJCJ7261-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28260,V-SAIW_011-340782,1A,22,10,3,V-SAIW_011,34,7,82,4
1,25-04-16 0941,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8378185,Y-TSCT-1A2210.1,1A2210.1,Y-TSCT-Q01,1AA22,R312,T-TJCD0078-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28800,V-SAIW_011-340382,1A,22,10,1,V-SAIW_011,34,3,82,4
2,25-04-16 0943,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8932397,Y-TSCT-1A2206.3,1A2206.3,Y-TSCT-Q01,1AA22,R312,T-TJCD0717-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28200,V-SAIW_011-340582,1A,22,6,3,V-SAIW_011,34,5,82,4
3,25-04-16 0944,UNIT_YARD_MOVE,LOAD,EXPRT,GESU6858075,Y-TSCT-1A2209.4,1A2209.4,Y-TSCT-Q01,1AA22,R312,T-TJCD0767-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,29830,V-SAIW_011-340182,1A,22,9,4,V-SAIW_011,34,1,82,4
4,25-04-16 0946,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU4972107,Y-TSCT-1A2209.3,1A2209.3,Y-TSCT-Q01,1AA22,R312,T-TJCD0715-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,29700,V-SAIW_011-340082,1A,22,9,3,V-SAIW_011,34,0,82,4
5,25-04-16 0950,UNIT_YARD_MOVE,LOAD,EXPRT,TRLU7523905,Y-TSCT-1A2209.2,1A2209.2,Y-TSCT-Q01,1AA22,R312,T-SXA07695D-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28380,V-SAIW_011-340282,1A,22,9,2,V-SAIW_011,34,2,82,4
6,25-04-16 0952,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9818218,Y-TSCT-1A2209.1,1A2209.1,Y-TSCT-Q01,1AA22,R312,T-TJCD0120-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,23490,V-SAIW_011-340482,1A,22,9,1,V-SAIW_011,34,4,82,4
7,25-04-16 0954,UNIT_YARD_MOVE,LOAD,EXPRT,GESU6707320,Y-TSCT-1A2203.2,1A2203.2,Y-TSCT-Q01,1AA22,R312,T-TJCJ7261-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28190,V-SAIW_011-340682,1A,22,3,2,V-SAIW_011,34,6,82,4
8,25-04-16 0956,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6416365,Y-TSCT-1A2203.1,1A2203.1,Y-TSCT-Q01,1AA22,R312,T-TJCD0300-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28800,V-SAIW_011-340882,1A,22,3,1,V-SAIW_011,34,8,82,4
9,25-04-16 1146,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9632141,Y-TSCT-1A2201.3,1A2201.3,Y-TSCT-Q01,1AA22,R312,T-TJC97799-2 (TQ),SAIW_011,KRPUS,CNTSN,NOM96,NOM40,45G1,28040,V-SAIW_011-380684,1A,22,1,3,V-SAIW_011,38,6,84,4
