order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-30 0624,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU5825369,Y-TSCT-3A1001.1,3A1001.1,Y-TSCT-Q06,3AA10,R332,T-TJC59512-2 (TQ),SANYC_01E,KRPUS,CNTSN,NOM96,NOM40,45G1,29132,V-SANYC_01E-200284,3A,10,1,1,V-SANYC_01E,20,2,84,4
1,25-03-29 2311,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2668110,Y-TSCT-3A1504.2,3A1504.2,Y-TSCT-Q07,3AA15,R332,T-SDJC9720-2 (TQ),SANYC_01E,JPTOS,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_01E-110402,3A,15,4,2,V-SANYC_01E,11,4,2,4
2,25-03-29 2313,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0317454,Y-TSCT-3A1504.1,3A1504.1,Y-TSCT-Q07,3AA15,R332,T-HBJ1Z885-2 (TQ),SANYC_01E,JPTOS,CNTSN,NOM86,NOM20,22G1,22240,V-SANYC_01E-130402,3A,15,4,1,V-SANYC_01E,13,4,2,4
3,25-03-30 0109,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2211724,Y-TSCT-3A1501.1,3A1501.1,Y-TSCT-Q07,3AA15,R332,T-TJC75176-1 (TQ),SANYC_01E,KRKPO,CNTSN,NOM86,NOM20,22G1,22140,V-SANYC_01E-010382,3A,15,1,1,V-SANYC_01E,1,3,82,4
4,25-03-30 0132,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2735286,Y-TSCT-3A1510.4,3A1510.4,Y-TSCT-Q07,3AA15,R332,T-TJC92306-1 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,23310,V-SANYC_01E-070304,3A,15,10,4,V-SANYC_01E,7,3,4,4
5,25-03-30 0134,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1899240,Y-TSCT-3A1510.3,3A1510.3,Y-TSCT-Q07,3AA15,R332,T-HBFS7322-1 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,22968,V-SANYC_01E-090304,3A,15,10,3,V-SANYC_01E,9,3,4,4
6,25-03-30 0147,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1203560,Y-TSCT-3A1510.2,3A1510.2,Y-TSCT-Q07,3AA15,R332,T-TJC91072-3 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,20238,V-SANYC_01E-070708,3A,15,10,2,V-SANYC_01E,7,7,8,4
7,25-03-30 0149,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU3127178,Y-TSCT-3A1510.1,3A1510.1,Y-TSCT-Q07,3AA15,R332,T-TJC55565-2 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,22127,V-SANYC_01E-090708,3A,15,10,1,V-SANYC_01E,9,7,8,4
8,25-03-30 0223,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2589052,Y-TSCT-3A1505.3,3A1505.3,Y-TSCT-Q07,3AA15,R332,T-TJCA6835-3 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,27285,V-SANYC_01E-070182,3A,15,5,3,V-SANYC_01E,7,1,82,4
9,25-03-30 0225,UNIT_YARD_MOVE,LOAD,EXPRT,CKLU3060442,Y-TSCT-3A1505.2,3A1505.2,Y-TSCT-Q07,3AA15,R332,T-TJC85762-3 (TQ),SANYC_01E,KRPUS,CNTSN,NOM86,NOM20,22G1,27260,V-SANYC_01E-090182,3A,15,5,2,V-SANYC_01E,9,1,82,4
