order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-15 2103,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6524068,Y-TSCT-1A5311.3,1A5311.3,Y-TSCT-Q01,1AA53,R311,T-TJCG9505-3 (TQ),SANYC_01F,JPTOS,CNTSN,NOM86,NOM20,22G1,23026,V-SANYC_01F-230402,1A,53,11,3,V-SANYC_01F,23,4,2,2
1,25-04-15 2113,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7413025,Y-TSCT-1A5311.2,1A5311.2,Y-TSCT-Q01,1AA53,R311,T-TJCE3305-3 (TQ),SANYC_01F,JPTOS,CNTSN,NOM86,NOM20,22G1,23790,V-SANYC_01F-230804,1A,53,11,2,V-SANYC_01F,23,8,4,2
2,25-04-15 2157,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0261740,Y-TSCT-1A5302.1,1A5302.1,Y-TSCT-Q01,1AA53,R311,T-TJCA9739-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,22240,V-SANYC_01F-190802,1A,53,2,1,V-SANYC_01F,19,8,2,2
3,25-04-15 2248,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0325151,Y-TSCT-1A5308.4,1A5308.4,Y-TSCT-Q01,1AA53,R311,T-TJCA3717-1 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,22220,V-SANYC_01F-190402,1A,53,8,4,V-SANYC_01F,19,4,2,2
4,25-04-15 2250,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2664330,Y-TSCT-1A5308.3,1A5308.3,Y-TSCT-Q01,1AA53,R311,T-TJCA8293-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_01F-210402,1A,53,8,3,V-SANYC_01F,21,4,2,2
5,25-04-15 2255,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1205096,Y-TSCT-1A5308.2,1A5308.2,Y-TSCT-Q01,1AA53,R311,T-TJCH8375-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,22140,V-SANYC_01F-190602,1A,53,8,2,V-SANYC_01F,19,6,2,2
6,25-04-15 2257,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5807269,Y-TSCT-1A5308.1,1A5308.1,Y-TSCT-Q01,1AA53,R311,T-TJCH1320-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,22220,V-SANYC_01F-210602,1A,53,8,1,V-SANYC_01F,21,6,2,2
7,25-04-15 2302,UNIT_YARD_MOVE,LOAD,EXPRT,CICU1009800,Y-TSCT-1A5303.2,1A5303.2,Y-TSCT-Q01,1AA53,R311,T-TJCE2960-3 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,10484,V-SANYC_01F-190604,1A,53,3,2,V-SANYC_01F,19,6,4,2
8,25-04-15 2305,UNIT_YARD_MOVE,LOAD,EXPRT,HPGU3816220,Y-TSCT-1A5301.1,1A5301.1,Y-TSCT-Q01,1AA53,R311,T-TJCE2960-1 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,11899,V-SANYC_01F-210604,1A,53,1,1,V-SANYC_01F,21,6,4,2
9,25-04-15 2307,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0315889,Y-TSCT-1A5303.1,1A5303.1,Y-TSCT-Q01,1AA53,R311,T-TJC16590-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,24255,V-SANYC_01F-190804,1A,53,3,1,V-SANYC_01F,19,8,4,2
10,25-04-15 2309,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1397131,Y-TSCT-1A5305.1,1A5305.1,Y-TSCT-Q01,1AA53,R311,T-TJC98708-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22G1,24155,V-SANYC_01F-210804,1A,53,5,1,V-SANYC_01F,21,8,4,2
11,25-04-15 2313,UNIT_YARD_MOVE,LOAD,EXPRT,HPGU3816934,Y-TSCT-1A5307.5,1A5307.5,Y-TSCT-Q01,1AA53,R311,T-TJC85027-3 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,6431,V-SANYC_01F-190406,1A,53,7,5,V-SANYC_01F,19,4,6,2
12,25-04-15 2316,UNIT_YARD_MOVE,LOAD,EXPRT,CICU1009760,Y-TSCT-1A5306.5,1A5306.5,Y-TSCT-Q01,1AA53,R311,T-TJC85027-1 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,7068,V-SANYC_01F-210406,1A,53,6,5,V-SANYC_01F,21,4,6,2
13,25-04-15 2317,UNIT_YARD_MOVE,LOAD,EXPRT,HPGU3816533,Y-TSCT-1A5307.4,1A5307.4,Y-TSCT-Q01,1AA53,R311,T-TJCE2960-3 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,7278,V-SANYC_01F-190806,1A,53,7,4,V-SANYC_01F,19,8,6,2
14,25-04-15 2320,UNIT_YARD_MOVE,LOAD,EXPRT,HPGU3817186,Y-TSCT-1A5306.4,1A5306.4,Y-TSCT-Q01,1AA53,R311,T-TJCA8290-2 (TQ),SANYC_01F,KRKPO,CNTSN,NOM86,NOM20,22U1,7446,V-SANYC_01F-210806,1A,53,6,4,V-SANYC_01F,21,8,6,2
