order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-05 1443,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1125893,Y-TSCT-1A4107.5,1A4107.5,Y-TSCT-Q04,1AA41,R311,T-TJC32351-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26820,V-SANYC_020-150202,1A,41,7,5,V-SANYC_020,15,2,2,3
1,25-05-05 1445,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3159166,Y-TSCT-1A4107.4,1A4107.4,Y-TSCT-Q04,1AA41,R311,T-TJC58207-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26800,V-SANYC_020-170202,1A,41,7,4,V-SANYC_020,17,2,2,3
2,25-05-05 1456,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7436231,Y-TSCT-1A4108.3,1A4108.3,Y-TSCT-Q04,1AA41,R312,T-TJCA9919-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26150,V-SANYC_020-150304,1A,41,8,3,V-SANYC_020,15,3,4,3
3,25-05-05 1458,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3004020,Y-TSCT-1A4107.3,1A4107.3,Y-TSCT-Q04,1AA41,R312,T-TJC19362-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26180,V-SANYC_020-170304,1A,41,7,3,V-SANYC_020,17,3,4,3
4,25-05-05 1500,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2466086,Y-TSCT-1A4108.2,1A4108.2,Y-TSCT-Q04,1AA41,R312,T-TJC19362-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26180,V-SANYC_020-150204,1A,41,8,2,V-SANYC_020,15,2,4,3
5,25-05-05 1502,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2647858,Y-TSCT-1A4108.1,1A4108.1,Y-TSCT-Q04,1AA41,R312,T-TJCA9919-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26210,V-SANYC_020-170204,1A,41,8,1,V-SANYC_020,17,2,4,3
6,25-05-05 1504,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3272402,Y-TSCT-1A4111.4,1A4111.4,Y-TSCT-Q04,1AA41,R312,T-TJC19362-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26080,V-SANYC_020-150306,1A,41,11,4,V-SANYC_020,15,3,6,3
7,25-05-05 1506,UNIT_YARD_MOVE,LOAD,EXPRT,KMTU7392935,Y-TSCT-1A4111.3,1A4111.3,Y-TSCT-Q04,1AA41,R312,T-TJCA9919-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26200,V-SANYC_020-170306,1A,41,11,3,V-SANYC_020,17,3,6,3
8,25-05-05 1508,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2668233,Y-TSCT-1A4111.2,1A4111.2,Y-TSCT-Q04,1AA41,R312,T-BJA34322F-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,27185,V-SANYC_020-150206,1A,41,11,2,V-SANYC_020,15,2,6,3
9,25-05-05 1509,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3619390,Y-TSCT-1A4111.1,1A4111.1,Y-TSCT-Q04,1AA41,R312,T-TJC15570-3 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,29500,V-SANYC_020-170206,1A,41,11,1,V-SANYC_020,17,2,6,3
10,25-05-05 1640,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2014811,Y-TSCT-1A4106.2,1A4106.2,Y-TSCT-Q04,1AA41,R312,T-TJC16537-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,23162,V-SANYC_020-090202,1A,41,6,2,V-SANYC_020,9,2,2,3
11,25-05-05 1643,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2922482,Y-TSCT-1A4106.1,1A4106.1,Y-TSCT-Q04,1AA41,R312,T-TJC67096-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,22282,V-SANYC_020-090604,1A,41,6,1,V-SANYC_020,9,6,4,3
12,25-05-05 1701,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2206203,Y-TSCT-1A4109.4,1A4109.4,Y-TSCT-Q04,1AA41,R312,T-TJC79165-3 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,23308,V-SANYC_020-070204,1A,41,9,4,V-SANYC_020,7,2,4,3
13,25-05-05 1702,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU3130546,Y-TSCT-1A4109.3,1A4109.3,Y-TSCT-Q04,1AA41,R312,T-TJCA8879-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,23242,V-SANYC_020-090204,1A,41,9,3,V-SANYC_020,9,2,4,3
14,25-05-05 1704,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1134982,Y-TSCT-1A4110.4,1A4110.4,Y-TSCT-Q04,1AA41,R312,T-TJC85060-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,24160,V-SANYC_020-090806,1A,41,10,4,V-SANYC_020,9,8,6,3
15,25-05-05 1706,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6383681,Y-TSCT-1A4109.2,1A4109.2,Y-TSCT-Q04,1AA41,R312,T-TJA26918D-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,21751,V-SANYC_020-070206,1A,41,9,2,V-SANYC_020,7,2,6,3
16,25-05-05 1707,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU3905066,Y-TSCT-1A4109.1,1A4109.1,Y-TSCT-Q04,1AA41,R312,T-TJC85615-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,19336,V-SANYC_020-090206,1A,41,9,1,V-SANYC_020,9,2,6,3
17,25-05-05 1709,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1094431,Y-TSCT-1A4110.3,1A4110.3,Y-TSCT-Q04,1AA41,R312,T-TJC19362-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26100,V-SANYC_020-070406,1A,41,10,3,V-SANYC_020,7,4,6,3
18,25-05-05 1711,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1313681,Y-TSCT-1A4110.2,1A4110.2,Y-TSCT-Q04,1AA41,R312,T-TJCG1138-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,27140,V-SANYC_020-090406,1A,41,10,2,V-SANYC_020,9,4,6,3
19,25-05-05 1713,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1317943,Y-TSCT-1A4110.1,1A4110.1,Y-TSCT-Q04,1AA41,R312,T-TJC85615-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,27140,V-SANYC_020-070606,1A,41,10,1,V-SANYC_020,7,6,6,3
20,25-05-05 1715,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2219026,Y-TSCT-1A4105.1,1A4105.1,Y-TSCT-Q04,1AA41,R312,T-TJC97881-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,29235,V-SANYC_020-090606,1A,41,5,1,V-SANYC_020,9,6,6,3
21,25-05-05 1803,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1203180,Y-TSCT-1A4102.2,1A4102.2,Y-TSCT-Q04,1AA41,R312,T-TJC16590-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,24240,V-SANYC_020-050306,1A,41,2,2,V-SANYC_020,5,3,6,3
22,25-05-05 1811,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5786994,Y-TSCT-1A4104.4,1A4104.4,Y-TSCT-Q04,1AA41,R312,T-HBJ1Z885-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,24155,V-SANYC_020-030104,1A,41,4,4,V-SANYC_020,3,1,4,3
23,25-05-05 1813,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5801342,Y-TSCT-1A4103.4,1A4103.4,Y-TSCT-Q04,1AA41,R312,T-TJC78381-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,24240,V-SANYC_020-050104,1A,41,3,4,V-SANYC_020,5,1,4,3
24,25-05-05 1818,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2200186,Y-TSCT-1A4104.3,1A4104.3,Y-TSCT-Q04,1AA41,R312,T-TJCD1891-3 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22225,V-SANYC_020-030308,1A,41,4,3,V-SANYC_020,3,3,8,3
25,25-05-05 1820,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2016985,Y-TSCT-1A4104.2,1A4104.2,Y-TSCT-Q04,1AA41,R312,T-TJCA5568-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22160,V-SANYC_020-050308,1A,41,4,2,V-SANYC_020,5,3,8,3
26,25-05-05 1831,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0319950,Y-TSCT-1A4103.3,1A4103.3,Y-TSCT-Q04,1AA41,R312,T-TJCB5675-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22240,V-SANYC_020-030382,1A,41,3,3,V-SANYC_020,3,3,82,3
27,25-05-05 1833,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2736786,Y-TSCT-1A4103.2,1A4103.2,Y-TSCT-Q04,1AA41,R312,T-TJC09131-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22250,V-SANYC_020-050382,1A,41,3,2,V-SANYC_020,5,3,82,3
28,25-05-05 1836,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU2393978,Y-TSCT-1A4104.1,1A4104.1,Y-TSCT-Q04,1AA41,R312,T-TJCA5865-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22140,V-SANYC_020-030384,1A,41,4,1,V-SANYC_020,3,3,84,3
29,25-05-05 1838,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0318403,Y-TSCT-1A4103.1,1A4103.1,Y-TSCT-Q04,1AA41,R312,T-TJCH8187-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM86,NOM20,22G1,22240,V-SANYC_020-050384,1A,41,3,1,V-SANYC_020,5,3,84,3
30,25-05-05 1953,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2734530,Y-TSCT-1A4101.1,1A4101.1,Y-TSCT-Q04,1AA41,R312,T-TJCK2877-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,23310,V-SANYC_020-090282,1A,41,1,1,V-SANYC_020,9,2,82,3
31,25-05-05 2109,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU6950785,Y-TSCT-1A4107.2,1A4107.2,Y-TSCT-Q05,1AA41,R312,T-TJC19362-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26100,V-SANYC_020-150804,1A,41,7,2,V-SANYC_020,15,8,4,3
32,25-05-05 2111,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2440179,Y-TSCT-1A4107.1,1A4107.1,Y-TSCT-Q05,1AA41,R312,T-TJCA9919-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM86,NOM20,22G1,26180,V-SANYC_020-170804,1A,41,7,1,V-SANYC_020,17,8,4,3
33,25-05-05 1717,UNIT_YARD_MOVE,LOAD,EXPRT,CBHU8785150,Y-TSCT-1A4407.5,1A4407.5,Y-TSCT-Q04,1AA44,R312,T-TJCA3812-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM96,NOM40,45G1,31430,V-SANYC_020-080408,1A,44,7,5,V-SANYC_020,8,4,8,3
34,25-05-05 1720,UNIT_YARD_MOVE,LOAD,EXPRT,WHLU5556056,Y-TSCT-1A4407.4,1A4407.4,Y-TSCT-Q04,1AA44,R312,T-TJCG7328-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM96,NOM40,45G1,29510,V-SANYC_020-080608,1A,44,7,4,V-SANYC_020,8,6,8,3
35,25-05-05 1722,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU8458934,Y-TSCT-1A4406.5,1A4406.5,Y-TSCT-Q04,1AA44,R312,T-TJCC0681-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM96,NOM40,45G1,29000,V-SANYC_020-080808,1A,44,6,5,V-SANYC_020,8,8,8,3
36,25-05-05 1840,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6134471,Y-TSCT-1A4402.1,1A4402.1,Y-TSCT-Q04,1AA44,R312,T-TJCG1610-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM96,NOM40,45G1,14340,V-SANYC_020-040386,1A,44,2,1,V-SANYC_020,4,3,86,3
37,25-05-05 1842,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6456767,Y-TSCT-1A4408.1,1A4408.1,Y-TSCT-Q04,1AA44,R312,T-TJCG9976-2 (TQ),SANYC_020,KRKPO,CNTSN,NOM96,NOM40,45G1,28278,V-SANYC_020-040186,1A,44,8,1,V-SANYC_020,4,1,86,3
38,25-05-05 1845,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU5498517,Y-TSCT-1A4406.4,1A4406.4,Y-TSCT-Q04,1AA44,R312,T-HBJ1Z885-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM96,NOM40,45G1,29000,V-SANYC_020-080482,1A,44,6,4,V-SANYC_020,8,4,82,3
39,25-05-05 1848,UNIT_YARD_MOVE,LOAD,EXPRT,EISU9258423,Y-TSCT-1A4406.3,1A4406.3,Y-TSCT-Q04,1AA44,R312,T-TJCA0360-2 (TQ),SANYC_020,KRPUS,CNTSN,NOM96,NOM40,45G1,31420,V-SANYC_020-080682,1A,44,6,3,V-SANYC_020,8,6,82,3
