order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-17 0333,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU1374879,Y-TSCT-1A2101.3,1A2101.3,Y-TSCT-Q02,1AA21,R312,T-TJCB9985-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_034-130502,1A,21,1,3,V-TIANJNS_034,13,5,2,2
1,25-03-17 0335,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0095134,Y-TSCT-1A2101.2,1A2101.2,Y-TSCT-Q02,1AA21,R312,T-TJC97605-1 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19345,V-TIANJNS_034-150502,1A,21,1,2,V-TIANJNS_034,15,5,2,2
2,25-03-17 0336,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3202779,Y-TSCT-1A2103.4,1A2103.4,Y-TSCT-Q02,1AA21,R312,T-TJCB7392-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_034-130302,1A,21,3,4,V-TIANJNS_034,13,3,2,2
3,25-03-17 0338,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5300747,Y-TSCT-1A2103.3,1A2103.3,Y-TSCT-Q02,1AA21,R312,T-TJCB5339-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-TIANJNS_034-150302,1A,21,3,3,V-TIANJNS_034,15,3,2,2
4,25-03-17 0340,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3244334,Y-TSCT-1A2102.4,1A2102.4,Y-TSCT-Q02,1AA21,R312,T-TJCB1815-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19240,V-TIANJNS_034-130002,1A,21,2,4,V-TIANJNS_034,13,0,2,2
5,25-03-17 0342,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU2624863,Y-TSCT-1A2102.3,1A2102.3,Y-TSCT-Q02,1AA21,R312,T-TJC19282-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-TIANJNS_034-150002,1A,21,2,3,V-TIANJNS_034,15,0,2,2
6,25-03-17 0344,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU3064789,Y-TSCT-1A2103.2,1A2103.2,Y-TSCT-Q02,1AA21,R312,T-TJC13767-1 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19310,V-TIANJNS_034-130304,1A,21,3,2,V-TIANJNS_034,13,3,4,2
7,25-03-17 0346,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5314397,Y-TSCT-1A2103.1,1A2103.1,Y-TSCT-Q02,1AA21,R312,T-TJCA2536-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-TIANJNS_034-150304,1A,21,3,1,V-TIANJNS_034,15,3,4,2
8,25-03-17 0348,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0095022,Y-TSCT-1A2102.2,1A2102.2,Y-TSCT-Q02,1AA21,R312,T-TJC13808-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19360,V-TIANJNS_034-130004,1A,21,2,2,V-TIANJNS_034,13,0,4,2
9,25-03-17 0350,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0175184,Y-TSCT-1A2102.1,1A2102.1,Y-TSCT-Q02,1AA21,R312,T-TJCB6558-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19340,V-TIANJNS_034-150004,1A,21,2,1,V-TIANJNS_034,15,0,4,2
10,25-03-17 0406,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3028522,Y-TSCT-1A2101.1,1A2101.1,Y-TSCT-Q02,1AA21,R312,T-BJA03558D-2 (TQ),TIANJNS_034,JPONA,CNTSN,NOM86,NOM20,22G1,19260,V-TIANJNS_034-150504,1A,21,1,1,V-TIANJNS_034,15,5,4,2
11,25-03-17 0001,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0175498,Y-TSCT-1A4511.4,1A4511.4,Y-TSCT-Q01,1AA45,R311,T-TJCK6617-1 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-TIANJNS_034-170202,1A,45,11,4,V-TIANJNS_034,17,2,2,2
12,25-03-17 0003,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0114810,Y-TSCT-1A4511.3,1A4511.3,Y-TSCT-Q01,1AA45,R311,T-TJCG1138-2 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,21729,V-TIANJNS_034-190202,1A,45,11,3,V-TIANJNS_034,19,2,2,2
13,25-03-17 0005,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0169200,Y-TSCT-1A4510.4,1A4510.4,Y-TSCT-Q01,1AA45,R311,T-TJCB0627-1 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22160,V-TIANJNS_034-170602,1A,45,10,4,V-TIANJNS_034,17,6,2,2
14,25-03-17 0007,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1118024,Y-TSCT-1A4510.3,1A4510.3,Y-TSCT-Q01,1AA45,R311,T-TJCK5892-3 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,21140,V-TIANJNS_034-190602,1A,45,10,3,V-TIANJNS_034,19,6,2,2
15,25-03-17 0009,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0141883,Y-TSCT-1A4511.2,1A4511.2,Y-TSCT-Q01,1AA45,R311,T-TJC70311-2 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22240,V-TIANJNS_034-170204,1A,45,11,2,V-TIANJNS_034,17,2,4,2
16,25-03-17 0011,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3265527,Y-TSCT-1A4511.1,1A4511.1,Y-TSCT-Q01,1AA45,R311,T-TJCE2525-2 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22452,V-TIANJNS_034-190204,1A,45,11,1,V-TIANJNS_034,19,2,4,2
17,25-03-17 0023,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU3726911,Y-TSCT-1A4510.2,1A4510.2,Y-TSCT-Q01,1AA45,R311,T-TJCA6309-2 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22160,V-TIANJNS_034-170206,1A,45,10,2,V-TIANJNS_034,17,2,6,2
18,25-03-17 0025,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0091484,Y-TSCT-1A4510.1,1A4510.1,Y-TSCT-Q01,1AA45,R311,T-TJCH8076-2 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,22245,V-TIANJNS_034-190206,1A,45,10,1,V-TIANJNS_034,19,2,6,2
19,25-03-17 0537,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1870051,Y-TSCT-1A4509.4,1A4509.4,Y-TSCT-Q02,1AA45,R311,T-TJCK5298-3 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,27240,V-TIANJNS_034-210302,1A,45,9,4,V-TIANJNS_034,21,3,2,2
20,25-03-17 0539,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU2418961,Y-TSCT-1A4509.3,1A4509.3,Y-TSCT-Q02,1AA45,R311,T-TJCK5892-3 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,27176,V-TIANJNS_034-230302,1A,45,9,3,V-TIANJNS_034,23,3,2,2
21,25-03-17 0541,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1640189,Y-TSCT-1A4508.4,1A4508.4,Y-TSCT-Q02,1AA45,R311,T-SXA05762D-3 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,30030,V-TIANJNS_034-210504,1A,45,8,4,V-TIANJNS_034,21,5,4,2
22,25-03-17 0543,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0152445,Y-TSCT-1A4508.3,1A4508.3,Y-TSCT-Q02,1AA45,R311,T-TJC39652-1 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,27280,V-TIANJNS_034-230504,1A,45,8,3,V-TIANJNS_034,23,5,4,2
23,25-03-17 0545,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2850612,Y-TSCT-1A4509.2,1A4509.2,Y-TSCT-Q02,1AA45,R311,T-TJC79999-3 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,27205,V-TIANJNS_034-210304,1A,45,9,2,V-TIANJNS_034,21,3,4,2
24,25-03-17 0546,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0434445,Y-TSCT-1A4509.1,1A4509.1,Y-TSCT-Q02,1AA45,R311,T-TJCG7092-1 (TQ),TIANJNS_034,KRPUS,CNTSN,NOM86,NOM20,22G1,24114,V-TIANJNS_034-230304,1A,45,9,1,V-TIANJNS_034,23,3,4,2
