order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-10 1802,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6056474,Y-TSCT-2A6606.1,2A6606.1,Y-TSCT-Q01,2AA66,R321,T-TJCG1010-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,12896,V-TIANS_0AE-180608,2A,66,6,1,V-TIANS_0AE,18,6,8,1
1,25-02-10 1626,UNIT_YARD_MOVE,LOAD,EXPRT,CKLU4015900,Y-TSCT-2A7009.1,2A7009.1,Y-TSCT-Q02,2AA70,R321,T-HBFN6631-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM86,NOM40,42G1,29080,V-TIANS_0AE-020010,2A,70,9,1,V-TIANS_0AE,2,0,10,1
2,25-02-10 1644,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU6055009,Y-TSCT-2A7004.5,2A7004.5,Y-TSCT-Q01,2AA70,R321,T-TJCM1500-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,7750,V-TIANS_0AE-260506,2A,70,4,5,V-TIANS_0AE,26,5,6,1
3,25-02-10 1646,UNIT_YARD_MOVE,LOAD,EXPRT,CKLU4108258,Y-TSCT-2A7004.4,2A7004.4,Y-TSCT-Q01,2AA70,R321,T-TJCD3156-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,9300,V-TIANS_0AE-260006,2A,70,4,4,V-TIANS_0AE,26,0,6,1
4,25-02-10 1649,UNIT_YARD_MOVE,LOAD,EXPRT,FBLU0231445,Y-TSCT-2A7003.4,2A7003.4,Y-TSCT-Q01,2AA70,R321,T-TJC28523-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,8158,V-TIANS_0AE-260206,2A,70,3,4,V-TIANS_0AE,26,2,6,1
5,25-02-10 1651,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU9992912,Y-TSCT-2A7004.3,2A7004.3,Y-TSCT-Q01,2AA70,R321,T-TJCD3771-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,9200,V-TIANS_0AE-260406,2A,70,4,3,V-TIANS_0AE,26,4,6,1
6,25-02-10 1654,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4365289,Y-TSCT-2A7003.3,2A7003.3,Y-TSCT-Q01,2AA70,R321,T-TJCG8261-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,7712,V-TIANS_0AE-260606,2A,70,3,3,V-TIANS_0AE,26,6,6,1
7,25-02-10 1656,UNIT_YARD_MOVE,LOAD,EXPRT,UETU5458512,Y-TSCT-2A7005.2,2A7005.2,Y-TSCT-Q01,2AA70,R321,T-TJC81009-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,12000,V-TIANS_0AE-260508,2A,70,5,2,V-TIANS_0AE,26,5,8,1
8,25-02-10 1700,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4555015,Y-TSCT-2A7010.2,2A7010.2,Y-TSCT-Q01,2AA70,R321,T-TJC85838-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,11600,V-TIANS_0AE-260308,2A,70,10,2,V-TIANS_0AE,26,3,8,1
9,25-02-10 1701,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8584586,Y-TSCT-2A7007.2,2A7007.2,Y-TSCT-Q01,2AA70,R321,T-TJCF1716-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,12690,V-TIANS_0AE-260108,2A,70,7,2,V-TIANS_0AE,26,1,8,1
10,25-02-10 1703,UNIT_YARD_MOVE,LOAD,EXPRT,TXGU5010381,Y-TSCT-2A7004.2,2A7004.2,Y-TSCT-Q01,2AA70,R321,T-TJC55102-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,8132,V-TIANS_0AE-260008,2A,70,4,2,V-TIANS_0AE,26,0,8,1
11,25-02-10 1705,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU7172700,Y-TSCT-2A7003.2,2A7003.2,Y-TSCT-Q01,2AA70,R321,T-TJC39203-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,7978,V-TIANS_0AE-260208,2A,70,3,2,V-TIANS_0AE,26,2,8,1
12,25-02-10 1712,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1046020,Y-TSCT-2A7004.1,2A7004.1,Y-TSCT-Q01,2AA70,R321,T-TJCB8678-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,7975,V-TIANS_0AE-260408,2A,70,4,1,V-TIANS_0AE,26,4,8,1
13,25-02-10 1714,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU1034604,Y-TSCT-2A7003.1,2A7003.1,Y-TSCT-Q01,2AA70,R321,T-TJC68775-2 (TQ),TIANS_0AE,JPNTA,CNTSN,NOM96,NOM40,45G1,7975,V-TIANS_0AE-260608,2A,70,3,1,V-TIANS_0AE,26,6,8,1
14,25-02-10 1721,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4871717,Y-TSCT-2A7007.1,2A7007.1,Y-TSCT-Q01,2AA70,R321,T-TJCG8261-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,7915,V-TIANS_0AE-260086,2A,70,7,1,V-TIANS_0AE,26,0,86,1
15,25-02-10 1722,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4876684,Y-TSCT-2A7005.1,2A7005.1,Y-TSCT-Q01,2AA70,R321,T-TJCK6300-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,8176,V-TIANS_0AE-260186,2A,70,5,1,V-TIANS_0AE,26,1,86,1
16,25-02-10 1725,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU7049678,Y-TSCT-2A7008.1,2A7008.1,Y-TSCT-Q01,2AA70,R321,T-TJC55102-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,11450,V-TIANS_0AE-260386,2A,70,8,1,V-TIANS_0AE,26,3,86,1
17,25-02-10 1727,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU6520320,Y-TSCT-2A7001.1,2A7001.1,Y-TSCT-Q01,2AA70,R321,T-TJA02561D-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,21130,V-TIANS_0AE-260286,2A,70,1,1,V-TIANS_0AE,26,2,86,1
18,25-02-10 1728,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4756956,Y-TSCT-2A7010.1,2A7010.1,Y-TSCT-Q01,2AA70,R321,T-TJCK6775-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,11724,V-TIANS_0AE-180308,2A,70,10,1,V-TIANS_0AE,18,3,8,1
19,25-02-10 1731,UNIT_YARD_MOVE,LOAD,EXPRT,STXU4559592,Y-TSCT-2A7011.1,2A7011.1,Y-TSCT-Q01,2AA70,R321,T-HBFR4867-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,20300,V-TIANS_0AE-180108,2A,70,11,1,V-TIANS_0AE,18,1,8,1
20,25-02-10 1734,UNIT_YARD_MOVE,LOAD,EXPRT,FFAU4632580,Y-TSCT-2A7006.3,2A7006.3,Y-TSCT-Q01,2AA70,R321,T-TJCK6528-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,24700,V-TIANS_0AE-180508,2A,70,6,3,V-TIANS_0AE,18,5,8,1
21,25-02-10 1737,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU6466375,Y-TSCT-2A7006.2,2A7006.2,Y-TSCT-Q01,2AA70,R321,T-TJCK6336-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,24700,V-TIANS_0AE-180208,2A,70,6,2,V-TIANS_0AE,18,2,8,1
22,25-02-10 1759,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU8862868,Y-TSCT-2A7006.1,2A7006.1,Y-TSCT-Q01,2AA70,R321,T-TJCK6083-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM96,NOM40,45G1,24830,V-TIANS_0AE-180408,2A,70,6,1,V-TIANS_0AE,18,4,8,1
23,25-02-10 1437,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2214430,Y-TSCT-2A7310.5,2A7310.5,Y-TSCT-Q01,2AA73,R321,T-TJC85951-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM86,NOM20,22G1,26640,V-TIANS_0AE-170302,2A,73,10,5,V-TIANS_0AE,17,3,2,1
24,25-02-10 1452,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0490140,Y-TSCT-2A7308.2,2A7308.2,Y-TSCT-Q01,2AA73,R321,T-TJC36298-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM86,NOM20,22G1,23300,V-TIANS_0AE-170102,2A,73,8,2,V-TIANS_0AE,17,1,2,1
25,25-02-10 1454,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4181010,Y-TSCT-2A7308.1,2A7308.1,Y-TSCT-Q01,2AA73,R321,T-TJCE0790-2 (TQ),TIANS_0AE,KRPUS,CNTSN,NOM86,NOM20,22G1,23300,V-TIANS_0AE-190102,2A,73,8,1,V-TIANS_0AE,19,1,2,1
