order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-14 2120,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6108681,Y-TSCT-1A1011.3,1A1011.3,Y-TSCT-Q02,1AA10,R312,T-HBJ2P201-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140710,1A,10,11,3,V-TIANX73_004,14,7,10,9
1,25-03-14 2122,UNIT_YARD_MOVE,LOAD,EXPRT,XYLU8045862,Y-TSCT-1A1011.2,1A1011.2,Y-TSCT-Q02,1AA10,R312,T-TJCJ2555-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140510,1A,10,11,2,V-TIANX73_004,14,5,10,9
2,25-03-14 2124,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6118720,Y-TSCT-1A1011.1,1A1011.1,Y-TSCT-Q02,1AA10,R312,T-TJCA9878-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140310,1A,10,11,1,V-TIANX73_004,14,3,10,9
3,25-03-14 2126,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6099316,Y-TSCT-1A1010.2,1A1010.2,Y-TSCT-Q02,1AA10,R312,T-HBA235MA-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140110,1A,10,10,2,V-TIANX73_004,14,1,10,9
4,25-03-14 2128,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7936164,Y-TSCT-1A1010.1,1A1010.1,Y-TSCT-Q02,1AA10,R312,T-TJC55135-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140210,1A,10,10,1,V-TIANX73_004,14,2,10,9
5,25-03-14 2131,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6093853,Y-TSCT-1A1009.2,1A1009.2,Y-TSCT-Q02,1AA10,R312,T-TJC17099-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140410,1A,10,9,2,V-TIANX73_004,14,4,10,9
6,25-03-14 2133,UNIT_YARD_MOVE,LOAD,EXPRT,RAWU8015001,Y-TSCT-1A1009.1,1A1009.1,Y-TSCT-Q02,1AA10,R312,T-TJCK0307-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140610,1A,10,9,1,V-TIANX73_004,14,6,10,9
7,25-03-14 2135,UNIT_YARD_MOVE,LOAD,EXPRT,XYLU8049554,Y-TSCT-1A1003.1,1A1003.1,Y-TSCT-Q02,1AA10,R312,T-HBJ2L623-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-140810,1A,10,3,1,V-TIANX73_004,14,8,10,9
8,25-03-15 0844,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6094551,Y-TSCT-1A1002.1,1A1002.1,Y-TSCT-Q02,1AA10,R312,T-TJC57622-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,26000,V-TIANX73_004-180684,1A,10,2,1,V-TIANX73_004,18,6,84,9
9,25-03-15 0900,UNIT_YARD_MOVE,LOAD,EXPRT,TELU6020496,Y-TSCT-1A1008.2,1A1008.2,Y-TSCT-Q02,1AA10,R312,T-HBJZ5217-2 (TQ),TIANX73_004,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-TIANX73_004-100482,1A,10,8,2,V-TIANX73_004,10,4,82,9
