order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-10 0826,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2737709,Y-TSCT-2A3909.5,2A3909.5,Y-TSCT-Q06,2AA39,R321,T-TJCL7169-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22250,V-XINGL7_007-110502,2A,39,9,5,V-XINGL7_007,11,5,2,1
1,25-03-10 0828,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2209666,Y-TSCT-2A3909.4,2A3909.4,Y-TSCT-Q06,2AA39,R321,T-TJC97881-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22140,V-XINGL7_007-130502,2A,39,9,4,V-XINGL7_007,13,5,2,1
2,25-03-10 0830,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1205075,Y-TSCT-2A3908.5,2A3908.5,Y-TSCT-Q06,2AA39,R321,T-HBJ1Z885-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22140,V-XINGL7_007-110102,2A,39,8,5,V-XINGL7_007,11,1,2,1
3,25-03-10 0832,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1205711,Y-TSCT-2A3908.4,2A3908.4,Y-TSCT-Q06,2AA39,R321,T-TJCB5612-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22865,V-XINGL7_007-130102,2A,39,8,4,V-XINGL7_007,13,1,2,1
4,25-03-10 0835,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU2200340,Y-TSCT-2A3909.3,2A3909.3,Y-TSCT-Q06,2AA39,R321,T-TJC78381-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22950,V-XINGL7_007-110402,2A,39,9,3,V-XINGL7_007,11,4,2,1
5,25-03-10 0837,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU2016218,Y-TSCT-2A3909.2,2A3909.2,Y-TSCT-Q06,2AA39,R321,T-TJCC0681-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22160,V-XINGL7_007-130402,2A,39,9,2,V-XINGL7_007,13,4,2,1
6,25-03-10 0848,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1206235,Y-TSCT-2A3908.3,2A3908.3,Y-TSCT-Q06,2AA39,R321,T-TJCA8879-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22865,V-XINGL7_007-110504,2A,39,8,3,V-XINGL7_007,11,5,4,1
7,25-03-10 0850,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2583100,Y-TSCT-2A3908.2,2A3908.2,Y-TSCT-Q06,2AA39,R321,T-TJC92961-2 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22250,V-XINGL7_007-130504,2A,39,8,2,V-XINGL7_007,13,5,4,1
8,25-03-10 0937,UNIT_YARD_MOVE,LOAD,EXPRT,STXU2045188,Y-TSCT-2A3909.1,2A3909.1,Y-TSCT-Q06,2AA39,R321,T-TJCK2003-1 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,22367,V-XINGL7_007-110104,2A,39,9,1,V-XINGL7_007,11,1,4,1
9,25-03-10 0939,UNIT_YARD_MOVE,LOAD,EXPRT,FTAU1019335,Y-TSCT-2A3908.1,2A3908.1,Y-TSCT-Q06,2AA39,R321,T-TJC93012-3 (TQ),XINGL7_007,KRPUS,CNTSN,NOM86,NOM20,22G1,23520,V-XINGL7_007-130104,2A,39,8,1,V-XINGL7_007,13,1,4,1
