order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-05 0025,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2182532,Y-TSCT-3A2311.3,3A2311.3,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-210782,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-130302,3A,23,11,3,V-XINHX_516,13,3,2,9
1,25-03-05 0026,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU2372121,Y-TSCT-3A2310.3,3A2310.3,Y-TSCT-Q04,3AA23,R332,V-HONGDX58_067-270302,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-150302,3A,23,10,3,V-XINHX_516,15,3,2,9
2,25-03-05 0028,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1899843,Y-TSCT-3A2311.2,3A2311.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-090206,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-130202,3A,23,11,2,V-XINHX_516,13,2,2,9
3,25-03-05 0030,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2188696,Y-TSCT-3A2310.2,3A2310.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-170682,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-150202,3A,23,10,2,V-XINHX_516,15,2,2,9
4,25-03-05 0035,UNIT_YARD_MOVE,LOAD,EXPRT,HJLU1343019,Y-TSCT-3A2309.2,3A2309.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-110486,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-130602,3A,23,9,2,V-XINHX_516,13,6,2,9
5,25-03-05 0037,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2156662,Y-TSCT-3A2308.2,3A2308.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-110208,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-150602,3A,23,8,2,V-XINHX_516,15,6,2,9
6,25-03-05 0039,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2095438,Y-TSCT-3A2307.2,3A2307.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-030206,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-130304,3A,23,7,2,V-XINHX_516,13,3,4,9
7,25-03-05 0041,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU2092845,Y-TSCT-3A2306.2,3A2306.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-050306,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-150304,3A,23,6,2,V-XINHX_516,15,3,4,9
8,25-03-05 0045,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU4658232,Y-TSCT-3A2305.2,3A2305.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-250786,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-130204,3A,23,5,2,V-XINHX_516,13,2,4,9
9,25-03-05 0047,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1646721,Y-TSCT-3A2304.2,3A2304.2,Y-TSCT-Q04,3AA23,R332,V-XINHX_50D-210406,XINHX_516,CNNGG,CNTSN,NOM86,NOM20,22G1,2300,V-XINHX_516-150204,3A,23,4,2,V-XINHX_516,15,2,4,9
