order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-12 0407,UNIT_YARD_MOVE,LOAD,EXPRT,WSDU4958430,Y-TSCT-2C1402.3,2C1402.3,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060382,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040002,2C,14,2,3,V-XINJF5_014,4,0,2,0
1,25-02-12 0416,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU2688480,Y-TSCT-2C1410.5,2C1410.5,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100302,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040782,2C,14,10,5,V-XINJF5_014,4,7,82,0
2,25-02-12 0425,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU8375415,Y-TSCT-2C1409.5,2C1409.5,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100482,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040382,2C,14,9,5,V-XINJF5_014,4,3,82,0
3,25-02-12 0433,UNIT_YARD_MOVE,LOAD,EXPRT,WSDU4952220,Y-TSCT-2C1409.4,2C1409.4,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060482,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040682,2C,14,9,4,V-XINJF5_014,4,6,82,0
4,25-02-12 0435,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU5655653,Y-TSCT-2C1410.3,2C1410.3,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100602,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040784,2C,14,10,3,V-XINJF5_014,4,7,84,0
5,25-02-12 0440,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU2309448,Y-TSCT-2C1409.3,2C1409.3,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-140688,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040384,2C,14,9,3,V-XINJF5_014,4,3,84,0
6,25-02-12 0455,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU5117232,Y-TSCT-2C1410.2,2C1410.2,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100406,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040284,2C,14,10,2,V-XINJF5_014,4,2,84,0
7,25-02-12 0457,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU4060934,Y-TSCT-2C1409.2,2C1409.2,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100008,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040484,2C,14,9,2,V-XINJF5_014,4,4,84,0
8,25-02-12 0502,UNIT_YARD_MOVE,LOAD,EXPRT,WSDU4968063,Y-TSCT-2C1410.1,2C1410.1,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060782,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040684,2C,14,10,1,V-XINJF5_014,4,6,84,0
9,25-02-12 0505,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6662519,Y-TSCT-2C1409.1,2C1409.1,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100286,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-040884,2C,14,9,1,V-XINJF5_014,4,8,84,0
10,25-02-12 0512,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6672116,Y-TSCT-2C1408.4,2C1408.4,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100186,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080182,2C,14,8,4,V-XINJF5_014,8,1,82,0
11,25-02-12 0518,UNIT_YARD_MOVE,LOAD,EXPRT,TGBU5272558,Y-TSCT-2C1408.3,2C1408.3,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060884,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080482,2C,14,8,3,V-XINJF5_014,8,4,82,0
12,25-02-12 0526,UNIT_YARD_MOVE,LOAD,EXPRT,RFCU5113540,Y-TSCT-2C1408.2,2C1408.2,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100308,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080882,2C,14,8,2,V-XINJF5_014,8,8,82,0
13,25-02-12 0530,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU2682420,Y-TSCT-2C1408.1,2C1408.1,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100002,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080584,2C,14,8,1,V-XINJF5_014,8,5,84,0
14,25-02-12 0558,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU7329924,Y-TSCT-2C1401.2,2C1401.2,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100284,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080184,2C,14,1,2,V-XINJF5_014,8,1,84,0
15,25-02-12 0608,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU4514370,Y-TSCT-2C1401.1,2C1401.1,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060304,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-080484,2C,14,1,1,V-XINJF5_014,8,4,84,0
16,25-02-12 0619,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4634187,Y-TSCT-2C1407.5,2C1407.5,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-060102,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-120582,2C,14,7,5,V-XINJF5_014,12,5,82,0
17,25-02-12 0626,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU6660394,Y-TSCT-2C1406.5,2C1406.5,Y-TSCT-Q09,2CA14,R326,V-DINGX7_01D-100686,XINJF5_014,CNYIK,CNTSN,NOM96,NOM40,45G1,3800,V-XINJF5_014-120182,2C,14,6,5,V-XINJF5_014,12,1,82,0
