order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-22 2314,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1961663,Y-TSCT-2A2506.5,2A2506.5,Y-TSCT-Q03,2AA25,R322,T-TJC56969-1 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,27410,V-XINX_038-090302,2A,25,6,5,V-XINX_038,9,3,2,3
1,25-02-22 2316,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1812208,Y-TSCT-2A2506.4,2A2506.4,Y-TSCT-Q03,2AA25,R322,T-TJCB3617-3 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,25980,V-XINX_038-110302,2A,25,6,4,V-XINX_038,11,3,2,3
2,25-02-22 2321,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2361750,Y-TSCT-2A2507.5,2A2507.5,Y-TSCT-Q03,2AA25,R322,T-TJCB5339-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,27150,V-XINX_038-090202,2A,25,7,5,V-XINX_038,9,2,2,3
3,25-02-22 2323,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2108211,Y-TSCT-2A2507.4,2A2507.4,Y-TSCT-Q03,2AA25,R322,T-TJC97333-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,29695,V-XINX_038-110202,2A,25,7,4,V-XINX_038,11,2,2,3
4,25-02-22 2327,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2144750,Y-TSCT-2A2506.2,2A2506.2,Y-TSCT-Q03,2AA25,R322,T-TJC57612-3 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,24044,V-XINX_038-110504,2A,25,6,2,V-XINX_038,11,5,4,3
5,25-02-23 0023,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1667788,Y-TSCT-2A2510.2,2A2510.2,Y-TSCT-Q01,2AA25,R322,T-TJC07996-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,26925,V-XINX_038-250204,2A,25,10,2,V-XINX_038,25,2,4,3
6,25-02-23 0249,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2326322,Y-TSCT-2A2509.2,2A2509.2,Y-TSCT-Q02,2AA25,R322,T-TJCK2506-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,18240,V-XINX_038-070782,2A,25,9,2,V-XINX_038,7,7,82,3
7,25-02-23 0255,UNIT_YARD_MOVE,LOAD,EXPRT,PHRU2201946,Y-TSCT-2A2508.3,2A2508.3,Y-TSCT-Q03,2AA25,R322,T-TJAU3781-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,18573,V-XINX_038-070382,2A,25,8,3,V-XINX_038,7,3,82,3
8,25-02-23 0305,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU2459491,Y-TSCT-2A2505.4,2A2505.4,Y-TSCT-Q02,2AA25,R322,T-TJC56969-1 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,27150,V-XINX_038-230302,2A,25,5,4,V-XINX_038,23,3,2,3
9,25-02-23 0319,UNIT_YARD_MOVE,LOAD,EXPRT,BSIU2993790,Y-TSCT-2A2508.2,2A2508.2,Y-TSCT-Q03,2AA25,R322,T-TJC97981-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,18758,V-XINX_038-050082,2A,25,8,2,V-XINX_038,5,0,82,3
10,25-02-23 0324,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2354302,Y-TSCT-2A2505.2,2A2505.2,Y-TSCT-Q02,2AA25,R322,T-TJCM7273-1 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,26858,V-XINX_038-230602,2A,25,5,2,V-XINX_038,23,6,2,3
11,25-02-23 0327,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU2110544,Y-TSCT-2A2511.1,2A2511.1,Y-TSCT-Q03,2AA25,R322,T-TJAW1729-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,26090,V-XINX_038-050182,2A,25,11,1,V-XINX_038,5,1,82,3
12,25-02-23 0329,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU1815995,Y-TSCT-2A2503.4,2A2503.4,Y-TSCT-Q02,2AA25,R322,T-TJC91210-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,23790,V-XINX_038-210704,2A,25,3,4,V-XINX_038,21,7,4,3
13,25-02-23 0331,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1527390,Y-TSCT-2A2503.3,2A2503.3,Y-TSCT-Q02,2AA25,R322,T-TJC13767-2 (TQ),XINX_038,KRPTK,CNTSN,NOM86,NOM20,22G1,21200,V-XINX_038-230704,2A,25,3,3,V-XINX_038,23,7,4,3
