order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-16 0601,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU8212767,Y-TSCT-1B0605.1,1B0605.1,Y-TSCT-Q04,1BA06,R314,T-TJCK6528-2 (TQ),YID_010,PHMNL,CNTSN,NOM96,NOM40,45G1,18290,V-YID_010-220084,1B,6,5,1,V-YID_010,22,0,84,1
1,25-04-16 0022,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5822232,Y-TSCT-2A4311.4,2A4311.4,Y-TSCT-Q03,2AA43,R322,T-TJCB2186-1 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30200,V-YID_010-250102,2A,43,11,4,V-YID_010,25,1,2,1
2,25-04-16 0023,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2383741,Y-TSCT-2A4310.4,2A4310.4,Y-TSCT-Q03,2AA43,R322,T-TJCM7639-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-270102,2A,43,10,4,V-YID_010,27,1,2,1
3,25-04-16 0029,UNIT_YARD_MOVE,LOAD,EXPRT,SNCU2963189,Y-TSCT-2A4311.3,2A4311.3,Y-TSCT-Q03,2AA43,R322,T-TJCK2963-1 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30185,V-YID_010-250002,2A,43,11,3,V-YID_010,25,0,2,1
4,25-04-16 0032,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU6190127,Y-TSCT-2A4310.3,2A4310.3,Y-TSCT-Q03,2AA43,R321,T-TJC97061-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-270002,2A,43,10,3,V-YID_010,27,0,2,1
5,25-04-16 0034,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2441365,Y-TSCT-2A4311.2,2A4311.2,Y-TSCT-Q03,2AA43,R321,T-SXA05762D-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,29260,V-YID_010-250202,2A,43,11,2,V-YID_010,25,2,2,1
6,25-04-16 0035,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2350178,Y-TSCT-2A4310.2,2A4310.2,Y-TSCT-Q03,2AA43,R321,T-TJC15759-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-270202,2A,43,10,2,V-YID_010,27,2,2,1
7,25-04-16 0038,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2331202,Y-TSCT-2A4311.1,2A4311.1,Y-TSCT-Q03,2AA43,R321,T-TJCD0717-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,29100,V-YID_010-250004,2A,43,11,1,V-YID_010,25,0,4,1
8,25-04-16 0040,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6194665,Y-TSCT-2A4310.1,2A4310.1,Y-TSCT-Q03,2AA43,R321,T-TJC97003-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-270004,2A,43,10,1,V-YID_010,27,0,4,1
9,25-04-16 0114,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2305902,Y-TSCT-2A4308.4,2A4308.4,Y-TSCT-Q05,2AA43,R321,T-HBFN6686-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,29659,V-YID_010-150302,2A,43,8,4,V-YID_010,15,3,2,1
10,25-04-16 0116,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2355689,Y-TSCT-2A4309.3,2A4309.3,Y-TSCT-Q05,2AA43,R321,T-TJCK2963-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-130402,2A,43,9,3,V-YID_010,13,4,2,1
11,25-04-16 0117,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6196014,Y-TSCT-2A4308.3,2A4308.3,Y-TSCT-Q05,2AA43,R321,T-TJCM7639-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30220,V-YID_010-150402,2A,43,8,3,V-YID_010,15,4,2,1
12,25-04-16 0119,UNIT_YARD_MOVE,LOAD,EXPRT,SLPU2003360,Y-TSCT-2A4309.2,2A4309.2,Y-TSCT-Q05,2AA43,R321,T-TJCG1268-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,26918,V-YID_010-130304,2A,43,9,2,V-YID_010,13,3,4,1
13,25-04-16 0121,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU6197290,Y-TSCT-2A4308.2,2A4308.2,Y-TSCT-Q05,2AA43,R321,T-TJCD0211-3 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,30100,V-YID_010-150304,2A,43,8,2,V-YID_010,15,3,4,1
14,25-04-16 0123,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2261595,Y-TSCT-2A4309.1,2A4309.1,Y-TSCT-Q05,2AA43,R321,T-BJA03558D-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,28990,V-YID_010-130404,2A,43,9,1,V-YID_010,13,4,4,1
15,25-04-16 0125,UNIT_YARD_MOVE,LOAD,EXPRT,SNBU2272250,Y-TSCT-2A4308.1,2A4308.1,Y-TSCT-Q05,2AA43,R321,T-TJCB6558-2 (TQ),YID_010,PHMNL,CNTSN,NOM86,NOM20,22G1,28810,V-YID_010-150404,2A,43,8,1,V-YID_010,15,4,4,1
