order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-06 0924,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9110018,Y-TSCT-1B0605.1,1B0605.1,Y-TSCT-Q10,1BA06,R314,T-TJA02975D-2 (TQ),YONGFEI_00B,INNSA,CNTSN,NOM96,NOM40,45G1,8580,V-YONGFEI_00B-340692,1B,6,5,1,V-YONGFEI_00B,34,6,92,3
1,25-04-06 0948,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU0802247,Y-TSCT-1B0608.2,1B0608.2,Y-TSCT-Q12,1BA06,R314,T-TJA05252D-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM40,42G1,16552,V-YONGFEI_00B-100618,1B,6,8,2,V-YONGFEI_00B,10,6,18,8
2,25-04-06 2200,UNIT_YARD_MOVE,LOAD,EXPRT,HASU4436853,Y-TSCT-1B0610.5,1B0610.5,Y-TSCT-Q11,1BA06,R314,T-TJCK6736-2 (TQ),YONGFEI_00B,MYTPP,CNTSN,NOM96,NOM40,45G1,32260,V-YONGFEI_00B-181482,1B,6,10,5,V-YONGFEI_00B,18,14,82,6
3,25-04-06 2214,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3698165,Y-TSCT-1B0605.1,1B0605.1,Y-TSCT-Q11,1BA06,R314,T-TJCF1975-2 (TQ),YONGFEI_00B,MYTPP,CNTSN,NOM96,NOM40,45G1,32010,V-YONGFEI_00B-181484,1B,6,5,1,V-YONGFEI_00B,18,14,84,6
4,25-04-06 1151,UNIT_YARD_MOVE,LOAD,EXPRT,SKLU1418379,Y-TSCT-1B2105.2,1B2105.2,Y-TSCT-Q10,1BA21,R314,T-TJCB7290-2 (TQ),YONGFEI_00B,INMUN,CNTSN,NOM86,NOM20,22G1,29230,V-YONGFEI_00B-370002,1B,21,5,2,V-YONGFEI_00B,37,0,2,11
5,25-04-06 1153,UNIT_YARD_MOVE,LOAD,EXPRT,HALU2078483,Y-TSCT-1B2105.1,1B2105.1,Y-TSCT-Q10,1BA21,R314,T-BJA20052D-2 (TQ),YONGFEI_00B,INMUN,CNTSN,NOM86,NOM20,22G1,29230,V-YONGFEI_00B-390002,1B,21,5,1,V-YONGFEI_00B,39,0,2,11
6,25-04-06 0719,UNIT_YARD_MOVE,LOAD,EXPRT,HPGU2243571,Y-TSCT-1C2707.5,1C2707.5,Y-TSCT-Q11,1CA27,R316,T-TJCK6380-3 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,29895,V-YONGFEI_00B-210302,1C,27,7,5,V-YONGFEI_00B,21,3,2,5
7,25-04-06 0721,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1343494,Y-TSCT-1C2707.4,1C2707.4,Y-TSCT-Q11,1CA27,R316,T-TJCG7701-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,30132,V-YONGFEI_00B-230302,1C,27,7,4,V-YONGFEI_00B,23,3,2,5
8,25-04-06 0735,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1039286,Y-TSCT-1C2703.5,1C2703.5,Y-TSCT-Q11,1CA27,R316,T-TJC13099-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,30460,V-YONGFEI_00B-210002,1C,27,3,5,V-YONGFEI_00B,21,0,2,5
9,25-04-06 0738,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1975011,Y-TSCT-1C2703.4,1C2703.4,Y-TSCT-Q11,1CA27,R316,T-TJCB9252-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,30260,V-YONGFEI_00B-230002,1C,27,3,4,V-YONGFEI_00B,23,0,2,5
10,25-04-06 0742,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU8180936,Y-TSCT-1C2704.4,1C2704.4,Y-TSCT-Q11,1CA27,R316,T-HBACB157-1 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,29105,V-YONGFEI_00B-210304,1C,27,4,4,V-YONGFEI_00B,21,3,4,5
11,25-04-06 0744,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1546207,Y-TSCT-1C2704.3,1C2704.3,Y-TSCT-Q11,1CA27,R316,T-TJC23125-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,28920,V-YONGFEI_00B-230304,1C,27,4,3,V-YONGFEI_00B,23,3,4,5
12,25-04-06 0751,UNIT_YARD_MOVE,LOAD,EXPRT,PCIU1102250,Y-TSCT-1C2707.3,1C2707.3,Y-TSCT-Q11,1CA27,R316,T-TJCC1358-2 (TQ),YONGFEI_00B,KRPUS,CNTSN,NOM86,NOM20,22G1,30210,V-YONGFEI_00B-210004,1C,27,7,3,V-YONGFEI_00B,21,0,4,5
