order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-10 1811,UNIT_YARD_MOVE,LOAD,EXPRT,NYKU9787386,Y-TSCT-1A4709.5,1A4709.5,Y-TSCT-Q02,1AA47,R312,T-TJCD2373-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,22250,V-YONGL_016-330206,1A,47,9,5,V-YONGL_016,33,2,6,0
1,25-03-10 1814,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU2238705,Y-TSCT-1A4709.4,1A4709.4,Y-TSCT-Q02,1AA47,R312,T-TJA21179D-2 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,22210,V-YONGL_016-350206,1A,47,9,4,V-YONGL_016,35,2,6,0
2,25-03-10 1816,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU1082738,Y-TSCT-1A4709.3,1A4709.3,Y-TSCT-Q02,1AA47,R312,T-TJCL1378-2 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,23780,V-YONGL_016-330606,1A,47,9,3,V-YONGL_016,33,6,6,0
3,25-03-10 1818,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2671557,Y-TSCT-1A4710.1,1A4710.1,Y-TSCT-Q02,1AA47,R312,T-TJCA9919-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,26200,V-YONGL_016-350606,1A,47,10,1,V-YONGL_016,35,6,6,20
4,25-03-10 1819,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3570927,Y-TSCT-1A4708.5,1A4708.5,Y-TSCT-Q02,1AA47,R312,T-TJC16707-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,21619,V-YONGL_016-331006,1A,47,8,5,V-YONGL_016,33,10,6,0
5,25-03-10 1822,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3570803,Y-TSCT-1A4708.4,1A4708.4,Y-TSCT-Q02,1AA47,R312,T-TJC75735-2 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,21619,V-YONGL_016-351006,1A,47,8,4,V-YONGL_016,35,10,6,0
6,25-03-10 1824,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU2227721,Y-TSCT-1A4709.2,1A4709.2,Y-TSCT-Q02,1AA47,R312,T-TJCK2271-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,24112,V-YONGL_016-330708,1A,47,9,2,V-YONGL_016,33,7,8,0
7,25-03-10 1825,UNIT_YARD_MOVE,LOAD,EXPRT,FCIU5510624,Y-TSCT-1A4709.1,1A4709.1,Y-TSCT-Q02,1AA47,R312,T-TJCJ2886-2 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,23680,V-YONGL_016-350708,1A,47,9,1,V-YONGL_016,35,7,8,20
8,25-03-10 1829,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3570697,Y-TSCT-1A4708.3,1A4708.3,Y-TSCT-Q02,1AA47,R312,T-TJCK6016-2 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,21619,V-YONGL_016-330308,1A,47,8,3,V-YONGL_016,33,3,8,0
9,25-03-10 1831,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU1572281,Y-TSCT-1A4708.2,1A4708.2,Y-TSCT-Q02,1AA47,R312,T-TJC79880-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,22210,V-YONGL_016-350308,1A,47,8,2,V-YONGL_016,35,3,8,0
10,25-03-10 1833,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3570613,Y-TSCT-1A4708.1,1A4708.1,Y-TSCT-Q02,1AA47,R312,T-TJCK6879-3 (TQ),YONGL_016,KRPU2,CNTSN,NOM86,NOM20,22G1,21619,V-YONGL_016-330208,1A,47,8,1,V-YONGL_016,33,2,8,20
