order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-11 1806,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364805,Y-TSCT-1A1911.1,1A1911.1,Y-TSCT-Q01,1AA19,R312,T-TJC97682-1 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-330586,1A,19,11,1,V-YONGL_01A,33,5,86,18
1,25-04-11 1808,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364810,Y-TSCT-1A1910.1,1A1910.1,Y-TSCT-Q01,1AA19,R312,T-TJC97682-3 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-350586,1A,19,10,1,V-YONGL_01A,35,5,86,18
2,25-04-11 1836,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364826,Y-TSCT-1A1909.1,1A1909.1,Y-TSCT-Q01,1AA19,R312,T-HBJ9Z897-1 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-330386,1A,19,9,1,V-YONGL_01A,33,3,86,18
3,25-04-11 1838,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364831,Y-TSCT-1A1908.1,1A1908.1,Y-TSCT-Q01,1AA19,R312,T-HBJ9Z897-3 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-350386,1A,19,8,1,V-YONGL_01A,35,3,86,18
4,25-04-11 1842,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364744,Y-TSCT-1A1907.1,1A1907.1,Y-TSCT-Q01,1AA19,R312,T-TJC28615-1 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-330186,1A,19,7,1,V-YONGL_01A,33,1,86,18
5,25-04-11 1844,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364750,Y-TSCT-1A1906.1,1A1906.1,Y-TSCT-Q01,1AA19,R312,T-TJC28615-3 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-350186,1A,19,6,1,V-YONGL_01A,35,1,86,18
6,25-04-11 1846,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364786,Y-TSCT-1A1905.1,1A1905.1,Y-TSCT-Q01,1AA19,R312,T-TJC91368-1 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-330286,1A,19,5,1,V-YONGL_01A,33,2,86,18
7,25-04-11 1848,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364791,Y-TSCT-1A1904.1,1A1904.1,Y-TSCT-Q01,1AA19,R312,T-TJC91368-3 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-350286,1A,19,4,1,V-YONGL_01A,35,2,86,18
8,25-04-11 1852,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364765,Y-TSCT-1A1903.1,1A1903.1,Y-TSCT-Q01,1AA19,R312,T-HBJ5W980-1 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-330486,1A,19,3,1,V-YONGL_01A,33,4,86,18
9,25-04-11 1854,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364770,Y-TSCT-1A1902.1,1A1902.1,Y-TSCT-Q01,1AA19,R312,T-HBJ5W980-3 (TQ),YONGL_01A,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01A-350486,1A,19,2,1,V-YONGL_01A,35,4,86,18
