order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-19 0846,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU3032419,Y-TSCT-1A4711.1,1A4711.1,Y-TSCT-Q08,1AA47,R311,T-TJCH8030-1 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,18907,V-YONGL_01B-350982,1A,47,11,1,V-YONGL_01B,35,9,82,10
1,25-04-18 2351,UNIT_YARD_MOVE,LOAD,EXPRT,UETU4099824,Y-TSCT-1B0601.1,1B0601.1,Y-TSCT-Q12,1BA06,R314,T-TJCF5026-2 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM40,42G1,22295,V-YONGL_01B-020214,1B,6,1,1,V-YONGL_01B,2,2,14,10
2,25-04-19 1109,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU4123752,Y-TSCT-1B0607.5,1B0607.5,Y-TSCT-Q08,1BA06,R314,T-TJCB0186-2 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM40,42G1,22875,V-YONGL_01B-381006,1B,6,7,5,V-YONGL_01B,38,10,6,10
3,25-04-19 1253,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0110935,Y-TSCT-1B0605.5,1B0605.5,Y-TSCT-Q08,1BA06,R314,T-TJC80577-2 (TQ),YONGL_01B,KRPU2,CNTSN,NOM96,NOM40,45G1,20970,V-YONGL_01B-380484,1B,6,5,5,V-YONGL_01B,38,4,84,10
4,25-04-19 0432,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU3251095,Y-TSCT-1B1908.2,1B1908.2,Y-TSCT-Q09,1BA19,R314,T-TJC75735-1 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,25125,V-YONGL_01B-350302,1B,19,8,2,V-YONGL_01B,35,3,2,4
5,25-04-19 0207,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364955,Y-TSCT-1C2708.1,1C2708.1,Y-TSCT-Q08,1CA27,R316,T-TJCB3015-3 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01B-450684,1C,27,8,1,V-YONGL_01B,45,6,84,5
6,25-04-19 0212,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364960,Y-TSCT-1C2707.1,1C2707.1,Y-TSCT-Q08,1CA27,R316,T-TJC97682-1 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01B-450884,1C,27,7,1,V-YONGL_01B,45,8,84,5
7,25-04-19 0214,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364976,Y-TSCT-1C2706.1,1C2706.1,Y-TSCT-Q08,1CA27,R316,T-TJC97682-3 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01B-451084,1C,27,6,1,V-YONGL_01B,45,10,84,5
8,25-04-19 0844,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364929,Y-TSCT-1C2711.1,1C2711.1,Y-TSCT-Q07,1CA27,R316,T-TJC28615-1 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01B-450984,1C,27,11,1,V-YONGL_01B,45,9,84,5
9,25-04-19 0847,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1364934,Y-TSCT-1C2710.1,1C2710.1,Y-TSCT-Q07,1CA27,R316,T-TJC28615-3 (TQ),YONGL_01B,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01B-450784,1C,27,10,1,V-YONGL_01B,45,7,84,5
