order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-05-01 0242,UNIT_YARD_MOVE,LOAD,EXPRT,CXDU1610605,Y-TSCT-1B1904.3,1B1904.3,Y-TSCT-Q06,1BA19,R314,T-TJCA5257-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,28560,V-YONGL_01D-410906,1B,19,4,3,V-YONGL_01D,41,9,6,1
1,25-05-01 0356,UNIT_YARD_MOVE,LOAD,EXPRT,TGCU2004750,Y-TSCT-1B1910.1,1B1910.1,Y-TSCT-Q06,1BA19,R314,T-HBFU4752-1 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,18580,V-YONGL_01D-410708,1B,19,10,1,V-YONGL_01D,41,7,8,9
2,25-05-01 0359,UNIT_YARD_MOVE,LOAD,EXPRT,YMLU3646868,Y-TSCT-1B1909.1,1B1909.1,Y-TSCT-Q06,1BA19,R314,T-HBFN6628-1 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,18730,V-YONGL_01D-430708,1B,19,9,1,V-YONGL_01D,43,7,8,9
3,25-05-01 1117,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4926750,Y-TSCT-1B2605.2,1B2605.2,Y-TSCT-Q10,1BA26,R314,T-TJA02361D-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM96,NOM40,45G1,28947,V-YONGL_01D-101012,1B,26,5,2,V-YONGL_01D,10,10,12,5
4,25-05-01 1147,UNIT_YARD_MOVE,LOAD,EXPRT,DRYU6080222,Y-TSCT-1B2605.1,1B2605.1,Y-TSCT-Q10,1BA26,R314,T-TJC56992-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM96,NOM40,45G1,27280,V-YONGL_01D-100682,1B,26,5,1,V-YONGL_01D,10,6,82,9
5,25-04-30 2331,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1365057,Y-TSCT-1C2305.2,1C2305.2,Y-TSCT-Q06,1CA23,R316,T-HBJ5W980-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01D-450684,1C,23,5,2,V-YONGL_01D,45,6,84,21
6,25-04-30 2336,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1365099,Y-TSCT-1C2304.2,1C2304.2,Y-TSCT-Q06,1CA23,R316,T-TJCB3015-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01D-450884,1C,23,4,2,V-YONGL_01D,45,8,84,21
7,25-04-30 2338,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1365062,Y-TSCT-1C2303.2,1C2303.2,Y-TSCT-Q06,1CA23,R316,T-TJC28615-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01D-451084,1C,23,3,2,V-YONGL_01D,45,10,84,21
8,25-04-30 2343,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1365041,Y-TSCT-1C2305.1,1C2305.1,Y-TSCT-Q06,1CA23,R316,T-HBJ5W980-1 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01D-450686,1C,23,5,1,V-YONGL_01D,45,6,86,21
9,25-04-30 2348,UNIT_YARD_MOVE,LOAD,EXPRT,CEEU1365083,Y-TSCT-1C2304.1,1C2304.1,Y-TSCT-Q06,1CA23,R316,T-TJCB3015-1 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,13510,V-YONGL_01D-450886,1C,23,4,1,V-YONGL_01D,45,8,86,21
10,25-05-01 0634,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU3069603,Y-TSCT-1C4910.5,1C4910.5,Y-TSCT-Q07,1CA49,R315,T-TJC80806-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,28448,V-YONGL_01D-330982,1C,49,10,5,V-YONGL_01D,33,9,82,21
11,25-05-01 0640,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7285639,Y-TSCT-1C4911.4,1C4911.4,Y-TSCT-Q07,1CA49,R315,T-TJCE2652-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,26920,V-YONGL_01D-330582,1C,49,11,4,V-YONGL_01D,33,5,82,21
12,25-05-01 0642,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0177579,Y-TSCT-1C4910.4,1C4910.4,Y-TSCT-Q07,1CA49,R315,T-TJCB8288-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,26920,V-YONGL_01D-350582,1C,49,10,4,V-YONGL_01D,35,5,82,21
13,25-05-01 0644,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU3830680,Y-TSCT-1C4911.3,1C4911.3,Y-TSCT-Q07,1CA49,R315,T-TJAW1893-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,28707,V-YONGL_01D-330182,1C,49,11,3,V-YONGL_01D,33,1,82,21
14,25-05-01 0647,UNIT_YARD_MOVE,LOAD,EXPRT,NYKU9882980,Y-TSCT-1C4910.3,1C4910.3,Y-TSCT-Q07,1CA49,R315,T-TJC56583-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,26910,V-YONGL_01D-350182,1C,49,10,3,V-YONGL_01D,35,1,82,21
15,25-05-01 0649,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2418017,Y-TSCT-1C4911.2,1C4911.2,Y-TSCT-Q07,1CA49,R315,T-TJCA3606-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,28999,V-YONGL_01D-330482,1C,49,11,2,V-YONGL_01D,33,4,82,21
16,25-05-01 0652,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU2574215,Y-TSCT-1C4911.1,1C4911.1,Y-TSCT-Q07,1CA49,R315,T-TJCK2577-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,28943,V-YONGL_01D-350482,1C,49,11,1,V-YONGL_01D,35,4,82,21
17,25-05-01 0720,UNIT_YARD_MOVE,LOAD,EXPRT,FXLU2240183,Y-TSCT-1C4908.5,1C4908.5,Y-TSCT-Q07,1CA49,R315,T-TJCA3292-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,19863,V-YONGL_01D-330984,1C,49,8,5,V-YONGL_01D,33,9,84,21
18,25-05-01 0722,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3580885,Y-TSCT-1C4908.4,1C4908.4,Y-TSCT-Q07,1CA49,R315,T-TJAW1766-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,19000,V-YONGL_01D-350984,1C,49,8,4,V-YONGL_01D,35,9,84,21
19,25-05-01 0733,UNIT_YARD_MOVE,LOAD,EXPRT,NWRU3580859,Y-TSCT-1C4908.3,1C4908.3,Y-TSCT-Q07,1CA49,R316,T-TJAU3635-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,18910,V-YONGL_01D-330584,1C,49,8,3,V-YONGL_01D,33,5,84,21
20,25-05-01 0736,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU5576118,Y-TSCT-1C4908.2,1C4908.2,Y-TSCT-Q07,1CA49,R316,T-TJCF1131-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,17173,V-YONGL_01D-350584,1C,49,8,2,V-YONGL_01D,35,5,84,21
21,25-05-01 1107,UNIT_YARD_MOVE,LOAD,EXPRT,TEMU0939822,Y-TSCT-1C4908.1,1C4908.1,Y-TSCT-Q08,1CA49,R316,T-TJCA0385-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,17022,V-YONGL_01D-331284,1C,49,8,1,V-YONGL_01D,33,12,84,21
22,25-05-01 1147,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2541954,Y-TSCT-1C4910.1,1C4910.1,Y-TSCT-Q08,1CA49,R315,T-TJCC5828-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,5891,V-YONGL_01D-330788,1C,49,10,1,V-YONGL_01D,33,7,88,21
23,25-05-01 1150,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU7212951,Y-TSCT-1C4907.1,1C4907.1,Y-TSCT-Q08,1CA49,R315,T-TJCB9762-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,4160,V-YONGL_01D-350788,1C,49,7,1,V-YONGL_01D,35,7,88,21
24,25-05-01 1152,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU2474332,Y-TSCT-1C4911.1,1C4911.1,Y-TSCT-Q08,1CA49,R315,T-TJCE7163-3 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,4556,V-YONGL_01D-330388,1C,49,11,1,V-YONGL_01D,33,3,88,21
25,25-05-01 1154,UNIT_YARD_MOVE,LOAD,EXPRT,FBIU0343965,Y-TSCT-1C4909.3,1C4909.3,Y-TSCT-Q08,1CA49,R315,T-TJCE2896-2 (TQ),YONGL_01D,KRPU2,CNTSN,NOM86,NOM20,22G1,8940,V-YONGL_01D-350388,1C,49,9,3,V-YONGL_01D,35,3,88,21
