order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-02-12 0241,UNIT_YARD_MOVE,LOAD,EXPRT,KKFU7784582,Y-TSCT-2A4003.4,2A4003.4,Y-TSCT-Q03,2AA40,R322,T-TJC56583-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,16944,V-YONGQ_000-180502,2A,40,3,4,V-YONGQ_000,18,5,2,0
1,25-02-12 0243,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU2079571,Y-TSCT-2A4005.3,2A4005.3,Y-TSCT-Q03,2AA40,R322,T-TJC58667-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,30632,V-YONGQ_000-180302,2A,40,5,3,V-YONGQ_000,18,3,2,0
2,25-02-12 0245,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU4676625,Y-TSCT-2A4005.2,2A4005.2,Y-TSCT-Q03,2AA40,R322,T-TJC08910-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,28762,V-YONGQ_000-180102,2A,40,5,2,V-YONGQ_000,18,1,2,3
3,25-02-12 0249,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU0987185,Y-TSCT-2A4005.1,2A4005.1,Y-TSCT-Q03,2AA40,R322,T-TJCB9988-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,30503,V-YONGQ_000-180202,2A,40,5,1,V-YONGQ_000,18,2,2,5
4,25-02-12 0251,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU4769709,Y-TSCT-2A4002.3,2A4002.3,Y-TSCT-Q03,2AA40,R322,T-TJCD3565-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM86,NOM40,42G1,24380,V-YONGQ_000-180602,2A,40,2,3,V-YONGQ_000,18,6,2,0
5,25-02-12 0256,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU6508872,Y-TSCT-2A4003.3,2A4003.3,Y-TSCT-Q03,2AA40,R322,T-TJCD0120-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,16480,V-YONGQ_000-180504,2A,40,3,3,V-YONGQ_000,18,5,4,0
6,25-02-12 0312,UNIT_YARD_MOVE,LOAD,EXPRT,UETU4145940,Y-TSCT-2A4002.2,2A4002.2,Y-TSCT-Q03,2AA40,R322,T-TJCE2830-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM86,NOM40,42G1,24290,V-YONGQ_000-180604,2A,40,2,2,V-YONGQ_000,18,6,4,3
7,25-02-12 0701,UNIT_YARD_MOVE,LOAD,EXPRT,GCXU5202183,Y-TSCT-2A4006.2,2A4006.2,Y-TSCT-Q03,2AA40,R322,T-TJCG1130-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,30416,V-YONGQ_000-140306,2A,40,6,2,V-YONGQ_000,14,3,6,3
8,25-02-12 0728,UNIT_YARD_MOVE,LOAD,EXPRT,ONEU1787730,Y-TSCT-2A4006.1,2A4006.1,Y-TSCT-Q03,2AA40,R322,T-TJC70562-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM96,NOM40,45G1,31583,V-YONGQ_000-140406,2A,40,6,1,V-YONGQ_000,14,4,6,5
9,25-02-12 0742,UNIT_YARD_MOVE,LOAD,EXPRT,TCKU4206623,Y-TSCT-2A4004.1,2A4004.1,Y-TSCT-Q03,2AA40,R322,T-HBFS8778-2 (TQ),YONGQ_000,KRPU2,CNTSN,NOM86,NOM40,42G1,18917,V-YONGQ_000-140910,2A,40,4,1,V-YONGQ_000,14,9,10,5
