order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-14 1637,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU7049742,Y-TSCT-1A1807.1,1A1807.1,Y-TSCT-Q08,1AA18,R312,T-TJCG7092-2 (TQ),YONGRUI_00B,MYTPP,CNTSN,NOM96,NOM40,45G1,31067,V-YONGRUI_00B-460414,1A,18,7,1,V-YONGRUI_00B,46,4,14,26
1,25-03-14 1800,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU9468493,Y-TSCT-1A1809.1,1A1809.1,Y-TSCT-Q10,1AA18,R312,T-TJCC9720-2 (TQ),YONGRUI_00B,INNSA,CNTSN,NOM96,NOM40,45G1,31936,V-YONGRUI_00B-301082,1A,18,9,1,V-YONGRUI_00B,30,10,82,11
2,25-03-15 0206,UNIT_YARD_MOVE,LOAD,EXPRT,MSKU0605208,Y-TSCT-1A1801.1,1A1801.1,Y-TSCT-Q08,1AA18,R312,T-TJCG1717-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,32104,V-YONGRUI_00B-580482,1A,18,1,1,V-YONGRUI_00B,58,4,82,18
3,25-03-15 0208,UNIT_YARD_MOVE,LOAD,EXPRT,CIPU5175890,Y-TSCT-1A1806.2,1A1806.2,Y-TSCT-Q08,1AA18,R312,T-HBFN6669-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-YONGRUI_00B-580682,1A,18,6,2,V-YONGRUI_00B,58,6,82,18
4,25-03-15 0210,UNIT_YARD_MOVE,LOAD,EXPRT,MTSU9626335,Y-TSCT-1A1805.2,1A1805.2,Y-TSCT-Q08,1AA18,R312,T-HBFN4991-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-YONGRUI_00B-580882,1A,18,5,2,V-YONGRUI_00B,58,8,82,18
5,25-03-15 0255,UNIT_YARD_MOVE,LOAD,EXPRT,MRSU3284340,Y-TSCT-1A1807.1,1A1807.1,Y-TSCT-Q08,1AA18,R312,T-TJCG1750-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,32034,V-YONGRUI_00B-580484,1A,18,7,1,V-YONGRUI_00B,58,4,84,18
6,25-03-15 0257,UNIT_YARD_MOVE,LOAD,EXPRT,CAAU8480040,Y-TSCT-1A1804.1,1A1804.1,Y-TSCT-Q08,1AA18,R312,T-TJCG1865-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,31924,V-YONGRUI_00B-580684,1A,18,4,1,V-YONGRUI_00B,58,6,84,18
7,25-03-15 0300,UNIT_YARD_MOVE,LOAD,EXPRT,SUDU6726622,Y-TSCT-1A1808.1,1A1808.1,Y-TSCT-Q08,1AA18,R312,T-SDUW6725-2 (TQ),YONGRUI_00B,INMUN,CNTSN,NOM96,NOM40,45G1,32084,V-YONGRUI_00B-580884,1A,18,8,1,V-YONGRUI_00B,58,8,84,18
8,25-03-14 1816,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU2377162,Y-TSCT-1A2111.3,1A2111.3,Y-TSCT-Q08,1AA21,R312,T-TJCE5209-2 (TQ),YONGRUI_00B,INNSA,CNTSN,NOM86,NOM20,22G1,28192,V-YONGRUI_00B-491082,1A,21,11,3,V-YONGRUI_00B,49,10,82,11
9,25-03-14 1612,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU2765456,Y-TSCT-1A6601.1,1A6601.1,Y-TSCT-Q10,1AA66,R311,T-TJCG7092-2 (TQ),YONGRUI_00B,INNSA,CNTSN,NOM96,NOM40,45G1,31846,V-YONGRUI_00B-301214,1A,66,1,1,V-YONGRUI_00B,30,12,14,11
