order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-28 2056,UNIT_YARD_MOVE,LOAD,EXPRT,BWLU5211434,Y-TSCT-1A0601.1,1A0601.1,Y-TSCT-Q06,1AA06,R312,T-TJCE5209-2 (TQ),YONGSI_00A,INNSA,CNTSN,NOM96,NOM40,45G1,31756,V-YONGSI_00A-100684,1A,6,1,1,V-YONGSI_00A,10,6,84,23
1,25-03-28 1512,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU7071399,Y-TSCT-1A1011.2,1A1011.2,Y-TSCT-Q06,1AA10,R312,T-TJCE2333-2 (TQ),YONGSI_00A,INPAV,CNTSN,NOM96,NOM40,45G1,30954,V-YONGSI_00A-060282,1A,10,11,2,V-YONGSI_00A,6,2,82,37
2,25-03-28 1525,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU8316780,Y-TSCT-1A1010.2,1A1010.2,Y-TSCT-Q06,1AA10,R312,T-TJC97010-2 (TQ),YONGSI_00A,INPAV,CNTSN,NOM96,NOM40,45G1,30754,V-YONGSI_00A-060482,1A,10,10,2,V-YONGSI_00A,6,4,82,37
3,25-03-28 1528,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6384695,Y-TSCT-1A1011.1,1A1011.1,Y-TSCT-Q06,1AA10,R312,T-TJCG1610-2 (TQ),YONGSI_00A,INPAV,CNTSN,NOM96,NOM40,45G1,30754,V-YONGSI_00A-060284,1A,10,11,1,V-YONGSI_00A,6,2,84,37
4,25-03-28 1530,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5887100,Y-TSCT-1A1010.1,1A1010.1,Y-TSCT-Q06,1AA10,R312,T-TJCG1683-2 (TQ),YONGSI_00A,INPAV,CNTSN,NOM96,NOM40,45G1,30904,V-YONGSI_00A-060484,1A,10,10,1,V-YONGSI_00A,6,4,84,37
5,25-03-28 0529,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU8689820,Y-TSCT-1A2110.2,1A2110.2,Y-TSCT-Q03,1AA21,R312,T-TJCK5892-3 (TQ),YONGSI_00A,KRPUS,CNTSN,NOM86,NOM20,22G1,29251,V-YONGSI_00A-450704,1A,21,10,2,V-YONGSI_00A,45,7,4,20
6,25-03-28 0531,UNIT_YARD_MOVE,LOAD,EXPRT,MRKU8845939,Y-TSCT-1A2110.1,1A2110.1,Y-TSCT-Q03,1AA21,R312,T-TJCK2087-3 (TQ),YONGSI_00A,KRPUS,CNTSN,NOM86,NOM20,22G1,29251,V-YONGSI_00A-470704,1A,21,10,1,V-YONGSI_00A,47,7,4,20
7,25-03-28 1715,UNIT_YARD_MOVE,LOAD,EXPRT,NLLU2046233,Y-TSCT-1A2103.4,1A2103.4,Y-TSCT-Q06,1AA21,R312,T-TJC79880-2 (TQ),YONGSI_00A,INNSA,CNTSN,NOM86,NOM20,22G1,20748,V-YONGSI_00A-110304,1A,21,3,4,V-YONGSI_00A,11,3,4,23
8,25-03-28 1743,UNIT_YARD_MOVE,LOAD,EXPRT,DFSU2915582,Y-TSCT-1A2101.3,1A2101.3,Y-TSCT-Q06,1AA21,R312,T-SDUV9116-2 (TQ),YONGSI_00A,INNSA,CNTSN,NOM86,NOM20,22G1,28796,V-YONGSI_00A-090002,1A,21,1,3,V-YONGSI_00A,9,0,2,23
9,25-03-28 1748,UNIT_YARD_MOVE,LOAD,EXPRT,SUDU7989921,Y-TSCT-1A2101.2,1A2101.2,Y-TSCT-Q06,1AA21,R312,T-TJC55588-3 (TQ),YONGSI_00A,INNSA,CNTSN,NOM86,NOM20,22G1,27649,V-YONGSI_00A-090004,1A,21,1,2,V-YONGSI_00A,9,0,4,23
