order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-03-11 0032,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6003417,Y-TSCT-1B5610.4,1B5610.4,Y-TSCT-Q11,1BA56,R313,T-HBGG4049-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060782,1B,56,10,4,V-ZHANJ_083,6,7,82,3
1,25-03-11 0034,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6092862,Y-TSCT-1B5610.3,1B5610.3,Y-TSCT-Q11,1BA56,R313,T-HBBM7858-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060582,1B,56,10,3,V-ZHANJ_083,6,5,82,3
2,25-03-11 0038,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6087064,Y-TSCT-1B5610.2,1B5610.2,Y-TSCT-Q11,1BA56,R313,T-TJCM5529-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060382,1B,56,10,2,V-ZHANJ_083,6,3,82,3
3,25-03-11 0046,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6096019,Y-TSCT-1B5610.1,1B5610.1,Y-TSCT-Q11,1BA56,R313,T-TJC85285-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060182,1B,56,10,1,V-ZHANJ_083,6,1,82,3
4,25-03-11 0048,UNIT_YARD_MOVE,LOAD,EXPRT,XYLU8024957,Y-TSCT-1B5609.4,1B5609.4,Y-TSCT-Q11,1BA56,R313,T-BJAKF275-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,26000,V-ZHANJ_083-060082,1B,56,9,4,V-ZHANJ_083,6,0,82,3
5,25-03-11 0049,UNIT_YARD_MOVE,LOAD,EXPRT,XFVU8953990,Y-TSCT-1B5609.3,1B5609.3,Y-TSCT-Q11,1BA56,R313,T-HBEV5262-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060282,1B,56,9,3,V-ZHANJ_083,6,2,82,3
6,25-03-11 0051,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7905883,Y-TSCT-1B5609.2,1B5609.2,Y-TSCT-Q11,1BA56,R313,T-TJCH1802-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060482,1B,56,9,2,V-ZHANJ_083,6,4,82,3
7,25-03-11 0053,UNIT_YARD_MOVE,LOAD,EXPRT,ATHU6142475,Y-TSCT-1B5609.1,1B5609.1,Y-TSCT-Q11,1BA56,R313,T-HBA37062-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060682,1B,56,9,1,V-ZHANJ_083,6,6,82,3
8,25-03-11 0057,UNIT_YARD_MOVE,LOAD,EXPRT,XYLU8080689,Y-TSCT-1B5608.4,1B5608.4,Y-TSCT-Q11,1BA56,R313,T-TJCG7390-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,28000,V-ZHANJ_083-060882,1B,56,8,4,V-ZHANJ_083,6,8,82,3
9,25-03-11 0059,UNIT_YARD_MOVE,LOAD,EXPRT,CAIU7908650,Y-TSCT-1B5608.3,1B5608.3,Y-TSCT-Q11,1BA56,R313,T-TJC21396-2 (TQ),ZHANJ_083,CNNS1,CNTSN,NOM96,NOM40,45G1,26000,V-ZHANJ_083-060784,1B,56,8,3,V-ZHANJ_083,6,7,84,3
