order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-10 0239,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8914768,Y-TSCT-1B2610.5,1B2610.5,Y-TSCT-Q10,1BA26,R314,T-TJCH8030-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,12950,V-ZHAOR_000-300706,1B,26,10,5,V-ZHAOR_000,30,7,6,2
1,25-04-10 0245,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6389085,Y-TSCT-1B2611.4,1B2611.4,Y-TSCT-Q10,1BA26,R314,T-TJCG1077-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,11795,V-ZHAOR_000-300506,1B,26,11,4,V-ZHAOR_000,30,5,6,2
2,25-04-10 0247,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5645359,Y-TSCT-1B2610.4,1B2610.4,Y-TSCT-Q10,1BA26,R314,T-TJCG1865-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,11779,V-ZHAOR_000-300806,1B,26,10,4,V-ZHAOR_000,30,8,6,2
3,25-04-10 0309,UNIT_YARD_MOVE,LOAD,EXPRT,WBPU7079001,Y-TSCT-1B2609.5,1B2609.5,Y-TSCT-Q10,1BA26,R314,T-TJC97097-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7590,V-ZHAOR_000-300708,1B,26,9,5,V-ZHAOR_000,30,7,8,2
4,25-04-10 0312,UNIT_YARD_MOVE,LOAD,EXPRT,SEKU4425389,Y-TSCT-1B2609.4,1B2609.4,Y-TSCT-Q10,1BA26,R314,T-TJCB5339-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7760,V-ZHAOR_000-300808,1B,26,9,4,V-ZHAOR_000,30,8,8,2
5,25-04-10 0314,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU8127248,Y-TSCT-1B2609.3,1B2609.3,Y-TSCT-Q10,1BA26,R314,T-TJC19282-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7760,V-ZHAOR_000-300508,1B,26,9,3,V-ZHAOR_000,30,5,8,2
6,25-04-10 0317,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6465436,Y-TSCT-1B2611.3,1B2611.3,Y-TSCT-Q10,1BA26,R314,T-TJC36298-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,6868,V-ZHAOR_000-300308,1B,26,11,3,V-ZHAOR_000,30,3,8,2
7,25-04-10 0322,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6395215,Y-TSCT-1B2610.3,1B2610.3,Y-TSCT-Q10,1BA26,R314,T-TJCG7661-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,13248,V-ZHAOR_000-300108,1B,26,10,3,V-ZHAOR_000,30,1,8,2
8,25-04-10 0325,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6203375,Y-TSCT-1B2610.2,1B2610.2,Y-TSCT-Q10,1BA26,R314,T-TJC91867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,14143,V-ZHAOR_000-300008,1B,26,10,2,V-ZHAOR_000,30,0,8,2
9,25-04-10 0331,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5406150,Y-TSCT-1B2609.2,1B2609.2,Y-TSCT-Q10,1BA26,R314,T-TJC58975-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7047,V-ZHAOR_000-300408,1B,26,9,2,V-ZHAOR_000,30,4,8,2
10,25-04-10 0335,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9513707,Y-TSCT-1B2611.2,1B2611.2,Y-TSCT-Q10,1BA26,R314,T-TJC91867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7037,V-ZHAOR_000-300608,1B,26,11,2,V-ZHAOR_000,30,6,8,2
11,25-04-10 0341,UNIT_YARD_MOVE,LOAD,EXPRT,TRHU5286827,Y-TSCT-1B2609.1,1B2609.1,Y-TSCT-Q10,1BA26,R314,T-TJC91867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,6897,V-ZHAOR_000-300710,1B,26,9,1,V-ZHAOR_000,30,7,10,2
12,25-04-10 0346,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9414772,Y-TSCT-1B2610.1,1B2610.1,Y-TSCT-Q10,1BA26,R314,T-TJC91867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,6978,V-ZHAOR_000-300510,1B,26,10,1,V-ZHAOR_000,30,5,10,2
13,25-04-10 0353,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4213505,Y-TSCT-1B2611.1,1B2611.1,Y-TSCT-Q10,1BA26,R314,T-TJC91867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7047,V-ZHAOR_000-300310,1B,26,11,1,V-ZHAOR_000,30,3,10,2
14,25-04-10 0514,UNIT_YARD_MOVE,LOAD,EXPRT,GAOU6012294,Y-TSCT-1B2607.5,1B2607.5,Y-TSCT-Q11,1BA26,R314,T-TJCH0099-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,11984,V-ZHAOR_000-180708,1B,26,7,5,V-ZHAOR_000,18,7,8,2
15,25-04-10 0516,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9321710,Y-TSCT-1B2606.5,1B2606.5,Y-TSCT-Q11,1BA26,R314,T-TJC97920-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,11756,V-ZHAOR_000-180508,1B,26,6,5,V-ZHAOR_000,18,5,8,2
16,25-04-10 0518,UNIT_YARD_MOVE,LOAD,EXPRT,HLHU6403606,Y-TSCT-1B2607.4,1B2607.4,Y-TSCT-Q11,1BA26,R314,T-TJCG8298-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,14202,V-ZHAOR_000-180308,1B,26,7,4,V-ZHAOR_000,18,3,8,2
17,25-04-10 0520,UNIT_YARD_MOVE,LOAD,EXPRT,BEAU4214414,Y-TSCT-1B2608.5,1B2608.5,Y-TSCT-Q11,1BA26,R314,T-TJCC6982-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,19463,V-ZHAOR_000-180008,1B,26,8,5,V-ZHAOR_000,18,0,8,2
18,25-04-10 0528,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9945655,Y-TSCT-1B2606.4,1B2606.4,Y-TSCT-Q11,1BA26,R314,T-TJCM5800-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,13002,V-ZHAOR_000-180408,1B,26,6,4,V-ZHAOR_000,18,4,8,2
19,25-04-10 0534,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9305982,Y-TSCT-1B2606.3,1B2606.3,Y-TSCT-Q11,1BA26,R314,T-TJCM5679-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,13128,V-ZHAOR_000-180608,1B,26,6,3,V-ZHAOR_000,18,6,8,2
20,25-04-10 0536,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5679472,Y-TSCT-1B2606.2,1B2606.2,Y-TSCT-Q11,1BA26,R314,T-TJCM5328-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,12312,V-ZHAOR_000-180808,1B,26,6,2,V-ZHAOR_000,18,8,8,2
21,25-04-10 0551,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5692047,Y-TSCT-1B2606.1,1B2606.1,Y-TSCT-Q11,1BA26,R314,T-TJCK2087-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,9640,V-ZHAOR_000-180210,1B,26,6,1,V-ZHAOR_000,18,2,10,2
22,25-04-10 0553,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5674779,Y-TSCT-1B2607.3,1B2607.3,Y-TSCT-Q11,1BA26,R314,T-TJCB6005-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7500,V-ZHAOR_000-180410,1B,26,7,3,V-ZHAOR_000,18,4,10,2
23,25-04-10 0559,UNIT_YARD_MOVE,LOAD,EXPRT,TCNU4325648,Y-TSCT-1B2607.2,1B2607.2,Y-TSCT-Q11,1BA26,R314,T-TJC13767-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7080,V-ZHAOR_000-180610,1B,26,7,2,V-ZHAOR_000,18,6,10,2
24,25-04-10 0600,UNIT_YARD_MOVE,LOAD,EXPRT,HALU5701067,Y-TSCT-1B2607.1,1B2607.1,Y-TSCT-Q11,1BA26,R314,T-TJC97097-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,7310,V-ZHAOR_000-180810,1B,26,7,1,V-ZHAOR_000,18,8,10,2
25,25-04-10 0606,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9602872,Y-TSCT-1B2604.1,1B2604.1,Y-TSCT-Q10,1BA26,R314,T-SXA07695D-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,5501,V-ZHAOR_000-300588,1B,26,4,1,V-ZHAOR_000,30,5,88,2
26,25-04-10 0613,UNIT_YARD_MOVE,LOAD,EXPRT,CKSU4017370,Y-TSCT-1B2601.1,1B2601.1,Y-TSCT-Q12,1BA26,R314,T-TJCD0867-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,31700,V-ZHAOR_000-020082,1B,26,1,1,V-ZHAOR_000,2,0,82,2
27,25-04-10 0619,UNIT_YARD_MOVE,LOAD,EXPRT,TRZU1018412,Y-TSCT-1B2605.2,1B2605.2,Y-TSCT-Q12,1BA26,R314,T-TJCD3156-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,12456,V-ZHAOR_000-020282,1B,26,5,2,V-ZHAOR_000,2,2,82,2
28,25-04-10 0621,UNIT_YARD_MOVE,LOAD,EXPRT,BMOU5196161,Y-TSCT-1B2605.1,1B2605.1,Y-TSCT-Q12,1BA26,R314,T-TJCC1800-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,10923,V-ZHAOR_000-020382,1B,26,5,1,V-ZHAOR_000,2,3,82,2
29,25-04-10 0623,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU9940951,Y-TSCT-1B2610.1,1B2610.1,Y-TSCT-Q12,1BA26,R314,T-TJC68932-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,8433,V-ZHAOR_000-020184,1B,26,10,1,V-ZHAOR_000,2,1,84,2
30,25-04-10 0845,UNIT_YARD_MOVE,LOAD,EXPRT,SKHU6435581,Y-TSCT-1B2602.4,1B2602.4,Y-TSCT-Q11,1BA26,R314,T-TJCM5537-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,13276,V-ZHAOR_000-180982,1B,26,2,4,V-ZHAOR_000,18,9,82,2
31,25-04-10 0849,UNIT_YARD_MOVE,LOAD,EXPRT,TYLU9242012,Y-TSCT-1B2608.4,1B2608.4,Y-TSCT-Q11,1BA26,R314,T-TJCH8863-2 (TQ),ZHAOR_000,KRPUS,CNTSN,NOM96,NOM40,45G1,17409,V-ZHAOR_000-180582,1B,26,8,4,V-ZHAOR_000,18,5,82,2
