order,Time Completed,Event ID,Move Kind,Unit Category,Unit Nbr,From Position,From Slot,To Position,To Slot,Che-Put,Unit Arrival Postion,Unit O/B Actual Visit,Unit POD,Unit POL,Unit Type Height,Unit Type Length,Unit Type ISO,Unit Weight (kg),Unit Position,from_yard,from_bay,from_col,from_layer,Ship_id,to_bay,to_col,to_layer,cluster
0,25-04-05 2036,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0182901,Y-TSCT-1B1909.4,1B1909.4,Y-TSCT-Q05,1BA19,R314,T-TJCA6309-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21255,V-ZILL_015-150402,1B,19,9,4,V-ZILL_015,15,4,2,0
1,25-04-05 2038,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0172631,Y-TSCT-1B1909.3,1B1909.3,Y-TSCT-Q05,1BA19,R314,T-TJCG8186-3 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21952,V-ZILL_015-170402,1B,19,9,3,V-ZILL_015,17,4,2,0
2,25-04-05 2044,UNIT_YARD_MOVE,LOAD,EXPRT,TCLU6925285,Y-TSCT-1B1909.2,1B1909.2,Y-TSCT-Q05,1BA19,R314,T-TJAW1811-3 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,22002,V-ZILL_015-150204,1B,19,9,2,V-ZILL_015,15,2,4,0
3,25-04-05 2046,UNIT_YARD_MOVE,LOAD,EXPRT,DYLU2115427,Y-TSCT-1B1909.1,1B1909.1,Y-TSCT-Q05,1BA19,R314,T-TJCK2506-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,22645,V-ZILL_015-170204,1B,19,9,1,V-ZILL_015,17,2,4,0
4,25-04-05 2053,UNIT_YARD_MOVE,LOAD,EXPRT,SEGU3244798,Y-TSCT-1B1907.4,1B1907.4,Y-TSCT-Q05,1BA19,R314,T-TJC08909-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21592,V-ZILL_015-150804,1B,19,7,4,V-ZILL_015,15,8,4,0
5,25-04-05 2055,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0150817,Y-TSCT-1B1907.3,1B1907.3,Y-TSCT-Q05,1BA19,R314,T-TJAW1766-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21952,V-ZILL_015-170804,1B,19,7,3,V-ZILL_015,17,8,4,0
6,25-04-05 2058,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0175570,Y-TSCT-1B1907.2,1B1907.2,Y-TSCT-Q05,1BA19,R314,T-TJCG8061-3 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21952,V-ZILL_015-150406,1B,19,7,2,V-ZILL_015,15,4,6,0
7,25-04-05 2100,UNIT_YARD_MOVE,LOAD,EXPRT,NSSU0189871,Y-TSCT-1B1907.1,1B1907.1,Y-TSCT-Q05,1BA19,R314,T-TJCG7688-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,21872,V-ZILL_015-170406,1B,19,7,1,V-ZILL_015,17,4,6,0
8,25-04-05 2103,UNIT_YARD_MOVE,LOAD,EXPRT,TLLU3205818,Y-TSCT-1B1905.2,1B1905.2,Y-TSCT-Q05,1BA19,R314,T-TJCK6862-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,23100,V-ZILL_015-150806,1B,19,5,2,V-ZILL_015,15,8,6,0
9,25-04-05 2106,UNIT_YARD_MOVE,LOAD,EXPRT,LYGU3124902,Y-TSCT-1B1905.1,1B1905.1,Y-TSCT-Q05,1BA19,R314,T-TJCK6313-2 (TQ),ZILL_015,KRPUS,CNTSN,NOM86,NOM20,22G1,23100,V-ZILL_015-170806,1B,19,5,1,V-ZILL_015,17,8,6,0
