order,Unit POD,cluster
0,IQUQ2,7
1,IQUQ2,7
2,IQUQ2,7
3,IQUQ2,7
4,IQUQ2,7
5,IQUQ2,7
6,IQUQ2,7
7,IQUQ2,7
8,IQUQ2,7
9,IQUQ2,7
10,IQUQ2,7
11,IQUQ2,7
12,IQUQ2,7
13,IQUQ2,7
14,IQUQ2,7
15,IQUQ2,7
16,IQUQ2,7
17,IQUQ2,7
18,IQUQ2,7
19,IQUQ2,7
20,IQUQ2,7
21,IQUQ2,7
22,IQUQ2,7
23,IQUQ2,7
24,IQUQ2,7
25,IQUQ2,7
26,IQUQ2,7
27,IQUQ2,7
28,IQUQ2,7
29,IQUQ2,7
30,IQUQ2,7
31,IQUQ2,7
32,IQUQ2,7
33,IQUQ2,7
34,AEJEA,13
35,AEJEA,13
36,AEJEA,13
37,AEJEA,0
38,AEJEA,0
39,AEJEA,19
40,IQUQ2,7
41,IQUQ2,7
42,IQUQ2,7
43,IQUQ2,7
44,IQUQ2,7
45,IQUQ2,7
46,IQUQ2,7
47,IQUQ2,7
48,IQUQ2,7
49,EGSUZ,15
50,EGSUZ,15
51,EGSUZ,15
52,EGSUZ,15
53,EGSUZ,15
54,EGSUZ,15
55,EGSUZ,15
56,EGSUZ,15
57,EGSUZ,15
58,EGSUZ,15
59,EGSUZ,15
60,EGSUZ,15
61,EGSUZ,15
62,EGSUZ,15
63,EGSUZ,15
64,EGSUZ,15
65,EGSUZ,15
66,EGSUZ,15
67,EGSUZ,15
68,EGSUZ,15
69,EGSUZ,15
70,EGSUZ,15
71,EGSUZ,15
72,EGSUZ,15
73,EGSUZ,15
74,EGSUZ,15
75,EGSUZ,15
76,EGSUZ,15
77,EGSUZ,15
78,EGSUZ,15
79,EGSUZ,15
80,EGSUZ,15
81,EGSUZ,15
82,EGSUZ,15
83,EGSUZ,15
84,EGSUZ,15
85,EGSUZ,15
86,EGSUZ,15
87,EGSUZ,15
88,EGSUZ,15
89,AEAUH,10
90,AEAUH,10
91,AEAUH,10
92,AEAUH,10
93,AEAUH,10
94,AEAUH,10
95,AEAUH,10
96,AEAUH,10
97,AEAUH,10
98,AEAUH,10
99,AEAUH,10
100,AEAUH,10
101,AEAUH,10
102,AEAUH,10
103,AEAUH,10
104,AEAUH,10
105,AEAUH,10
106,AEAUH,10
107,AEAUH,10
108,AEAUH,10
109,AEAUH,10
110,AEAUH,10
111,AEAUH,10
112,AEAUH,10
113,AEAUH,10
114,AEAUH,10
115,AEAUH,10
116,AEAUH,10
117,AEAUH,10
118,AEAUH,10
119,AEAUH,10
120,AEAUH,10
121,AEAUH,10
122,AEAUH,10
123,AEAUH,10
124,AEAUH,10
125,AEAUH,10
126,AEAUH,10
127,AEAUH,10
128,AEAUH,10
129,AEAUH,10
130,AEAUH,10
131,AEAUH,10
132,AEAUH,10
133,AEAUH,10
134,AEAUH,10
135,AEAUH,10
136,AEAUH,10
137,AEAUH,10
138,AEAUH,10
139,AEAUH,10
140,AEAUH,0
141,AEAUH,19
142,AEAUH,19
143,AEAUH,19
144,AEAUH,10
145,AEAUH,10
146,AEAUH,10
147,AEAUH,19
148,AEAUH,10
149,AEAUH,10
150,AEAUH,19
151,AEAUH,19
152,AEAUH,19
153,IQUQ2,16
154,IQUQ2,16
155,IQUQ2,16
156,IQUQ2,16
157,IQUQ2,16
158,IQUQ2,16
159,IQUQ2,16
160,IQUQ2,16
161,IQUQ2,16
162,IQUQ2,16
163,IQUQ2,16
164,IQUQ2,16
165,IQUQ2,16
166,IQUQ2,16
167,IQUQ2,16
168,EGSUZ,9
169,EGSUZ,9
170,EGSUZ,9
171,EGSUZ,9
172,EGSUZ,9
173,EGSUZ,9
174,EGSUZ,9
175,EGSUZ,9
176,EGSUZ,9
177,EGSUZ,9
178,EGSUZ,9
179,EGSUZ,9
180,EGSUZ,9
181,EGSUZ,9
182,EGSUZ,9
183,EGSUZ,9
184,EGSUZ,9
185,EGSUZ,9
186,EGSUZ,9
187,EGSUZ,9
188,EGSUZ,9
189,EGSUZ,9
190,EGSUZ,9
191,EGSUZ,9
192,INMUN,5
193,INMUN,5
194,INMUN,5
195,INMUN,5
196,INMUN,5
197,INMUN,5
198,INMUN,5
199,INMUN,5
200,INMUN,5
201,INMUN,5
202,INMUN,5
203,INMUN,5
204,EGSUZ,9
205,EGSUZ,9
206,EGSUZ,9
207,EGSUZ,9
208,EGSUZ,9
209,EGSUZ,9
210,EGSUZ,9
211,EGSUZ,9
212,AEJEA,21
213,AEJEA,21
214,AEJEA,21
215,AEJEA,21
216,AEJEA,21
217,AEJEA,21
218,AEJEA,21
219,AEJEA,21
220,AEJEA,21
221,AEJEA,21
222,AEJEA,21
223,AEJEA,21
224,AEJEA,21
225,AEJEA,21
226,AEJEA,21
227,AEJEA,21
228,AEJEA,21
229,AEJEA,21
230,AEJEA,21
231,AEJEA,21
232,AEJEA,21
233,IQUQ2,16
234,IQUQ2,16
235,IQUQ2,16
236,IQUQ2,19
237,IQUQ2,19
238,IQUQ2,16
239,IQUQ2,16
240,IQUQ2,0
241,IQUQ2,0
242,IQUQ2,19
243,IQUQ2,0
244,IQUQ2,0
245,IQUQ2,0
246,IQUQ2,0
247,IQUQ2,0
248,IQUQ2,0
249,IQUQ2,0
250,IQUQ2,0
251,IQUQ2,16
252,IQUQ2,16
253,IQUQ2,16
254,AEAUH,19
255,IQUQ2,16
256,IQUQ2,16
257,INMUN,5
258,IQUQ2,0
259,KRUSN,9
260,KRUSN,9
261,KRUSN,0
262,KRUSN,9
263,KRUSN,0
264,ESBCN,0
265,ESBCN,9
266,ESBCN,9
267,ESBCN,0
268,ESBCN,19
269,ESBCN,0
270,ESBCN,19
271,ESBCN,19
272,ESBCN,19
273,ESBCN,19
274,ESBCN,19
275,ESBCN,19
276,ESBCN,19
277,ESBCN,9
278,ESBCN,9
279,ESBCN,9
280,ESBCN,9
281,ESBCN,9
282,ESBCN,9
283,ESBCN,9
284,AEJEA,21
285,AEJEA,2
286,AEJEA,2
287,AEJEA,2
288,AEJEA,2
289,AEJEA,2
290,AEJEA,21
291,AEJEA,2
292,AEJEA,2
293,AEJEA,2
294,AEJEA,2
295,AEJEA,2
296,AEJEA,21
297,AEJEA,21
298,AEJEA,2
299,AEJEA,2
