order,Unit POD,cluster
0,IQUQ2,2
1,IQUQ2,13
2,IQUQ2,13
3,IQUQ2,2
4,IQUQ2,2
5,IQUQ2,2
6,IQUQ2,2
7,IQUQ2,13
8,IQUQ2,13
9,IQUQ2,2
10,IQUQ2,2
11,IQUQ2,2
12,IQUQ2,2
13,IQUQ2,2
14,IQUQ2,2
15,IQUQ2,0
16,IQUQ2,0
17,IQUQ2,11
18,IQUQ2,11
19,IQUQ2,11
20,IQUQ2,11
21,IQUQ2,1
22,IQUQ2,11
23,IQUQ2,0
24,IQUQ2,0
25,IQUQ2,11
26,IQUQ2,11
27,IQUQ2,11
28,IQUQ2,11
29,IQUQ2,0
30,IQUQ2,13
31,IQUQ2,0
32,IQUQ2,0
33,IQUQ2,0
34,AEJEA,9
35,AEJEA,9
36,AEJEA,4
37,AEJEA,9
38,AEJEA,5
39,AEJEA,0
40,IQUQ2,2
41,IQUQ2,2
42,IQUQ2,2
43,IQUQ2,2
44,IQUQ2,2
45,IQUQ2,11
46,IQUQ2,11
47,IQUQ2,11
48,IQUQ2,11
49,EGSUZ,9
50,EGSUZ,9
51,EGSUZ,9
52,EGSUZ,9
53,EGSUZ,9
54,EGSUZ,9
55,EGSUZ,13
56,EGSUZ,0
57,EGSUZ,0
58,EGSUZ,0
59,EGSUZ,0
60,EGSUZ,9
61,EGSUZ,9
62,EGSUZ,9
63,EGSUZ,9
64,EGSUZ,1
65,EGSUZ,9
66,EGSUZ,1
67,EGSUZ,9
68,EGSUZ,9
69,EGSUZ,0
70,EGSUZ,0
71,EGSUZ,9
72,EGSUZ,13
73,EGSUZ,9
74,EGSUZ,9
75,EGSUZ,9
76,EGSUZ,9
77,EGSUZ,9
78,EGSUZ,9
79,EGSUZ,9
80,EGSUZ,9
81,EGSUZ,9
82,EGSUZ,9
83,EGSUZ,9
84,EGSUZ,9
85,EGSUZ,9
86,EGSUZ,9
87,EGSUZ,0
88,EGSUZ,0
89,AEAUH,10
90,AEAUH,10
91,AEAUH,10
92,AEAUH,4
93,AEAUH,10
94,AEAUH,10
95,AEAUH,10
96,AEAUH,10
97,AEAUH,7
98,AEAUH,4
99,AEAUH,17
100,AEAUH,17
101,AEAUH,0
102,AEAUH,0
103,AEAUH,7
104,AEAUH,7
105,AEAUH,0
106,AEAUH,0
107,AEAUH,0
108,AEAUH,4
109,AEAUH,7
110,AEAUH,7
111,AEAUH,7
112,AEAUH,7
113,AEAUH,0
114,AEAUH,20
115,AEAUH,0
116,AEAUH,0
117,AEAUH,0
118,AEAUH,7
119,AEAUH,7
120,AEAUH,4
121,AEAUH,7
122,AEAUH,20
123,AEAUH,4
124,AEAUH,4
125,AEAUH,17
126,AEAUH,17
127,AEAUH,17
128,AEAUH,4
129,AEAUH,20
130,AEAUH,20
131,AEAUH,20
132,AEAUH,4
133,AEAUH,7
134,AEAUH,7
135,AEAUH,7
136,AEAUH,20
137,AEAUH,4
138,AEAUH,4
139,AEAUH,4
140,AEAUH,5
141,AEAUH,16
142,AEAUH,16
143,AEAUH,16
144,AEAUH,7
145,AEAUH,7
146,AEAUH,20
147,AEAUH,16
148,AEAUH,4
149,AEAUH,4
150,AEAUH,16
151,AEAUH,16
152,AEAUH,16
153,IQUQ2,11
154,IQUQ2,11
155,IQUQ2,2
156,IQUQ2,19
157,IQUQ2,13
158,IQUQ2,13
159,IQUQ2,13
160,IQUQ2,1
161,IQUQ2,1
162,IQUQ2,13
163,IQUQ2,13
164,IQUQ2,13
165,IQUQ2,1
166,IQUQ2,1
167,IQUQ2,13
168,EGSUZ,9
169,EGSUZ,0
170,EGSUZ,0
171,EGSUZ,1
172,EGSUZ,9
173,EGSUZ,9
174,EGSUZ,9
175,EGSUZ,9
176,EGSUZ,9
177,EGSUZ,21
178,EGSUZ,1
179,EGSUZ,9
180,EGSUZ,9
181,EGSUZ,1
182,EGSUZ,12
183,EGSUZ,13
184,EGSUZ,9
185,EGSUZ,0
186,EGSUZ,9
187,EGSUZ,0
188,EGSUZ,9
189,EGSUZ,0
190,EGSUZ,21
191,EGSUZ,0
192,INMUN,9
193,INMUN,9
194,INMUN,9
195,INMUN,9
196,INMUN,1
197,INMUN,9
198,INMUN,9
199,INMUN,9
200,INMUN,9
201,INMUN,1
202,INMUN,9
203,INMUN,1
204,EGSUZ,0
205,EGSUZ,0
206,EGSUZ,0
207,EGSUZ,0
208,EGSUZ,0
209,EGSUZ,0
210,EGSUZ,0
211,EGSUZ,0
212,AEJEA,9
213,AEJEA,9
214,AEJEA,7
215,AEJEA,9
216,AEJEA,4
217,AEJEA,7
218,AEJEA,9
219,AEJEA,9
220,AEJEA,9
221,AEJEA,9
222,AEJEA,9
223,AEJEA,9
224,AEJEA,9
225,AEJEA,9
226,AEJEA,4
227,AEJEA,0
228,AEJEA,9
229,AEJEA,9
230,AEJEA,0
231,AEJEA,4
232,AEJEA,4
233,IQUQ2,19
234,IQUQ2,11
235,IQUQ2,11
236,IQUQ2,16
237,IQUQ2,16
238,IQUQ2,11
239,IQUQ2,6
240,IQUQ2,5
241,IQUQ2,5
242,IQUQ2,16
243,IQUQ2,5
244,IQUQ2,5
245,IQUQ2,5
246,IQUQ2,5
247,IQUQ2,5
248,IQUQ2,5
249,IQUQ2,5
250,IQUQ2,5
251,IQUQ2,6
252,IQUQ2,11
253,IQUQ2,11
254,AEAUH,16
255,IQUQ2,11
256,IQUQ2,11
257,INMUN,0
258,IQUQ2,5
259,KRUSN,11
260,KRUSN,6
261,KRUSN,5
262,KRUSN,2
263,KRUSN,5
264,ESBCN,5
265,ESBCN,17
266,ESBCN,17
267,ESBCN,5
268,ESBCN,16
269,ESBCN,5
270,ESBCN,16
271,ESBCN,16
272,ESBCN,16
273,ESBCN,16
274,ESBCN,16
275,ESBCN,16
276,ESBCN,16
277,ESBCN,6
278,ESBCN,6
279,ESBCN,6
280,ESBCN,0
281,ESBCN,6
282,ESBCN,0
283,ESBCN,4
284,AEJEA,10
285,AEJEA,7
286,AEJEA,4
287,AEJEA,7
288,AEJEA,7
289,AEJEA,7
290,AEJEA,10
291,AEJEA,0
292,AEJEA,0
293,AEJEA,10
294,AEJEA,0
295,AEJEA,0
296,AEJEA,4
297,AEJEA,0
298,AEJEA,0
299,AEJEA,7
300,AEJEA,17
301,AEJEA,17
302,AEJEA,7
303,AEJEA,7
304,AEJEA,17
305,AEJEA,17
306,AEJEA,6
307,AEJEA,4
308,AEJEA,7
309,AEJEA,7
310,AEJEA,18
311,AEJEA,4
312,AEJEA,18
313,AEJEA,17
314,AEJEA,4
315,AEJEA,17
316,AEJEA,5
317,IQUQ2,2
318,IQUQ2,21
319,IQUQ2,21
320,IQUQ2,21
321,IQUQ2,2
322,IQUQ2,2
323,IQUQ2,2
324,IQUQ2,2
325,IQUQ2,21
326,IQUQ2,6
327,IQUQ2,6
328,IQUQ2,6
329,IQUQ2,6
330,IQUQ2,2
331,IQUQ2,2
332,IQUQ2,6
333,IQUQ2,6
334,IQUQ2,6
335,IQUQ2,6
336,IQUQ2,6
337,IQUQ2,11
338,IQUQ2,11
339,IQUQ2,12
340,IQUQ2,6
341,IQUQ2,6
342,IQUQ2,6
343,IQUQ2,6
344,IQUQ2,11
345,IQUQ2,11
346,IQUQ2,12
347,IQUQ2,12
348,IQUQ2,12
349,IQUQ2,12
350,IQUQ2,12
351,IQUQ2,2
352,IQUQ2,6
353,IQUQ2,6
354,IQUQ2,6
