order,Unit POD,cluster
0,KRPUS,2
1,KRPUS,2
2,KRPUS,2
3,KRPUS,2
4,KRPUS,2
5,KRPUS,2
6,KRPUS,2
7,KRPUS,2
8,KRPUS,2
9,KRPUS,2
10,KRPUS,2
11,KRPUS,2
12,KRPUS,0
13,KRPUS,0
14,KRPUS,0
15,KRPUS,0
16,KRPUS,0
17,KRPUS,0
18,KRPUS,0
19,KRPUS,2
20,KRPUS,2
21,KRPUS,2
22,KRPUS,2
23,KRPUS,2
24,KRPUS,2
25,KRPUS,2
26,KRPUS,2
27,KRPUS,2
28,KRPUS,2
29,KRPUS,0
30,KRPUS,0
31,KRPUS,2
32,KRPUS,2
33,KRPUS,2
34,KRPUS,2
35,KRPUS,2
36,KRPUS,2
37,KRPUS,2
38,KRPUS,2
39,KRPUS,2
40,KRPUS,2
41,KRPUS,2
42,KRPUS,2
43,KRPUS,2
44,KRPUS,2
45,KRPUS,2
46,KRPUS,2
47,KRPUS,2
48,KRPUS,2
49,KRPUS,2
50,KRPUS,2
51,KRPUS,2
52,KRPUS,2
53,KRPUS,2
54,KRPUS,2
55,KRPUS,2
56,KRPUS,2
57,KRPUS,2
58,KRPUS,2
59,KRPUS,2
60,KRPUS,2
61,KRPUS,2
62,KRPUS,2
63,KRPUS,2
64,KRPUS,2
65,KRPUS,2
66,KRPUS,2
67,KRPUS,2
68,KRPUS,2
69,KRPUS,2
70,KRKAN,5
71,KRKAN,5
72,KRKAN,5
73,KRPUS,1
74,KRPUS,1
75,KRPUS,1
76,KRPUS,1
77,KRPUS,1
78,KRPUS,1
79,KRPUS,1
80,KRPUS,1
81,KRPUS,1
82,KRPUS,1
83,KRPUS,1
84,KRPUS,1
85,KRPUS,1
86,KRPUS,0
87,KRPUS,0
88,KRPUS,0
89,KRPUS,0
90,KRPUS,0
91,KRPUS,0
92,KRPUS,0
93,KRPUS,0
94,KRPUS,0
95,KRPUS,0
96,KRPUS,0
97,KRPUS,0
98,KRPUS,0
99,KRKAN,5
100,KRPUS,1
101,KRPUS,1
102,KRPUS,1
103,KRPUS,0
104,KRPUS,0
105,KRPUS,0
106,KRPUS,0
107,KRPUS,1
108,KRPUS,1
109,KRPUS,1
110,KRPUS,1
111,KRPUS,1
112,KRPUS,1
113,KRPUS,1
114,KRPUS,1
115,KRPUS,1
116,KRPUS,1
117,KRPUS,1
118,KRPUS,1
119,KRPUS,1
120,KRPUS,1
121,KRPUS,1
122,KRPUS,1
123,KRPUS,1
124,KRPUS,0
125,KRPUS,1
126,KRPUS,1
127,KRPUS,1
128,KRPUS,1
129,KRPUS,1
130,KRPUS,1
131,KRPUS,1
132,KRPUS,1
133,KRPUS,0
134,KRPUS,1
135,KRPUS,1
136,KRPUS,1
137,KRPUS,1
138,KRPUS,1
139,KRKAN,5
140,KRKAN,5
141,KRKAN,5
142,KRKAN,5
143,KRKAN,5
144,KRKAN,5
145,KRKAN,5
146,KRKAN,5
147,KRKAN,5
148,KRKAN,5
149,KRKAN,5
150,KRKAN,0
151,KRKAN,5
152,KRKAN,5
153,KRKAN,5
154,KRKAN,5
155,KRKAN,5
156,KRKAN,5
157,KRKAN,5
158,KRKAN,5
159,KRKAN,5
160,KRKAN,5
161,KRKAN,5
162,KRKAN,5
163,KRKAN,5
164,KRKAN,5
165,KRKAN,5
166,KRKAN,5
167,KRKAN,5
168,KRKAN,5
169,KRKAN,5
170,KRPUS,7
171,KRKAN,5
172,KRKAN,5
173,KRKAN,5
174,KRKAN,5
175,KRKAN,5
176,KRKAN,5
177,KRKAN,5
178,KRKAN,5
179,KRKAN,5
180,KRKAN,5
181,KRKAN,5
182,KRKAN,5
183,KRKAN,5
184,KRKAN,5
185,KRKAN,5
186,KRKAN,5
187,KRKAN,5
188,KRPUS,7
189,KRPUS,7
190,KRPUS,7
191,KRPUS,7
192,KRPUS,7
193,KRPUS,7
194,KRPUS,7
195,KRPUS,7
196,KRPUS,7
197,KRPUS,7
198,KRPUS,0
199,KRPUS,7
200,KRPUS,7
201,KRPUS,7
202,KRPUS,7
203,KRPUS,7
204,KRPUS,7
205,KRPUS,7
206,KRPUS,7
207,KRPUS,7
208,KRPUS,7
209,KRPUS,0
