order,Unit POD,cluster
0,KRPUS,7
1,KRPUS,7
2,KRPUS,7
3,KRPUS,7
4,KRPUS,7
5,KRPUS,7
6,KRPUS,7
7,KRPUS,7
8,KRPUS,7
9,KRPUS,7
10,KRPUS,7
11,KRPUS,7
12,KRPUS,7
13,KRPUS,7
14,KRPUS,7
15,KRPUS,7
16,KRPUS,7
17,KRPUS,7
18,KRPUS,7
19,KRPUS,7
20,KRPUS,7
21,KRPUS,7
22,KRPUS,7
23,KRPUS,7
24,KRPUS,7
25,KRPUS,7
26,KRPUS,7
27,KRPUS,7
28,KRPUS,7
29,KRPUS,7
30,KRPUS,7
31,KRPUS,7
32,KRPUS,7
33,KRPUS,7
34,KRPUS,7
35,KRPUS,7
36,KRPUS,7
37,KRPUS,7
38,KRPUS,7
39,KRPUS,7
40,KRPUS,7
41,KRPUS,7
42,KRPUS,7
43,KRPUS,7
44,KRPUS,7
45,KRPUS,7
46,KRPUS,7
47,KRPUS,7
48,KRPUS,7
49,KRPUS,7
50,KRPUS,7
51,KRPUS,7
52,KRPUS,7
53,KRPUS,7
54,KRPUS,7
55,KRPUS,7
56,KRPUS,7
57,KRPUS,7
58,KRPUS,7
59,KRPUS,7
60,KRPUS,7
61,KRPUS,7
62,KRPUS,7
63,KRPUS,7
64,KRPUS,7
65,KRPUS,7
66,KRPUS,7
67,KRPUS,7
68,KRPUS,7
69,KRPUS,7
70,KRKAN,2
71,KRKAN,2
72,KRKAN,2
73,KRPUS,1
74,KRPUS,1
75,KRPUS,1
76,KRPUS,1
77,KRPUS,1
78,KRPUS,1
79,KRPUS,1
80,KRPUS,1
81,KRPUS,1
82,KRPUS,1
83,KRPUS,1
84,KRPUS,1
85,KRPUS,1
86,KRPUS,1
87,KRPUS,1
88,KRPUS,1
89,KRPUS,1
90,KRPUS,1
91,KRPUS,1
92,KRPUS,1
93,KRPUS,1
94,KRPUS,1
95,KRPUS,1
96,KRPUS,1
97,KRPUS,1
98,KRPUS,1
99,KRKAN,3
100,KRPUS,1
101,KRPUS,1
102,KRPUS,1
103,KRPUS,1
104,KRPUS,1
105,KRPUS,1
106,KRPUS,1
107,KRPUS,1
108,KRPUS,1
109,KRPUS,5
110,KRPUS,1
111,KRPUS,1
112,KRPUS,1
