target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,754.0,0.1730092167854309,1.0,1.0,1.0,1.0,1.0,3.0
1.0,755.0,2.039490222930908,1.0,1.0,1.0,1.0,2.0,5.0
2.0,756.0,2.256410598754883,1.0,1.0,1.0,2.0,2.0,9.0
3.0,757.0,2.0105674266815186,1.0,1.0,1.0,1.0,3.0,10.0
4.0,758.0,2.203385591506958,1.0,1.0,1.0,2.0,3.0,11.0
5.0,759.0,0.0862409844994545,1.0,1.0,1.0,3.0,4.0,43.0
6.0,760.0,2.025028705596924,1.0,1.0,1.0,4.0,4.0,6.0
7.0,761.0,0.14408646523952484,1.0,1.0,1.0,5.0,4.0,38.0
8.0,762.0,0.08768712729215622,1.0,1.0,1.0,6.0,4.0,4.0
9.0,763.0,0.12480464577674866,1.0,1.0,1.0,3.0,5.0,1.0
10.0,764.0,0.12721487879753113,1.0,1.0,1.0,4.0,5.0,21.0
11.0,765.0,0.0862409844994545,1.0,1.0,1.0,5.0,5.0,29.0
12.0,766.0,0.17445534467697144,1.0,1.0,1.0,6.0,5.0,7.0
13.0,767.0,0.12625077366828918,1.0,1.0,1.0,7.0,5.0,40.0
14.0,768.0,-1.2176926136016846,1.0,1.0,1.0,8.0,4.0,45.0
15.0,769.0,-1.304460883140564,1.0,1.0,1.0,8.0,5.0,41.0
16.0,770.0,0.0862409844994545,1.0,1.0,1.0,3.0,1.0,12.0
17.0,771.0,0.1730092167854309,1.0,1.0,1.0,4.0,1.0,46.0
18.0,772.0,0.12480464577674866,1.0,1.0,1.0,5.0,1.0,22.0
19.0,773.0,0.08768712729215622,1.0,1.0,1.0,6.0,1.0,30.0
20.0,774.0,0.14553260803222656,1.0,1.0,1.0,7.0,1.0,23.0
21.0,775.0,0.14408646523952484,1.0,1.0,1.0,3.0,2.0,31.0
22.0,776.0,0.14408646523952484,1.0,1.0,1.0,4.0,2.0,8.0
23.0,777.0,0.0766000747680664,1.0,1.0,1.0,5.0,2.0,47.0
24.0,778.0,0.13589169085025787,1.0,1.0,1.0,6.0,2.0,13.0
25.0,779.0,0.14553260803222656,1.0,1.0,1.0,7.0,2.0,49.0
26.0,780.0,-1.2466154098510742,1.0,1.0,1.0,8.0,1.0,24.0
27.0,781.0,-1.247097373008728,1.0,1.0,1.0,8.0,2.0,32.0
28.0,782.0,-1.304460883140564,1.0,1.0,1.0,8.0,3.0,15.0
29.0,783.0,0.0862409844994545,1.0,1.0,1.0,3.0,3.0,25.0
30.0,784.0,0.1730092167854309,1.0,1.0,1.0,4.0,3.0,33.0
31.0,785.0,0.0862409844994545,1.0,1.0,1.0,5.0,3.0,14.0
32.0,786.0,0.0862409844994545,1.0,1.0,1.0,6.0,3.0,27.0
33.0,787.0,0.08768712729215622,1.0,1.0,1.0,7.0,3.0,28.0
34.0,788.0,-1.3049428462982178,1.0,1.0,1.0,9.0,1.0,36.0
35.0,789.0,2.1551811695098877,1.0,1.0,1.0,10.0,3.0,37.0
36.0,790.0,-1.2466154098510742,1.0,1.0,1.0,9.0,2.0,0.0
37.0,791.0,-1.2466154098510742,1.0,1.0,1.0,9.0,3.0,2.0
38.0,813.0,0.1826501339673996,1.0,1.0,2.0,9.0,5.0,39.0
39.0,814.0,0.11516372859477997,1.0,1.0,2.0,9.0,1.0,16.0
40.0,815.0,-3.3208580017089844,1.0,1.0,2.0,9.0,2.0,42.0
41.0,816.0,-3.272653341293335,1.0,1.0,2.0,9.0,3.0,17.0
42.0,817.0,-0.6638221144676208,1.0,1.0,2.0,8.0,1.0,18.0
43.0,818.0,-0.5249929428100586,1.0,1.0,2.0,8.0,2.0,48.0
44.0,819.0,0.1392660140991211,1.0,1.0,2.0,11.0,1.0,19.0
45.0,820.0,-0.4816088378429413,1.0,1.0,2.0,8.0,3.0,44.0
46.0,821.0,0.8874009251594543,1.0,1.0,2.0,11.0,2.0,20.0
47.0,822.0,-0.3996610641479492,1.0,1.0,2.0,11.0,3.0,26.0
48.0,1006.0,0.11516372859477997,1.0,2.0,3.0,8.0,4.0,34.0
49.0,1007.0,0.12335850298404694,1.0,2.0,3.0,3.0,4.0,35.0
