target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,357.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0
1.0,358.0,0.0,1.0,1.0,1.0,1.0,2.0,42.0
2.0,359.0,0.0,1.0,1.0,1.0,1.0,3.0,46.0
3.0,360.0,0.0,1.0,1.0,1.0,2.0,1.0,48.0
4.0,361.0,0.0,1.0,1.0,1.0,2.0,2.0,27.0
5.0,362.0,0.0,1.0,1.0,1.0,2.0,3.0,22.0
6.0,363.0,0.0,1.0,1.0,1.0,3.0,3.0,23.0
7.0,364.0,0.0,1.0,1.0,1.0,4.0,2.0,29.0
8.0,365.0,0.0,1.0,1.0,1.0,5.0,2.0,30.0
9.0,366.0,0.0,1.0,1.0,1.0,4.0,3.0,31.0
10.0,367.0,0.0,1.0,1.0,1.0,5.0,3.0,35.0
11.0,368.0,0.0,1.0,1.0,2.0,6.0,3.0,24.0
12.0,369.0,0.0,1.0,1.0,2.0,7.0,3.0,37.0
13.0,370.0,0.0,1.0,1.0,2.0,8.0,3.0,32.0
14.0,371.0,0.0,1.0,1.0,2.0,9.0,3.0,36.0
15.0,372.0,0.0,1.0,1.0,2.0,10.0,3.0,44.0
16.0,373.0,0.0,1.0,1.0,2.0,1.0,3.0,45.0
17.0,374.0,0.0,1.0,1.0,2.0,2.0,3.0,38.0
18.0,375.0,0.0,1.0,1.0,2.0,3.0,2.0,41.0
19.0,376.0,0.0,1.0,1.0,2.0,4.0,2.0,40.0
20.0,377.0,0.0,1.0,1.0,2.0,5.0,2.0,1.0
21.0,378.0,0.0,1.0,1.0,2.0,11.0,2.0,5.0
22.0,379.0,0.0,1.0,1.0,2.0,3.0,3.0,9.0
23.0,380.0,0.0,1.0,1.0,2.0,4.0,3.0,47.0
24.0,381.0,0.0,1.0,1.0,2.0,5.0,3.0,16.0
25.0,382.0,0.0,1.0,1.0,2.0,11.0,3.0,4.0
26.0,383.0,0.0,1.0,1.0,3.0,6.0,2.0,10.0
27.0,384.0,0.0,1.0,1.0,3.0,6.0,3.0,17.0
28.0,385.0,0.0,1.0,1.0,3.0,7.0,1.0,25.0
29.0,386.0,0.0,1.0,1.0,3.0,7.0,2.0,18.0
30.0,387.0,0.0,1.0,1.0,3.0,7.0,3.0,26.0
31.0,388.0,0.0,1.0,1.0,3.0,8.0,4.0,49.0
32.0,389.0,0.0,1.0,1.0,3.0,9.0,4.0,0.0
33.0,390.0,0.0,1.0,1.0,3.0,8.0,1.0,3.0
34.0,391.0,0.0,1.0,1.0,3.0,9.0,1.0,19.0
35.0,392.0,0.0,1.0,1.0,3.0,8.0,2.0,20.0
36.0,393.0,0.0,1.0,1.0,3.0,9.0,2.0,28.0
37.0,394.0,0.0,1.0,1.0,3.0,8.0,3.0,33.0
38.0,395.0,0.0,1.0,1.0,3.0,9.0,3.0,6.0
39.0,396.0,0.0,1.0,1.0,3.0,11.0,2.0,11.0
40.0,397.0,0.0,1.0,1.0,3.0,11.0,3.0,34.0
41.0,398.0,0.0,1.0,1.0,3.0,10.0,4.0,7.0
42.0,399.0,0.0,1.0,1.0,3.0,1.0,4.0,12.0
43.0,400.0,0.0,1.0,1.0,3.0,10.0,1.0,43.0
44.0,401.0,0.0,1.0,1.0,3.0,1.0,1.0,8.0
45.0,402.0,0.0,1.0,1.0,3.0,10.0,2.0,13.0
46.0,403.0,0.0,1.0,1.0,3.0,1.0,2.0,14.0
47.0,404.0,0.0,1.0,1.0,3.0,10.0,3.0,39.0
48.0,405.0,0.0,1.0,1.0,3.0,1.0,3.0,15.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0
