target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,87.0,-0.3028058707714081,1.0,1.0,1.0,1.0,1.0,1.0
1.0,88.0,-0.314060777425766,1.0,1.0,1.0,1.0,2.0,3.0
2.0,89.0,-0.31968823075294495,1.0,1.0,1.0,1.0,3.0,7.0
3.0,90.0,-0.30843332409858704,1.0,1.0,1.0,1.0,4.0,36.0
4.0,91.0,-2.370332956314087,1.0,1.0,1.0,2.0,3.0,9.0
5.0,92.0,-2.6293365955352783,1.0,1.0,1.0,2.0,4.0,41.0
6.0,93.0,0.633884072303772,1.0,1.0,1.0,3.0,1.0,5.0
7.0,94.0,0.7626121044158936,1.0,1.0,1.0,4.0,5.0,40.0
8.0,95.0,0.8048179745674133,1.0,1.0,1.0,4.0,1.0,12.0
9.0,96.0,0.7626121044158936,1.0,1.0,1.0,5.0,5.0,35.0
10.0,97.0,0.7745704054832458,1.0,1.0,1.0,5.0,1.0,47.0
11.0,98.0,0.7626121044158936,1.0,1.0,1.0,4.0,3.0,2.0
12.0,99.0,-0.314060777425766,1.0,1.0,1.0,6.0,5.0,13.0
13.0,100.0,0.6261463165283203,1.0,1.0,1.0,3.0,2.0,18.0
14.0,101.0,-0.31968823075294495,1.0,1.0,1.0,6.0,1.0,38.0
15.0,102.0,-0.3077298700809479,1.0,1.0,1.0,6.0,2.0,48.0
16.0,103.0,0.633884072303772,1.0,1.0,1.0,5.0,2.0,32.0
17.0,104.0,0.6219257116317749,1.0,1.0,1.0,5.0,3.0,11.0
18.0,105.0,0.633884072303772,1.0,1.0,1.0,3.0,4.0,39.0
19.0,106.0,0.6275531649589539,1.0,1.0,1.0,5.0,4.0,19.0
20.0,107.0,-0.31968823075294495,1.0,1.0,1.0,6.0,3.0,34.0
21.0,108.0,-0.3077298700809479,1.0,1.0,1.0,6.0,4.0,16.0
22.0,109.0,-0.31546762585639954,1.0,1.0,1.0,7.0,3.0,17.0
23.0,110.0,-0.31968823075294495,1.0,1.0,1.0,7.0,4.0,43.0
24.0,111.0,0.7794944643974304,1.0,1.0,1.0,8.0,5.0,45.0
25.0,112.0,0.7626121044158936,1.0,1.0,1.0,8.0,1.0,15.0
26.0,113.0,0.7626121044158936,1.0,1.0,1.0,8.0,2.0,20.0
27.0,114.0,0.633884072303772,1.0,1.0,1.0,8.0,3.0,44.0
28.0,115.0,0.7626121044158936,1.0,1.0,1.0,9.0,3.0,21.0
29.0,116.0,0.6219257116317749,1.0,1.0,1.0,8.0,4.0,23.0
30.0,117.0,0.5002319812774658,1.0,1.0,1.0,10.0,4.0,24.0
31.0,118.0,-2.184767484664917,1.0,1.0,2.0,1.0,1.0,31.0
32.0,119.0,-1.8991742134094238,1.0,1.0,2.0,1.0,2.0,26.0
33.0,120.0,0.9975583553314209,1.0,1.0,2.0,10.0,1.0,27.0
34.0,121.0,-2.118644952774048,1.0,1.0,2.0,1.0,3.0,29.0
35.0,122.0,-1.9385663270950317,1.0,1.0,2.0,1.0,4.0,0.0
36.0,123.0,0.5262589454650879,1.0,1.0,2.0,4.0,5.0,4.0
37.0,124.0,0.5262589454650879,1.0,1.0,2.0,4.0,1.0,46.0
38.0,125.0,0.6219257116317749,1.0,1.0,2.0,4.0,2.0,6.0
39.0,126.0,0.6219257116317749,1.0,1.0,2.0,4.0,3.0,37.0
40.0,127.0,0.6219257116317749,1.0,1.0,2.0,4.0,4.0,49.0
41.0,128.0,0.8174797892570496,1.0,1.0,2.0,6.0,5.0,8.0
42.0,129.0,0.6964895129203796,1.0,1.0,2.0,6.0,1.0,10.0
43.0,130.0,0.7935630679130554,1.0,1.0,2.0,6.0,2.0,42.0
44.0,131.0,0.9666073322296143,1.0,1.0,2.0,6.0,3.0,14.0
45.0,132.0,0.8639062643051147,1.0,1.0,2.0,6.0,4.0,33.0
46.0,133.0,0.5262589454650879,1.0,1.0,2.0,2.0,1.0,22.0
47.0,134.0,0.6219257116317749,1.0,1.0,2.0,2.0,2.0,25.0
48.0,135.0,0.6219257116317749,1.0,1.0,2.0,2.0,3.0,28.0
49.0,136.0,1.0774681568145752,1.0,1.0,2.0,7.0,5.0,30.0
