target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,514.0,0.36866623163223267,1.0,1.0,1.0,1.0,1.0,22.0
1.0,515.0,0.3759862780570984,1.0,1.0,1.0,1.0,2.0,26.0
2.0,516.0,0.38438281416893005,1.0,1.0,1.0,1.0,3.0,49.0
3.0,517.0,0.6989297866821289,1.0,1.0,1.0,1.0,4.0,35.0
4.0,518.0,0.692470908164978,1.0,1.0,1.0,1.0,5.0,48.0
5.0,519.0,0.43626904487609863,1.0,1.0,1.0,2.0,2.0,32.0
6.0,520.0,0.2778114378452301,1.0,1.0,1.0,2.0,3.0,27.0
7.0,521.0,0.20310385525226593,1.0,1.0,1.0,2.0,4.0,42.0
8.0,522.0,-0.30607038736343384,1.0,1.0,1.0,2.0,5.0,12.0
9.0,523.0,0.19384613633155823,1.0,1.0,1.0,3.0,3.0,37.0
10.0,524.0,0.7193828225135803,1.0,1.0,1.0,3.0,4.0,46.0
11.0,525.0,0.6989297866821289,1.0,1.0,1.0,3.0,5.0,34.0
12.0,550.0,-0.3880980312824249,1.0,1.0,1.0,1.0,5.0,47.0
13.0,551.0,-0.5293319821357727,1.0,1.0,1.0,4.0,5.0,4.0
14.0,552.0,-0.31748104095458984,1.0,1.0,1.0,5.0,5.0,40.0
15.0,553.0,-0.5293319821357727,1.0,1.0,1.0,6.0,5.0,3.0
16.0,554.0,-0.31748104095458984,1.0,1.0,1.0,7.0,5.0,41.0
17.0,555.0,-1.8129247426986694,1.0,1.0,1.0,8.0,5.0,36.0
18.0,556.0,1.1930333375930786,1.0,1.0,2.0,9.0,1.0,20.0
19.0,557.0,1.182268500328064,1.0,1.0,2.0,10.0,2.0,7.0
20.0,558.0,1.10691499710083,1.0,1.0,2.0,9.0,2.0,8.0
21.0,559.0,1.1930333375930786,1.0,1.0,2.0,4.0,2.0,11.0
22.0,560.0,1.1930333375930786,1.0,1.0,2.0,4.0,3.0,23.0
23.0,561.0,0.8093764185905457,1.0,1.0,2.0,10.0,3.0,28.0
24.0,562.0,0.8093764185905457,1.0,1.0,2.0,9.0,3.0,10.0
25.0,563.0,0.8244471549987793,1.0,1.0,2.0,10.0,4.0,24.0
26.0,564.0,1.2231746912002563,1.0,1.0,2.0,4.0,4.0,25.0
27.0,565.0,1.1930333375930786,1.0,1.0,2.0,4.0,5.0,30.0
28.0,566.0,0.8959252834320068,1.0,1.0,2.0,9.0,4.0,29.0
29.0,567.0,0.8481296300888062,1.0,1.0,2.0,10.0,5.0,1.0
30.0,568.0,0.8787016272544861,1.0,1.0,2.0,9.0,5.0,6.0
31.0,569.0,0.22850874066352844,1.0,1.0,2.0,6.0,2.0,2.0
32.0,570.0,0.22678637504577637,1.0,1.0,2.0,6.0,3.0,38.0
33.0,571.0,0.850282609462738,1.0,1.0,2.0,5.0,3.0,44.0
34.0,572.0,0.16047531366348267,1.0,1.0,2.0,6.0,4.0,21.0
35.0,573.0,1.1844215393066406,1.0,1.0,2.0,5.0,4.0,33.0
36.0,574.0,0.451985627412796,1.0,1.0,2.0,6.0,5.0,43.0
37.0,575.0,1.2059510946273804,1.0,1.0,2.0,5.0,5.0,45.0
38.0,576.0,-3.8020412921905518,1.0,1.0,2.0,1.0,5.0,0.0
39.0,577.0,0.7144310474395752,1.0,1.0,3.0,10.0,2.0,5.0
40.0,578.0,0.7359606027603149,1.0,1.0,3.0,10.0,3.0,31.0
41.0,579.0,0.548868715763092,1.0,1.0,3.0,10.0,4.0,39.0
42.0,580.0,0.561786413192749,1.0,1.0,3.0,10.0,5.0,9.0
43.0,581.0,-1.8366072177886963,1.0,1.0,3.0,11.0,4.0,18.0
44.0,582.0,0.3990229070186615,1.0,1.0,3.0,6.0,3.0,13.0
45.0,583.0,0.7424194812774658,1.0,1.0,3.0,9.0,2.0,14.0
46.0,584.0,0.7424194812774658,1.0,1.0,3.0,9.0,3.0,19.0
47.0,585.0,0.7144310474395752,1.0,1.0,3.0,9.0,4.0,15.0
48.0,586.0,0.7144310474395752,1.0,1.0,3.0,9.0,5.0,16.0
49.0,587.0,-0.7338628768920898,1.0,1.0,3.0,6.0,4.0,17.0
