target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,-0.0885087549686431,1.0,1.0,1.0,1.0,1.0,9
1.0,1.0,-0.1222487986087799,1.0,1.0,1.0,2.0,1.0,17
2.0,2.0,0.0127113638445734,1.0,1.0,1.0,3.0,1.0,23
3.0,3.0,-0.2909490168094635,1.0,1.0,1.0,4.0,2.0,24
4.0,4.0,-0.1610498428344726,1.0,1.0,1.0,5.0,1.0,35
5.0,5.0,-0.1610498428344726,1.0,1.0,1.0,5.0,2.0,3
6.0,6.0,-0.2909490168094635,1.0,1.0,1.0,1.0,2.0,18
7.0,7.0,-0.2909490168094635,1.0,1.0,1.0,2.0,2.0,19
8.0,8.0,-0.1559888422489166,1.0,1.0,1.0,3.0,2.0,20
9.0,9.0,-0.2909490168094635,1.0,1.0,1.0,4.0,3.0,34
10.0,10.0,-0.0834477543830871,1.0,1.0,1.0,6.0,2.0,4
11.0,11.0,-0.1509278416633606,1.0,1.0,1.0,5.0,3.0,10
12.0,12.0,-0.1610498428344726,1.0,1.0,1.0,6.0,3.0,11
13.0,13.0,-0.1610498428344726,1.0,1.0,1.0,7.0,3.0,12
14.0,14.0,-0.0885087549686431,1.0,1.0,1.0,1.0,3.0,33
15.0,15.0,-0.2909490168094635,1.0,1.0,1.0,2.0,3.0,6
16.0,16.0,-0.2909490168094635,1.0,1.0,1.0,3.0,3.0,16
17.0,17.0,-0.2909490168094635,1.0,1.0,1.0,4.0,4.0,30
18.0,18.0,-0.0834477543830871,1.0,1.0,1.0,5.0,4.0,5
19.0,19.0,-0.1610498428344726,1.0,1.0,1.0,6.0,4.0,7
20.0,20.0,-0.1610498428344726,1.0,1.0,1.0,7.0,4.0,13
21.0,21.0,-0.1171877905726432,1.0,1.0,1.0,5.0,5.0,32
22.0,22.0,-0.1222487986087799,1.0,1.0,1.0,1.0,4.0,31
23.0,23.0,6.460433006286621,1.0,1.0,1.0,2.0,4.0,29
24.0,24.0,-0.0885087549686431,1.0,1.0,1.0,3.0,4.0,2
25.0,25.0,0.0127113638445734,1.0,1.0,1.0,4.0,5.0,8
26.0,26.0,-0.1610498428344726,1.0,1.0,1.0,6.0,5.0,14
27.0,27.0,-0.2521479427814483,1.0,1.0,1.0,7.0,5.0,21
28.0,28.0,-0.0885087549686431,1.0,1.0,1.0,1.0,5.0,15
29.0,29.0,-0.1222487986087799,1.0,1.0,1.0,2.0,5.0,22
30.0,30.0,-0.1846678704023361,1.0,1.0,1.0,8.0,2.0,25
31.0,31.0,-0.0834477543830871,1.0,1.0,1.0,8.0,3.0,26
32.0,32.0,-0.0834477543830871,1.0,1.0,1.0,8.0,4.0,27
33.0,33.0,0.0177723709493875,1.0,1.0,1.0,8.0,5.0,36
34.0,40.0,-0.1526148319244384,1.0,1.0,2.0,1.0,1.0,37
35.0,41.0,-0.1526148319244384,1.0,1.0,2.0,4.0,2.0,38
36.0,42.0,-0.1526148319244384,1.0,1.0,2.0,1.0,2.0,39
37.0,43.0,-0.1610498428344726,1.0,1.0,2.0,4.0,3.0,40
38.0,44.0,-0.1610498428344726,1.0,1.0,2.0,1.0,3.0,41
39.0,45.0,-0.1610498428344726,1.0,1.0,2.0,4.0,4.0,42
40.0,46.0,-0.1610498428344726,1.0,1.0,2.0,1.0,4.0,0
41.0,47.0,-0.1610498428344726,1.0,1.0,2.0,4.0,5.0,28
42.0,48.0,-0.1610498428344726,1.0,1.0,2.0,1.0,5.0,1
0.0,34.0,0.3765057921409607,1.0,1.0,1.0,1.0,1.0,50
1.0,35.0,0.3765057921409607,1.0,1.0,1.0,1.0,2.0,51
2.0,37.0,-0.8680582046508789,1.0,1.0,1.0,2.0,2.0,52
3.0,474.0,0.1514733433723449,1.0,2.0,2.0,3.0,2.0,89
4.0,695.0,0.6354965567588806,1.0,3.0,2.0,1.0,3.0,71
5.0,696.0,0.6292369365692139,1.0,3.0,2.0,1.0,1.0,53
6.0,697.0,0.6120230555534363,1.0,3.0,2.0,1.0,2.0,54
7.0,698.0,0.6317408084869385,1.0,3.0,2.0,1.0,4.0,79
8.0,699.0,0.270405650138855,1.0,3.0,2.0,2.0,5.0,47
9.0,700.0,0.6234468221664429,1.0,3.0,2.0,4.0,5.0,72
10.0,701.0,0.5990344285964966,1.0,3.0,2.0,5.0,5.0,73
11.0,702.0,0.6084237694740295,1.0,3.0,2.0,6.0,5.0,55
12.0,703.0,0.2655544579029083,1.0,3.0,2.0,7.0,5.0,83
13.0,704.0,0.6530234217643738,1.0,3.0,2.0,2.0,3.0,49
14.0,705.0,0.7164018154144287,1.0,3.0,2.0,4.0,3.0,56
15.0,706.0,0.4437964558601379,1.0,3.0,2.0,5.0,3.0,57
16.0,707.0,0.6459813714027405,1.0,3.0,2.0,6.0,3.0,74
17.0,708.0,0.2644590437412262,1.0,3.0,2.0,7.0,3.0,66
18.0,709.0,0.6040420532226562,1.0,3.0,2.0,2.0,1.0,67
19.0,710.0,0.6264201402664185,1.0,3.0,2.0,4.0,1.0,68
20.0,711.0,0.2596078515052795,1.0,3.0,2.0,5.0,1.0,58
21.0,712.0,0.5661715269088745,1.0,3.0,2.0,6.0,1.0,69
22.0,713.0,0.2525658011436462,1.0,3.0,2.0,7.0,1.0,59
23.0,714.0,0.599190890789032,1.0,3.0,2.0,2.0,2.0,87
24.0,715.0,0.635183572769165,1.0,3.0,2.0,4.0,2.0,88
25.0,716.0,0.2503749430179596,1.0,3.0,2.0,5.0,2.0,77
26.0,717.0,0.6201605200767517,1.0,3.0,2.0,6.0,2.0,70
27.0,718.0,0.2367603331804275,1.0,3.0,2.0,7.0,2.0,75
28.0,719.0,0.6173437237739563,1.0,3.0,2.0,2.0,4.0,81
29.0,720.0,0.6278285384178162,1.0,3.0,2.0,4.0,4.0,44
30.0,721.0,0.2608597576618194,1.0,3.0,2.0,5.0,4.0,60
31.0,722.0,0.6123360395431519,1.0,3.0,2.0,6.0,4.0,78
32.0,723.0,0.1973248869180679,1.0,3.0,2.0,7.0,4.0,82
33.0,724.0,-0.2469498962163925,1.0,3.0,2.0,8.0,4.0,84
34.0,725.0,0.6882336139678955,1.0,3.0,3.0,1.0,3.0,48
35.0,726.0,0.8040361404418945,1.0,3.0,3.0,1.0,1.0,61
36.0,727.0,0.1930996477603912,1.0,3.0,3.0,1.0,2.0,80
37.0,729.0,0.190752312541008,1.0,3.0,3.0,6.0,2.0,92
38.0,730.0,-1.829532027244568,1.0,3.0,3.0,2.0,3.0,43
39.0,732.0,-2.0623888969421387,1.0,3.0,3.0,2.0,1.0,45
40.0,733.0,-2.2694251537323,1.0,3.0,3.0,2.0,2.0,46
41.0,734.0,-2.5562710762023926,1.0,3.0,3.0,4.0,2.0,62
42.0,739.0,0.983999490737915,1.0,3.0,3.0,7.0,1.0,63
43.0,740.0,1.0059081315994265,1.0,3.0,3.0,8.0,1.0,64
44.0,741.0,1.016862392425537,1.0,3.0,3.0,7.0,2.0,85
45.0,742.0,1.0387709140777588,1.0,3.0,3.0,8.0,2.0,65
46.0,745.0,-1.6123241186141968,1.0,3.0,3.0,9.0,5.0,86
47.0,746.0,-1.8076235055923464,1.0,3.0,3.0,9.0,3.0,91
48.0,747.0,-1.6456564664840698,1.0,3.0,3.0,10.0,3.0,90
49.0,748.0,-1.6123241186141968,1.0,3.0,3.0,9.0,1.0,76
