target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,17
1.0,1.0,0.0,1.0,1.0,1.0,2.0,1.0,15
2.0,2.0,0.0,1.0,1.0,1.0,3.0,1.0,16
3.0,3.0,0.0,1.0,1.0,1.0,4.0,1.0,20
4.0,4.0,0.0,1.0,1.0,1.0,5.0,1.0,21
5.0,5.0,0.0,1.0,1.0,1.0,6.0,1.0,19
6.0,6.0,0.0,1.0,1.0,1.0,7.0,1.0,24
7.0,7.0,0.0,1.0,1.0,1.0,8.0,1.0,25
8.0,8.0,0.0,1.0,1.0,1.0,9.0,2.0,23
9.0,9.0,0.0,1.0,1.0,1.0,10.0,2.0,29
10.0,10.0,0.0,1.0,1.0,1.0,9.0,1.0,27
11.0,11.0,0.0,1.0,1.0,1.0,10.0,1.0,28
12.0,12.0,0.0,1.0,1.0,1.0,11.0,1.0,8
13.0,304.0,0.0,1.0,2.0,1.0,11.0,2.0,35
14.0,305.0,0.0,1.0,2.0,1.0,11.0,1.0,31
15.0,306.0,0.0,1.0,2.0,1.0,1.0,3.0,33
16.0,307.0,0.0,1.0,2.0,1.0,1.0,4.0,9
17.0,308.0,0.0,1.0,2.0,1.0,1.0,2.0,36
18.0,309.0,0.0,1.0,2.0,1.0,1.0,1.0,32
19.0,310.0,0.0,1.0,2.0,1.0,2.0,3.0,34
20.0,311.0,0.0,1.0,2.0,1.0,2.0,4.0,45
21.0,312.0,0.0,1.0,2.0,1.0,2.0,2.0,39
22.0,313.0,0.0,1.0,2.0,1.0,2.0,1.0,43
23.0,314.0,0.0,1.0,2.0,1.0,3.0,3.0,46
24.0,315.0,0.0,1.0,2.0,1.0,3.0,4.0,40
25.0,316.0,0.0,1.0,2.0,1.0,3.0,2.0,44
26.0,317.0,0.0,1.0,2.0,1.0,3.0,1.0,41
27.0,318.0,0.0,1.0,2.0,1.0,4.0,3.0,13
28.0,319.0,0.0,1.0,2.0,1.0,4.0,4.0,0
29.0,320.0,0.0,1.0,2.0,1.0,4.0,2.0,18
30.0,321.0,0.0,1.0,2.0,1.0,4.0,1.0,1
31.0,322.0,0.0,1.0,2.0,1.0,5.0,3.0,22
32.0,323.0,0.0,1.0,2.0,1.0,6.0,3.0,2
33.0,324.0,0.0,1.0,2.0,1.0,5.0,4.0,26
34.0,325.0,0.0,1.0,2.0,1.0,6.0,4.0,30
35.0,326.0,0.0,1.0,2.0,1.0,5.0,2.0,3
36.0,327.0,0.0,1.0,2.0,1.0,6.0,2.0,4
37.0,328.0,0.0,1.0,2.0,1.0,5.0,1.0,37
38.0,329.0,0.0,1.0,2.0,1.0,6.0,1.0,38
39.0,330.0,0.0,1.0,2.0,1.0,7.0,3.0,5
40.0,331.0,0.0,1.0,2.0,1.0,8.0,3.0,47
41.0,332.0,0.0,1.0,2.0,1.0,10.0,2.0,6
42.0,333.0,0.0,1.0,2.0,1.0,10.0,1.0,48
43.0,334.0,0.0,1.0,2.0,1.0,7.0,4.0,7
44.0,335.0,0.0,1.0,2.0,1.0,8.0,4.0,10
45.0,336.0,0.0,1.0,2.0,1.0,7.0,2.0,49
46.0,337.0,0.0,1.0,2.0,1.0,8.0,2.0,42
47.0,338.0,0.0,1.0,2.0,1.0,7.0,1.0,11
48.0,339.0,0.0,1.0,2.0,1.0,8.0,1.0,14
49.0,340.0,0.0,1.0,2.0,1.0,9.0,3.0,12
0.0,13.0,0.0,1.0,1.0,1.0,1.0,1.0,54
1.0,14.0,0.0,1.0,1.0,1.0,2.0,1.0,56
2.0,15.0,0.0,1.0,1.0,1.0,1.0,2.0,57
3.0,16.0,0.0,1.0,1.0,1.0,2.0,2.0,64
4.0,17.0,0.0,1.0,1.0,1.0,1.0,3.0,89
5.0,18.0,0.0,1.0,1.0,1.0,2.0,3.0,90
6.0,19.0,0.0,1.0,1.0,1.0,1.0,4.0,92
7.0,20.0,0.0,1.0,1.0,1.0,2.0,4.0,52
8.0,21.0,0.0,1.0,1.0,1.0,3.0,1.0,53
9.0,22.0,0.0,1.0,1.0,1.0,4.0,1.0,55
10.0,23.0,0.0,1.0,1.0,1.0,3.0,2.0,62
11.0,24.0,0.0,1.0,1.0,1.0,4.0,2.0,65
12.0,25.0,0.0,1.0,1.0,1.0,3.0,3.0,60
13.0,26.0,0.0,1.0,1.0,1.0,4.0,3.0,61
14.0,27.0,0.0,1.0,1.0,1.0,3.0,4.0,63
15.0,28.0,0.0,1.0,1.0,1.0,4.0,4.0,67
16.0,29.0,0.0,1.0,1.0,1.0,5.0,2.0,68
17.0,30.0,0.0,1.0,1.0,1.0,5.0,3.0,70
18.0,31.0,0.0,1.0,1.0,1.0,5.0,4.0,72
19.0,32.0,0.0,1.0,1.0,1.0,6.0,3.0,95
20.0,33.0,0.0,1.0,1.0,1.0,6.0,4.0,74
21.0,34.0,0.0,1.0,1.0,1.0,7.0,3.0,96
22.0,35.0,0.0,1.0,1.0,1.0,7.0,4.0,97
23.0,36.0,0.0,1.0,1.0,1.0,8.0,2.0,75
24.0,37.0,0.0,1.0,1.0,1.0,8.0,3.0,77
25.0,38.0,0.0,1.0,1.0,1.0,8.0,4.0,98
26.0,39.0,0.0,1.0,1.0,1.0,9.0,1.0,99
27.0,40.0,0.0,1.0,1.0,1.0,9.0,2.0,79
