target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,0.0,-0.4604625403881073,1.0,1.0,1.0,1.0,1.0,6
1.0,1.0,-0.584093451499939,1.0,1.0,1.0,1.0,2.0,11
2.0,2.0,0.8205893039703369,1.0,1.0,1.0,2.0,1.0,13
3.0,3.0,0.94186532497406,1.0,1.0,1.0,3.0,3.0,26
4.0,4.0,0.8205893039703369,1.0,1.0,1.0,4.0,2.0,22
5.0,5.0,1.186772346496582,1.0,1.0,1.0,4.0,4.0,14
6.0,6.0,0.4638257920742035,1.0,1.0,1.0,2.0,2.0,5
7.0,7.0,0.4708904027938843,1.0,1.0,1.0,2.0,4.0,9
8.0,8.0,-0.6872369647026062,1.0,1.0,1.0,1.0,4.0,7
9.0,9.0,-0.6898273229598999,1.0,1.0,1.0,1.0,3.0,10
10.0,10.0,0.8276539444923401,1.0,1.0,1.0,4.0,3.0,8
11.0,11.0,0.8205893039703369,1.0,1.0,1.0,4.0,5.0,3
12.0,12.0,0.943042814731598,1.0,1.0,1.0,5.0,5.0,17
13.0,13.0,0.9300909638404846,1.0,1.0,1.0,6.0,5.0,1
14.0,14.0,0.9230263233184814,1.0,1.0,1.0,2.0,3.0,4
15.0,15.0,0.4838422238826751,1.0,1.0,1.0,2.0,5.0,16
16.0,16.0,-0.3391864895820617,1.0,1.0,1.0,7.0,2.0,12
17.0,17.0,-0.7016016840934753,1.0,1.0,1.0,7.0,4.0,21
18.0,18.0,0.9230263233184814,1.0,1.0,1.0,8.0,4.0,27
19.0,19.0,0.943042814731598,1.0,1.0,1.0,9.0,4.0,23
20.0,20.0,-0.67899489402771,1.0,1.0,1.0,1.0,5.0,15
21.0,21.0,-3.150200366973877,1.0,1.0,1.0,3.0,5.0,25
22.0,22.0,1.1585137844085691,1.0,1.0,1.0,8.0,5.0,18
23.0,23.0,-0.680172324180603,1.0,1.0,1.0,7.0,3.0,19
24.0,24.0,-0.7253859639167786,1.0,1.0,1.0,7.0,5.0,20
25.0,25.0,1.1585137844085691,1.0,1.0,1.0,9.0,5.0,28
26.0,26.0,0.5438915491104126,2.0,1.0,1.0,10.0,3.0,29
27.0,27.0,0.5368269085884094,2.0,1.0,1.0,11.0,3.0,30
28.0,28.0,0.5603756308555603,2.0,1.0,1.0,10.0,5.0,31
29.0,29.0,0.5368269085884094,2.0,1.0,1.0,11.0,5.0,32
30.0,149.0,0.308875024318695,1.0,2.0,2.0,10.0,4.0,33
31.0,150.0,0.2994555234909057,1.0,2.0,2.0,10.0,3.0,34
32.0,151.0,-1.348956823348999,1.0,2.0,2.0,1.0,4.0,35
33.0,152.0,-1.5432339906692505,1.0,2.0,2.0,11.0,4.0,36
34.0,153.0,-1.3199918270111084,1.0,2.0,2.0,11.0,3.0,37
35.0,154.0,0.308875024318695,1.0,2.0,2.0,1.0,3.0,38
36.0,155.0,-1.4740005731582642,1.0,2.0,2.0,11.0,5.0,0
37.0,156.0,-1.3991155624389648,1.0,2.0,2.0,1.0,5.0,24
38.0,157.0,-1.1285405158996582,1.0,2.0,2.0,10.0,5.0,2
0.0,30.0,1.2505323886871338,1.0,1.0,1.0,1.0,1.0,43
1.0,31.0,1.2362451553344729,1.0,1.0,1.0,1.0,2.0,44
2.0,32.0,1.2505323886871338,1.0,1.0,1.0,2.0,1.0,68
3.0,33.0,1.2362451553344729,1.0,1.0,1.0,2.0,2.0,76
4.0,34.0,1.4110536575317385,1.0,1.0,1.0,1.0,3.0,47
5.0,35.0,1.163128137588501,1.0,1.0,1.0,1.0,4.0,72
6.0,36.0,1.2412877082824707,1.0,1.0,1.0,2.0,3.0,74
