target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,from_layer,pred
0.0,71.0,-2.478334188461304,1.0,1.0,1.0,1.0,1.0,29
1.0,72.0,-3.968186616897583,1.0,1.0,1.0,2.0,1.0,6
2.0,73.0,0.4013635814189911,1.0,1.0,2.0,3.0,2.0,11
3.0,74.0,0.5339268445968628,1.0,1.0,2.0,3.0,3.0,16
4.0,75.0,0.5339268445968628,1.0,1.0,2.0,3.0,4.0,4
5.0,76.0,0.5339268445968628,1.0,1.0,2.0,3.0,1.0,9
6.0,77.0,0.4085583388805389,1.0,1.0,2.0,4.0,5.0,17
7.0,78.0,0.4445320963859558,1.0,1.0,2.0,4.0,2.0,25
8.0,79.0,0.404960960149765,1.0,1.0,2.0,4.0,3.0,3
9.0,80.0,0.5609071254730225,1.0,1.0,2.0,4.0,4.0,8
10.0,81.0,0.5591084361076355,1.0,1.0,2.0,4.0,1.0,14
11.0,82.0,0.5492156744003296,1.0,1.0,2.0,5.0,5.0,7
12.0,83.0,0.5375242233276367,1.0,1.0,2.0,5.0,2.0,2
13.0,84.0,0.5339268445968628,1.0,1.0,2.0,5.0,3.0,12
14.0,85.0,0.1518857181072235,1.0,1.0,2.0,5.0,4.0,13
15.0,86.0,0.5375242233276367,1.0,1.0,2.0,5.0,1.0,26
16.0,87.0,0.4071193933486938,2.0,1.0,2.0,6.0,5.0,34
17.0,88.0,0.4071193933486938,2.0,1.0,2.0,7.0,5.0,18
18.0,89.0,0.4107167720794678,2.0,1.0,2.0,6.0,2.0,21
19.0,90.0,0.4179115295410156,2.0,1.0,2.0,7.0,2.0,27
20.0,91.0,0.5146808624267578,2.0,1.0,2.0,8.0,2.0,15
21.0,92.0,0.4071193933486938,2.0,1.0,2.0,6.0,3.0,19
22.0,93.0,0.4071193933486938,2.0,1.0,2.0,7.0,3.0,22
23.0,94.0,0.4215088784694671,2.0,1.0,2.0,8.0,3.0,20
24.0,95.0,0.4071193933486938,2.0,1.0,2.0,1.0,1.0,23
25.0,96.0,0.4071193933486938,2.0,1.0,2.0,2.0,3.0,28
26.0,97.0,-0.0734897553920745,2.0,1.0,2.0,6.0,4.0,35
27.0,98.0,0.3963272869586944,2.0,1.0,2.0,7.0,4.0,41
28.0,99.0,0.4071193933486938,2.0,1.0,2.0,8.0,4.0,38
29.0,100.0,0.4107167720794678,2.0,1.0,2.0,2.0,4.0,36
30.0,101.0,-0.0932753086090087,2.0,1.0,2.0,6.0,1.0,37
31.0,102.0,-0.102268747985363,2.0,1.0,2.0,7.0,1.0,39
32.0,103.0,0.4071193933486938,2.0,1.0,2.0,8.0,1.0,42
33.0,104.0,0.4929167628288269,2.0,1.0,2.0,2.0,1.0,40
34.0,105.0,0.428703635931015,2.0,1.0,2.0,3.0,1.0,44
35.0,106.0,0.5411215424537659,1.0,1.0,2.0,9.0,5.0,45
36.0,107.0,0.6193644404411316,1.0,1.0,2.0,9.0,2.0,46
37.0,108.0,-2.577981472015381,1.0,1.0,2.0,10.0,3.0,5
38.0,109.0,0.4193504750728607,1.0,1.0,2.0,9.0,3.0,24
39.0,110.0,0.404960960149765,1.0,1.0,2.0,9.0,1.0,33
40.0,111.0,0.5702602863311768,1.0,1.0,2.0,10.0,4.0,10
41.0,112.0,0.5576695203781128,1.0,1.0,2.0,10.0,1.0,43
42.0,113.0,-1.4104537963867188,1.0,1.0,2.0,11.0,5.0,31
43.0,114.0,-1.3645871877670288,1.0,1.0,2.0,9.0,1.0,30
44.0,115.0,-1.4383333921432495,1.0,1.0,2.0,10.0,1.0,0
45.0,116.0,-1.5138782262802124,1.0,1.0,2.0,5.0,1.0,1
46.0,117.0,-1.5336638689041138,1.0,1.0,2.0,11.0,1.0,32
0.0,156.0,0.5431207418441772,1.0,1.0,1.0,1.0,1.0,47
1.0,157.0,0.5571304559707642,1.0,1.0,1.0,1.0,2.0,49
2.0,158.0,0.9594897627830504,1.0,1.0,1.0,1.0,3.0,50
3.0,159.0,0.6019615530967712,1.0,1.0,1.0,1.0,4.0,48
4.0,160.0,0.9325910806655884,1.0,1.0,1.0,2.0,5.0,53
5.0,161.0,0.862542450428009,1.0,1.0,1.0,2.0,1.0,55
6.0,162.0,0.2590034902095794,1.0,1.0,1.0,2.0,2.0,56
7.0,163.0,0.0992926284670829,1.0,1.0,1.0,2.0,3.0,63
8.0,164.0,0.1679402887821197,1.0,1.0,1.0,2.0,4.0,51
9.0,165.0,0.544521689414978,1.0,1.0,1.0,3.0,2.0,54
10.0,166.0,0.2629262208938598,1.0,1.0,1.0,3.0,3.0,52
11.0,167.0,0.1270318776369094,1.0,1.0,1.0,4.0,3.0,59
12.0,168.0,0.0415725633502006,1.0,1.0,1.0,3.0,4.0,60
13.0,169.0,-0.4316759407520294,1.0,1.0,1.0,4.0,4.0,57
14.0,170.0,-1.4910913705825806,1.0,1.0,1.0,5.0,1.0,58
15.0,171.0,-1.454666018486023,1.0,1.0,1.0,5.0,2.0,61
16.0,172.0,-1.037176251411438,1.0,1.0,1.0,5.0,3.0,62
17.0,173.0,-1.440656304359436,1.0,1.0,1.0,5.0,4.0,64
18.0,174.0,-1.8469383716583248,1.0,1.0,1.0,6.0,3.0,65
19.0,175.0,-2.1324565410614014,1.0,1.0,1.0,6.0,4.0,66
20.0,176.0,0.7980977296829224,2.0,1.0,1.0,7.0,3.0,67
21.0,177.0,0.6692082285881042,2.0,1.0,1.0,7.0,4.0,68
22.0,178.0,0.5879518389701843,2.0,1.0,1.0,8.0,3.0,69
23.0,179.0,0.8121074438095093,2.0,1.0,1.0,8.0,4.0,70
24.0,180.0,-1.4790430068969729,1.0,1.0,1.0,9.0,4.0,71
25.0,181.0,1.2828341722488403,1.0,1.0,2.0,1.0,3.0,72
26.0,182.0,1.2043797969818115,1.0,1.0,2.0,1.0,4.0,73
0.0,183.0,1.2062350511550903,1.0,1.0,1.0,1.0,1.0,78
1.0,184.0,0.1836494207382202,1.0,1.0,1.0,2.0,1.0,82
2.0,185.0,0.1670490056276321,1.0,1.0,1.0,3.0,1.0,87
3.0,186.0,0.0774067565798759,1.0,1.0,1.0,4.0,1.0,88
4.0,187.0,0.4791368246078491,1.0,1.0,1.0,1.0,2.0,89
5.0,188.0,0.2965322434902191,1.0,1.0,1.0,2.0,2.0,74
6.0,189.0,0.4492560625076294,1.0,1.0,1.0,3.0,2.0,79
7.0,190.0,0.7480635643005371,1.0,1.0,1.0,4.0,2.0,83
8.0,191.0,0.495737224817276,1.0,1.0,1.0,1.0,3.0,84
9.0,192.0,0.6351807117462158,1.0,1.0,1.0,2.0,3.0,90
10.0,193.0,0.2234904170036316,1.0,1.0,1.0,3.0,3.0,75
11.0,194.0,0.947268545627594,1.0,1.0,1.0,4.0,3.0,80
12.0,195.0,1.0468710660934448,1.0,1.0,1.0,5.0,3.0,85
13.0,196.0,0.7480635643005371,1.0,1.0,1.0,1.0,4.0,86
14.0,197.0,1.2261555194854736,1.0,1.0,1.0,2.0,4.0,91
15.0,198.0,-0.8322960138320923,1.0,1.0,1.0,3.0,4.0,76
16.0,199.0,0.8211053609848022,1.0,1.0,1.0,4.0,4.0,77
17.0,200.0,0.6816619038581848,1.0,1.0,1.0,5.0,4.0,81
18.0,201.0,0.7679840326309204,1.0,1.0,1.0,1.0,5.0,93
19.0,202.0,0.7945446968078613,1.0,1.0,1.0,2.0,5.0,92
20.0,203.0,-0.7824947237968445,1.0,1.0,1.0,3.0,5.0,94
21.0,204.0,0.950588583946228,1.0,1.0,1.0,4.0,5.0,95
22.0,205.0,0.7580237984657288,1.0,1.0,1.0,5.0,5.0,96
23.0,206.0,-0.8488964438438416,1.0,1.0,1.0,6.0,5.0,97
24.0,207.0,-0.8488964438438416,1.0,1.0,1.0,7.0,2.0,98
25.0,208.0,-0.8488964438438416,1.0,1.0,1.0,7.0,3.0,99
26.0,209.0,-0.7459738254547119,1.0,1.0,1.0,7.0,4.0,100
27.0,210.0,-0.7791746854782104,1.0,1.0,1.0,7.0,5.0,101
28.0,211.0,-0.8488964438438416,1.0,1.0,1.0,8.0,5.0,102
29.0,212.0,-0.8488964438438416,1.0,1.0,1.0,9.0,2.0,103
30.0,213.0,-0.7924550175666809,1.0,1.0,1.0,9.0,3.0,104
31.0,214.0,-0.8488964438438416,1.0,1.0,1.0,9.0,4.0,105
32.0,215.0,-0.8488964438438416,1.0,1.0,1.0,9.0,5.0,106
33.0,216.0,-3.829334974288941,1.0,1.0,1.0,10.0,5.0,107
0.0,217.0,1.1291722059249878,1.0,1.0,1.0,1.0,1.0,109
