target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,position_id,from_layer,pred,voyage_cluster
0.0,0.0,-0.3255852460861206,1.0,1.0,15.0,9.0,1.0,3.0,27,"('CHANGC5_000', 24)"
1.0,1.0,-0.3312682807445526,1.0,1.0,15.0,11.0,2.0,1.0,28,"('CHANGC5_000', 24)"
2.0,2.0,-0.37673255801200867,1.0,1.0,15.0,4.0,3.0,2.0,29,"('CHANGC5_000', 24)"
3.0,3.0,1.8112356662750244,1.0,1.0,15.0,8.0,4.0,5.0,30,"('CHANGC5_000', 24)"
4.0,4.0,1.3963741064071655,1.0,1.0,15.0,7.0,5.0,5.0,31,"('CHANGC5_000', 24)"
5.0,5.0,-0.11815448850393295,1.0,1.0,15.0,10.0,6.0,2.0,32,"('CHANGC5_000', 24)"
6.0,6.0,-0.6745235323905945,1.0,1.0,15.0,3.0,7.0,2.0,33,"('CHANGC5_000', 24)"
7.0,7.0,-1.5133394002914429,1.0,1.0,15.0,10.0,6.0,1.0,34,"('CHANGC5_000', 24)"
8.0,8.0,-0.35400041937828064,1.0,1.0,15.0,9.0,1.0,2.0,35,"('CHANGC5_000', 24)"
9.0,9.0,-0.27443793416023254,1.0,1.0,15.0,6.0,8.0,1.0,36,"('CHANGC5_000', 24)"
10.0,10.0,-0.6299117207527161,1.0,1.0,15.0,5.0,9.0,3.0,37,"('CHANGC5_000', 24)"
11.0,11.0,-0.11389221251010895,1.0,1.0,15.0,11.0,2.0,1.0,38,"('CHANGC5_000', 24)"
12.0,12.0,-0.34831738471984863,1.0,1.0,15.0,9.0,1.0,1.0,39,"('CHANGC5_000', 24)"
13.0,13.0,0.12252200394868851,1.0,1.0,15.0,5.0,9.0,2.0,40,"('CHANGC5_000', 24)"
14.0,14.0,1.5827776193618774,1.0,1.0,15.0,8.0,4.0,4.0,41,"('CHANGC5_000', 24)"
15.0,15.0,0.9374691247940063,1.0,1.0,15.0,7.0,5.0,4.0,42,"('CHANGC5_000', 24)"
16.0,16.0,1.6077829599380493,1.0,1.0,15.0,8.0,4.0,3.0,43,"('CHANGC5_000', 24)"
17.0,17.0,0.7536229491233826,1.0,1.0,15.0,7.0,5.0,3.0,44,"('CHANGC5_000', 24)"
18.0,18.0,1.2974892854690552,1.0,1.0,15.0,8.0,4.0,2.0,45,"('CHANGC5_000', 24)"
19.0,19.0,0.7314591407775879,1.0,1.0,15.0,7.0,5.0,2.0,46,"('CHANGC5_000', 24)"
20.0,20.0,0.7916992902755737,1.0,1.0,15.0,7.0,5.0,1.0,47,"('CHANGC5_000', 24)"
21.0,21.0,-1.2419744729995728,1.0,1.0,15.0,2.0,10.0,1.0,48,"('CHANGC5_000', 24)"
22.0,22.0,-1.4093399047851562,1.0,1.0,15.0,1.0,11.0,2.0,49,"('CHANGC5_000', 24)"
23.0,23.0,-0.003641351591795683,1.0,1.0,15.0,1.0,11.0,1.0,0,"('CHANGC5_000', 24)"
24.0,24.0,-0.17015425860881805,1.0,1.0,15.0,5.0,9.0,1.0,3,"('CHANGC5_000', 24)"
