target,order,Unit Weight (kg),Unit POD,from_yard,from_bay,from_col,position_id,from_layer,pred,voyage_cluster
0.0,0.0,2.0253794193267822,1.0,1.0,30.0,1.0,1.0,1.0,49,"('CHANGD1_00F', 7)"
1.0,1.0,0.43466225266456604,1.0,2.0,30.0,8.0,2.0,5.0,1,"('CHANGD1_00F', 7)"
2.0,2.0,0.34835976362228394,1.0,2.0,30.0,8.0,2.0,4.0,5,"('CHANGD1_00F', 7)"
3.0,3.0,0.5387254953384399,1.0,2.0,30.0,8.0,2.0,3.0,6,"('CHANGD1_00F', 7)"
4.0,4.0,0.14523626863956451,1.0,2.0,30.0,8.0,2.0,1.0,23,"('CHANGD1_00F', 7)"
5.0,14.0,0.8048873543739319,1.0,2.0,30.0,9.0,3.0,5.0,24,"('CHANGD1_00F', 7)"
6.0,15.0,1.077553153038025,1.0,2.0,30.0,9.0,3.0,4.0,28,"('CHANGD1_00F', 7)"
7.0,16.0,0.4771881103515625,1.0,2.0,30.0,9.0,3.0,3.0,43,"('CHANGD1_00F', 7)"
8.0,17.0,0.9599816203117371,1.0,2.0,30.0,9.0,3.0,2.0,2,"('CHANGD1_00F', 7)"
9.0,18.0,0.9237095713615417,1.0,2.0,30.0,9.0,3.0,1.0,11,"('CHANGD1_00F', 7)"
10.0,19.0,0.5322215557098389,1.0,2.0,30.0,2.0,4.0,4.0,26,"('CHANGD1_00F', 7)"
11.0,30.0,2.055647850036621,1.0,2.0,30.0,7.0,5.0,4.0,27,"('CHANGD1_00F', 7)"
12.0,34.0,1.7337020635604858,1.0,2.0,30.0,7.0,5.0,2.0,29,"('CHANGD1_00F', 7)"
13.0,35.0,1.7387051582336426,1.0,2.0,30.0,7.0,5.0,1.0,35,"('CHANGD1_00F', 7)"
14.0,36.0,-0.7385510802268982,1.0,2.0,30.0,2.0,4.0,3.0,44,"('CHANGD1_00F', 7)"
15.0,37.0,-0.786080002784729,1.0,2.0,30.0,2.0,4.0,2.0,45,"('CHANGD1_00F', 7)"
16.0,38.0,-0.2720174193382263,1.0,2.0,30.0,2.0,4.0,1.0,7,"('CHANGD1_00F', 7)"
17.0,43.0,1.7261974811553955,1.0,2.0,30.0,6.0,6.0,1.0,10,"('CHANGD1_00F', 7)"
18.0,44.0,-0.2875268757343292,1.0,2.0,30.0,3.0,7.0,4.0,18,"('CHANGD1_00F', 7)"
19.0,45.0,-0.32830166816711426,1.0,2.0,30.0,3.0,7.0,3.0,32,"('CHANGD1_00F', 7)"
20.0,46.0,-0.10566628724336624,1.0,2.0,30.0,3.0,7.0,2.0,36,"('CHANGD1_00F', 7)"
21.0,47.0,-0.3232986032962799,1.0,2.0,30.0,3.0,7.0,1.0,47,"('CHANGD1_00F', 7)"
22.0,62.0,1.355972409248352,1.0,2.0,34.0,3.0,8.0,1.0,3,"('CHANGD1_00F', 7)"
23.0,78.0,0.4033932387828827,1.0,2.0,34.0,8.0,9.0,5.0,14,"('CHANGD1_00F', 7)"
24.0,80.0,-0.518417239189148,1.0,2.0,34.0,6.0,10.0,5.0,12,"('CHANGD1_00F', 7)"
25.0,81.0,-0.2785213887691498,1.0,2.0,34.0,1.0,11.0,1.0,19,"('CHANGD1_00F', 7)"
